Dirección,Región,Comuna,lat,lon,Potencia (en kW) Electrolinera,Tipo corriente,Potencia (en kW) cargador,Zcap,id_candidata,distancia,cargadores,infraestructura
alejandro fleming n/a,metropolitana,Las Condes,-33.42545,-70.55409,48,AC,22,2,536,114.50156744682776,2,True
alonso de cordova 6050,metropolitana,Las Condes,-33.40788,-70.56829,22,AC,22,2,579,24.307919680708732,2,True
"av, manquehue sur 1590",metropolitana,Las Condes,-33.42487,-70.56338,22,AC,22,3,404,3.9392931351701277,3,True
av. apoquindo #4900,metropolitana,Las Condes,-33.41159,-70.57807,44,AC,22,2,269,12.777036288929924,2,True
av. las condes 11049,metropolitana,Las Condes,-33.37999,-70.52888,"7,4",AC,"7,4",2,255,96.37967494237262,2,True
av. las condes 12145,metropolitana,Las Condes,-33.37418,-70.5198,"43,56",AC,22,2,104,19.381541364754664,2,True
"av. padre hurtado sur #875, piso -2",metropolitana,Las Condes,-33.41512,-70.5405,7,AC,7,1,268,30.793707208731888,1,True
av. plaza n/a,metropolitana,Las Condes,-33.3927,-70.50372,48,AC,22,2,591,172.0961712674375,2,True
av. presidente kennedy lateral 5055,metropolitana,Las Condes,-33.40249,-70.58085,14,AC,7,2,5,54.01623701993152,2,True
avenida americo vespucio sur 345,metropolitana,Las Condes,-33.41832,-70.58336,"7,4",AC,"7,4",2,546,114.02552541201689,2,True
avenida apoquindo 5680,metropolitana,Las Condes,-33.40941,-70.57111,22,AC,22,2,376,40.19161345159305,2,True
avenida las condes 10462,metropolitana,Las Condes,-33.38263,-70.5334,"7,4",AC,"7,4",2,242,185.89594833445472,2,True
avenida las condes 13451,metropolitana,Las Condes,-33.37041,-70.50717,"6,6",AC,"6,6",4,152,57.11368263817093,4,True
avenida las condes 9595,metropolitana,Las Condes,-33.38842,-70.53921,22,AC,22,3,10,24.64208051790211,3,True
avenida padre hurtado sur 1621,metropolitana,Las Condes,-33.42325,-70.53849,70,DC,60,2,558,2.824644869504053,2,True
avenida presidente errazuriz s/n,metropolitana,Las Condes,-33.41885,-70.5837,45,AC,22,2,455,140.209734739799,2,True
avenida presidente riesco s/n,metropolitana,Las Condes,-33.40137,-70.56781,45,AC,22,4,77,102.59904931473389,4,True
avenida vitacura 2610,metropolitana,Las Condes,-33.41649,-70.60496,"7,4",AC,"7,4",2,159,64.87404403805465,2,True
avenida vitacura 2885,metropolitana,Las Condes,-33.41251,-70.60296,"7,7",AC,"7,7",2,101,1.6270509642436104,2,True
cerro colorado s/n,metropolitana,Las Condes,-33.40423,-70.58,45,AC,22,2,132,4.056078760378923,2,True
cerro el plomo 5931,metropolitana,Las Condes,-33.40446,-70.5705,"7,4",AC,"7,4",8,97,76.56009064887947,8,True
colon 4333,metropolitana,Las Condes,-33.42377,-70.58047,55,DC,50,3,465,50.466738933630964,3,True
cristobal colon 7550,metropolitana,Las Condes,-33.41754,-70.55222,70,DC,50,5,20,20.246765746791706,5,True
el alcalde 15,metropolitana,Las Condes,-33.4159,-70.59524,22,AC,22,2,216,68.41369231522886,2,True
enrique foster 21,metropolitana,Las Condes,-33.41556,-70.59412,7,AC,7,2,298,27.1219884972199,2,True
isidora goyenechea 2939,metropolitana,Las Condes,-33.41422,-70.60025,"3,5",AC,"3,5",4,92,20.941634448526496,4,True
juan de austria n/a,metropolitana,Las Condes,-33.43089,-70.57912,48,AC,22,2,483,65.15730540097435,2,True
kennedy 4601,metropolitana,Las Condes,-33.40395,-70.58281,44,AC,22,2,18,75.8791749670097,2,True
la castellana sur s/n,metropolitana,Las Condes,-33.41191,-70.57688,45,AC,22,2,33,79.42548913443969,2,True
los militares 4611,metropolitana,Las Condes,-33.41278,-70.58235,22,AC,22,2,245,96.60123941994203,2,True
los militares 4661,metropolitana,Las Condes,-33.4121,-70.58118,7,AC,7,2,477,31.00330899868866,2,True
mar de los sargazos s/n,metropolitana,Las Condes,-33.41039,-70.56998,45,AC,22,2,195,32.07850834061683,2,True
patagonia 75,metropolitana,Las Condes,-33.40918,-70.54478,50,DC,50,3,383,26.090459253115135,3,True
presidente errazuriz n/a,metropolitana,Las Condes,-33.42129,-70.5953,48,AC,22,4,353,40.63166898739396,4,True
presidente kennedy 5413,metropolitana,Las Condes,-33.4018,-70.57972,14,AC,7,2,87,104.4063973322195,2,True
presidente kennedy 5601,metropolitana,Las Condes,-33.40118,-70.57539,14,AC,7,6,161,5.670176940640328,6,True
presidente kennedy 5741,metropolitana,Las Condes,-33.39999,-70.57428,22,AC,22,1,354,23.9988034327867,1,True
presidente riesco 5330,metropolitana,Las Condes,-33.39742,-70.55966,7,AC,7,18,510,524.1035948448592,18,True
presidente riesco con rosario norte (av. pdte. riesco #5810),metropolitana,Las Condes,-33.40388,-70.57396,44,AC,44,2,257,63.84601060397957,2,True
rosario norte 530,metropolitana,Las Condes,-33.40513,-70.57304,22,AC,22,3,259,12.597039248653768,3,True
san carlos de apoquindo 2300,metropolitana,Las Condes,-33.40417,-70.50836,44,AC,22,2,117,46.33585352301589,2,True
san ramon 2701,metropolitana,Las Condes,-33.40754,-70.51114,"21,78",AC,11,2,584,12.355932785070555,2,True
