electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max,Zmax,Z_inicial
"avda. libertador bernardo o""higgins frente al 4620",metropolitana,Estación Central,-33.45627,-70.69906,44,AC,22,2,Shell,fuel,,,,Estación Central,-70.6974788,-33.4557455,fuel,10,158.08078050169496,0.0,34.0,20,0
avenida libertador bernardo o´higgins 3470,metropolitana,Estación Central,-33.272,-70.415,"7,4",AC,"7,4",2,Mall Plaza Alameda,,mall,yes,,Estación Central,-70.68220596683685,-33.45288121375586,mall,20,17.065689361283063,,,50,0
ecuador 5140,metropolitana,Estación Central,-33.45606,-70.70501,70,DC,60,2,Enel X,charging_station,,,,Estación Central,-70.70520420000001,-33.4560614,charging_station,30,18.05370536858784,,,40,0
enrique kirberg frente al 4,metropolitana,Estación Central,-33.45024,-70.68283,44,AC,22,2,,parking,,,,Estación Central,-70.6823792,-33.45048649999999,parking,25,50.03708258872684,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.7294726,-33.4680053,parking,25,,,,30,0
,,,,,,,,0,Terminal San Borja,parking,,,,Estación Central,-70.6803205,-33.45430950000001,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.681395,-33.4508201,parking,25,,,,30,0
,,,,,,,,0,Universidad de Santiago de Chile,parking,,,,Estación Central,-70.6810837,-33.4497032,parking,25,,,,30,0
,,,,,,,,0,Terpel,fuel,,,,Estación Central,-70.6789823,-33.4643986,fuel,10,,0.0,20.0,20,0
,,,,,,,,0,Ekono,,supermarket,,,Estación Central,-70.6929931,-33.4683603,supermarket,10,,,,18,0
,,,,,,,,0,Tottus,,supermarket,,,Estación Central,-70.6826325,-33.4526539,supermarket,10,,,,18,0
,,,,,,,,0,Monserrat,,supermarket,,,Estación Central,-70.7261154,-33.4681353,supermarket,10,,,,18,0
,,,,,,,,0,Lider Express,,supermarket,,,Estación Central,-70.7053616,-33.456691500000005,supermarket,10,,,,18,0
,,,,,,,,0,Copec,fuel,,,,Estación Central,-70.6877023,-33.46640219999998,fuel,10,,0.0,35.0,20,0
,,,,,,,,0,,charging_station,,,,Estación Central,-70.6827737,-33.4743188,charging_station,30,,,,40,0
,,,,,,,,0,Santa Isabel,,supermarket,,,Estación Central,-70.680086,-33.4516965,supermarket,10,,,,18,0
,,,,,,,,0,Shell,fuel,,,,Estación Central,-70.7014242,-33.4545464,fuel,10,,0.0,21.0,20,0
,,,,,,,,0,Copec,fuel,,,,Estación Central,-70.6983452,-33.4528923,fuel,10,,0.0,94.0,20,0
,,,,,,,,0,Shell,fuel,,,,Estación Central,-70.6794142,-33.44814319999999,fuel,10,,0.0,21.0,20,0
,,,,,,,,0,Copec,fuel,,,,Estación Central,-70.7186815,-33.4706809,fuel,10,,0.0,58.0,20,0
,,,,,,,,0,Romerelli,recycling,,commercial,,Estación Central,-70.6908863,-33.466242699999995,recycling,13,,,,10,0
,,,,,,,,0,Clínica RedSalud Santiago,hospital,,,,Estación Central,-70.7018142,-33.45711899999999,hospital,6,,,,25,0
,,,,,,,,0,,parking,,,,Estación Central,-70.7018173,-33.456835899999994,parking,25,,,,30,0
,,,,,,,,0,Shell,fuel,,,,Estación Central,-70.6875882,-33.452647799999994,fuel,10,,0.0,159.0,20,0
,,,,,,,,0,,parking,,,,Estación Central,-70.6820651,-33.4457466,parking,25,,,,30,0
,,,,,,,,0,Terrapuerto Turbus,charging_station,,,,Estación Central,-70.6865034,-33.4542123,charging_station,30,,0.0,20.0,40,0
,,,,,,,,0,Santo Tomás Sede Estación Central,university,,,,Estación Central,-70.6781996,-33.4524508,university,10,,,,35,0
,,,,,,,,0,Vegamercado,,supermarket,,,Estación Central,-70.72412161346958,-33.46680719349944,supermarket,10,,,,18,0
,,,,,,,,0,Estadio Marista,,,,stadium,Estación Central,-70.6867064736576,-33.44534965106137,stadium,20,,,,60,0
,,,,,,,,0,Universidad de Santiago de Chile,university,,,,Estación Central,-70.68432231470211,-33.44936674822018,university,10,,,,35,0
,,,,,,,,0,Lider,,supermarket,supermarket,,Estación Central,-70.69206031959745,-33.45279722077114,supermarket,10,,,,18,0
,,,,,,,,0,Arauco Estación,,mall,yes,,Estación Central,-70.67984397197817,-33.45255638785987,mall,20,,,,50,0
,,,,,,,,0,Estadio Ferrocarriles,,,,stadium,Estación Central,-70.67428745629036,-33.47179004404634,stadium,20,,,,60,0
,,,,,,,,0,Hospital Clínico Mutual de Seguridad,hospital,,,,Estación Central,-70.70069718473582,-33.45710294951132,hospital,6,,,,25,0
