electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
av. sanchez fontecilla 8968,metropolitana,La Florida,-33.53467,-70.55362,24,DC,24,2,Lider Express,,supermarket,,,La Florida,-70.553768844901,-33.5341221614133,supermarket,10,18,10,62.30707410273695,750
av. vicuna mackenna 8153,metropolitana,La Florida,-33.52875,-70.59615,"7,4",AC,"7,4",2,,parking,,,,La Florida,-70.59646621135539,-33.52863022531432,parking,25,30,0,32.23375370827972,650
,,,,,,,,0,,parking,,,,La Florida,-70.60555,-33.5173412,parking,25,30,0,,260
,,,,,,,,0,Mall Florida Center,parking,,,,La Florida,-70.6052673,-33.5119792,parking,25,30,0,,260
,,,,,,,,0,Mall Florida Center,parking,,,,La Florida,-70.605499,-33.510784099999995,parking,25,30,0,,260
,,,,,,,,0,Mall Florida Center,parking,,,,La Florida,-70.6071043,-33.51129699999999,parking,25,30,0,,260
,,,,,,,,0,,parking,,,,La Florida,-70.5864253,-33.55836539999999,parking,25,30,0,,260
,,,,,,,,0,,parking,,,,La Florida,-70.5827888,-33.55156190000001,parking,25,30,0,,260
,,,,,,,,0,Lider Express,,supermarket,,,La Florida,-70.5868446,-33.5465911,supermarket,10,18,0,,300
,,,,,,,,0,Punto Rabié,,supermarket,,,La Florida,-70.6021417,-33.5516366,supermarket,10,18,0,,300
,,,,,,,,0,Lider,,supermarket,,,La Florida,-70.5966485,-33.51816289999999,supermarket,10,18,0,,300
,,,,,,,,0,Tottus,,supermarket,,,La Florida,-70.5954147,-33.51979399999999,supermarket,10,18,0,,300
,,,,,,,,0,Strip Center Paseo La Florida,parking,,,,La Florida,-70.5696977,-33.54322369999999,parking,25,30,0,,260
,,,,,,,,0,Jumbo,,supermarket,,,La Florida,-70.6075552,-33.5096462,supermarket,10,18,0,,300
,,,,,,,,0,,parking,,,,La Florida,-70.5756535,-33.5227457,parking,25,30,0,,260
,,,,,,,,0,Unimarc,,supermarket,,,La Florida,-70.5555143,-33.535039999999995,supermarket,10,18,0,,300
,,,,,,,,0,Mayorista 10,,supermarket,,,La Florida,-70.5722365,-33.53524629999999,supermarket,10,18,0,,300
,,,,,,,,0,Super Mayorista 10,,supermarket,,,La Florida,-70.5989992,-33.5197173,supermarket,10,18,0,,300
,,,,,,,,0,,parking,,,,La Florida,-70.5671615,-33.53607480000001,parking,25,30,0,,260
,,,,,,,,0,Copec,fuel,,,,La Florida,-70.599644,-33.5230875,fuel,10,20,0,,280
,,,,,,,,0,Copec,fuel,,,,La Florida,-70.5686596,-33.54791109999999,fuel,10,20,0,,280
,,,,,,,,0,Eco Green,fuel,,,,La Florida,-70.5850913,-33.5195391,fuel,10,20,0,,280
,,,,,,,,0,Copec,fuel,,,,La Florida,-70.6144006,-33.54669239999999,fuel,10,20,0,,280
,,,,,,,,0,Lider Express,,supermarket,,,La Florida,-70.5939899,-33.5352407,supermarket,10,18,0,,300
,,,,,,,,0,Lavado de AutosMartinez,car_wash,,,,La Florida,-70.5747009,-33.514734600000004,car_wash,2,10,0,,80
,,,,,,,,0,,parking,,,,La Florida,-70.5866612,-33.5516117,parking,25,30,0,,260
,,,,,,,,0,,parking,,,,La Florida,-70.5861728,-33.551618399999995,parking,25,30,0,,260
