electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
avenida el rodeo 12850,metropolitana,Lo Barnechea,-33.35227,-70.52073,70,DC,30,2,Espacio Urbano La Dehesa,,mall,yes,,Lo Barnechea,-70.52074441574428,-33.352303595318936,mall,20,50,35,3.9597169300571338,346
avenida las condes 12916,metropolitana,Lo Barnechea,-33.36968,-70.51218,24,DC,24,4,Lider,,supermarket,yes,,Lo Barnechea,-70.512286954066,-33.36973641276923,supermarket,10,18,0,11.754690403228778,288
avenida raul labbe 12931,metropolitana,Lo Barnechea,-33.36654,-70.51665,"7,4",AC,"7,4",2,,parking,,,,Lo Barnechea,-70.51784533480594,-33.3698136004734,parking,25,30,0,379.67894013622936,250
camino los trapenses 3385,metropolitana,Lo Barnechea,-33.34485,-70.54589,50,DC,50,3,,parking,,,,Lo Barnechea,-70.54489639349026,-33.34368910942831,parking,25,30,0,158.51060708690738,250
camino los trapenses 3515,metropolitana,Lo Barnechea,-33.34331,-70.54444,44,AC,22,2,Mall Paseo Los Trapenses,,mall,yes,,Lo Barnechea,-70.54454829756787,-33.3434290652381,mall,20,50,0,16.611489191287852,346
comandante malbec 12851,metropolitana,Lo Barnechea,-33.35971,-70.51527,22,AC,22,2,Petrobras,fuel,,yes,,Lo Barnechea,-70.51605667188973,-33.35984030151681,fuel,10,20,0,74.61828963608328,269
jose alcalde delano 10492,metropolitana,Lo Barnechea,-33.35645,-70.53946,44,AC,22,2,Mall VIVO Los Trapenses,,mall,,,Lo Barnechea,-70.539912,-33.3567516,mall,20,50,0,53.74006528167963,346
paseo pie andino 5885,metropolitana,Lo Barnechea,-33.32395,-70.53919,22,DC,22,2,Lider Express,,supermarket,,,Lo Barnechea,-70.5385981,-33.3238862,supermarket,10,18,0,55.55618654088181,288
,,,,,,,,0,Estacionamiento Chuck e Cheese,parking,,,,Lo Barnechea,-70.5183539,-33.3709378,parking,25,30,0,,100
,,,,,,,,0,The Mayflower School,parking,,,,Lo Barnechea,-70.5074002,-33.3456433,parking,25,30,0,,100
,,,,,,,,0,Valle Escondido,parking,,,,Lo Barnechea,-70.491367,-33.351056500000006,parking,25,30,0,,100
,,,,,,,,0,Copec,fuel,,,,Lo Barnechea,-70.5168466,-33.3602065,fuel,10,20,0,,108
,,,,,,,,0,Valle Nevado,parking,,,,Lo Barnechea,-70.2487994,-33.3536969,parking,25,30,0,,100
,,,,,,,,0,,parking,,,,Lo Barnechea,-70.5006385,-33.35118889999999,parking,25,30,0,,100
