electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,Zmax,Z_inicial
av. quilin frente al 3250,metropolitana,Macul,-33.48513,-70.59783,"43,56",AC,"21,78",2,Ali Store,,,commercial,,Macul,-70.59896689999884,-33.48722290005619,commercial,10,255.013429971249,15,0
los platanos frente a 3130,metropolitana,Macul,-33.48225,-70.5995,"43,56",AC,"21,78",2,Erbi,,supermarket,yes,,Macul,-70.59975325332154,-33.48099046017784,supermarket,10,141.65039676229185,18,0
poeta augusto winter frente 3941,metropolitana,Macul,-33.49003,-70.59367,"43,56",AC,"21,78",2,Copec Voltex,charging_station,,,,Macul,-70.5937147,-33.4900762,charging_station,30,6.595656692871617,40,0
vicuna mackenna 4860,metropolitana,Macul,-33.49726,-70.61032,"7,4",AC,"7,4",4,Pontificia Universidad Católica de Chile (Campus San Joaquín),university,,,,Macul,-70.61069656352336,-33.498612040229546,university,10,153.96868820017391,35,0
,,,,,,,,0,,parking,,,,Macul,-70.6112595,-33.4954152,parking,25,,30,0
,,,,,,,,0,Terpel,car_wash,,,,Macul,-70.5890844,-33.5032535,car_wash,2,,10,0
,,,,,,,,0,Copec,car_wash,,,,Macul,-70.5914028,-33.5049799,car_wash,2,,10,0
,,,,,,,,0,,parking,,,,Macul,-70.5901247,-33.49680789999999,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.5918574,-33.496289600000004,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.5913853,-33.49662949999998,parking,25,,30,0
,,,,,,,,0,Sesa,fuel,,,,Macul,-70.6004091,-33.501850999999995,fuel,10,,20,0
,,,,,,,,0,Lider Express,,supermarket,,,Macul,-70.6002902,-33.50221830000001,supermarket,10,,18,0
,,,,,,,,0,service P Y W,car_wash,,,,Macul,-70.6207095,-33.481908100000005,car_wash,2,,10,0
,,,,,,,,0,,parking,,,,Macul,-70.6216848,-33.478821800000006,parking,25,,30,0
,,,,,,,,0,Super 10,,supermarket,,,Macul,-70.6126477,-33.48397229999999,supermarket,10,,18,0
,,,,,,,,0,,parking,,,,Macul,-70.5953808,-33.5090505,parking,25,,30,0
,,,,,,,,0,Shell,fuel,,,,Macul,-70.6064906,-33.474281299999994,fuel,10,,20,0
,,,,,,,,0,Copec,fuel,,,,Macul,-70.6137355,-33.50774839999999,fuel,10,,20,0
,,,,,,,,0,Copec,fuel,,,,Macul,-70.5916348,-33.5050763,fuel,10,,20,0
,,,,,,,,0,,parking,,,,Macul,-70.5858284,-33.4874521,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6168061,-33.486816700000006,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.61618850000002,-33.4875624,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6147217,-33.500784,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.5919848,-33.496583,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.61236872626,-33.50089552087963,parking,25,,30,0
,,,,,,,,0,Lider,,supermarket,yes,,Macul,-70.59968777968938,-33.47442136337036,supermarket,10,,18,0
,,,,,,,,0,Inacap Santiago Sur,university,,,,Macul,-70.61671260385263,-33.49026601116528,university,10,,35,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.6094987462031,-33.499259931611604,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.61155310845406,-33.49621285679433,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.60806106206113,-33.49710084901372,parking,25,,30,0
,,,,,,,,0,Estacionamiento Norte 1,parking,,,,Macul,-70.61530153542061,-33.49664103611315,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.61051313409357,-33.501041655623816,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.61702425225207,-33.491902372927484,parking,25,,30,0
,,,,,,,,0,Inacap,parking,,,,Macul,-70.61622507253092,-33.4901524674184,parking,25,,30,0
,,,,,,,,0,Ekono,,supermarket,yes,,Macul,-70.58893068712051,-33.48010494926267,supermarket,10,,18,0
,,,,,,,,0,,parking,,,,Macul,-70.6064301023011,-33.50817038859767,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60447840160943,-33.50663754254912,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60794635714332,-33.5072667431955,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60746342262229,-33.50600183946174,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60601904006161,-33.505347490336135,parking,25,,30,0
,,,,,,,,0,Estadio Monumental,,,,stadium,Macul,-70.60596628664723,-33.50653677087121,stadium,20,,60,0
,,,,,,,,0,Copec,fuel,,roof,,Macul,-70.59996432426554,-33.49061024572728,fuel,10,,20,0
,,,,,,,,0,Autoshopping,,,retail,,Macul,-70.59353557701421,-33.50924160243825,retail,6,,12,0
,,,,,,,,0,Luxo Carwash,car_wash,,roof,,Macul,-70.60172655000122,-33.495850750015705,car_wash,2,,10,0
,,,,,,,,0,,,,retail,,Macul,-70.60732327809626,-33.49091872889298,retail,6,,12,0
,,,,,,,,0,Supermercado Mayorista 10,,supermarket,yes,,Macul,-70.61385414995208,-33.48402165074333,supermarket,10,,18,0
,,,,,,,,0,Distribuidora J&M,,supermarket,yes,,Macul,-70.59243757102787,-33.505041500342514,supermarket,10,,18,0
,,,,,,,,0,,,,retail,,Macul,-70.58828887426868,-33.47955238452052,retail,6,,12,0
,,,,,,,,0,Copec,fuel,,roof,,Macul,-70.59874784858222,-33.478000907829994,fuel,10,,20,0
,,,,,,,,0,Shell,fuel,,roof,,Macul,-70.59934428106781,-33.47910622513184,fuel,10,,20,0
,,,,,,,,0,Supermercado San José,,supermarket,yes,,Macul,-70.59503944558035,-33.501582852578785,supermarket,10,,18,0
,,,,,,,,0,,,,retail,,Macul,-70.596451683052,-33.499554973712094,retail,6,,12,0
,,,,,,,,0,,,,retail,,Macul,-70.59947447767394,-33.4778965385801,retail,6,,12,0
,,,,,,,,0,,,,commercial,,Macul,-70.5915837000385,-33.5061233500054,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.58322526276655,-33.478740697393285,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.5851354226189,-33.47679883261723,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.58516526879815,-33.47671399542738,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.58527587041652,-33.47666305359391,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.58535533718336,-33.47660178353327,commercial,10,,15,0
,,,,,,,,0,,,,commercial,,Macul,-70.58284600032721,-33.47752735143109,commercial,10,,15,0
,,,,,,,,0,Ekono,,supermarket,yes,,Macul,-70.58559330002444,-33.484724450061464,supermarket,10,,18,0
,,,,,,,,0,Katsu Crossfit y Fitness Solution,,,commercial,,Macul,-70.60170957032626,-33.47637831795938,commercial,10,,15,0
,,,,,,,,0,,parking,,,,Macul,-70.58097061833637,-33.47219040231695,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58061014282201,-33.47211904882118,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58134866879605,-33.48257005075485,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58128096742904,-33.48235453246666,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.57963741653109,-33.481386289819646,parking,25,,30,0
,,,,,,,,0,,,,commercial,,Macul,-70.57957165724035,-33.4815092688566,commercial,10,,15,0
,,,,,,,,0,,parking,,,,Macul,-70.5797585360107,-33.482841378021256,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58006213984716,-33.48351624575628,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58015345142273,-33.482570416983506,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58133858122837,-33.48317586124012,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58304959997344,-33.47864179999254,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60809418461966,-33.48949242073499,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60790744304407,-33.489455740687404,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6041185808992,-33.47774072558515,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58067060097329,-33.48647613755814,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58119054995949,-33.48126134997603,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.59271267993813,-33.48619565707518,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6071051099807,-33.50123244179961,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58331581480353,-33.489149565399295,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58731210069452,-33.492081849053044,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.5850826082094,-33.48832504902043,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58503334447688,-33.48802068117676,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.58579057708414,-33.48744288168245,parking,25,,30,0
,,,,,,,,0,,,,commercial,,Macul,-70.58204661565897,-33.49113839181683,commercial,10,,15,0
,,,,,,,,0,,parking,,,,Macul,-70.58340681336664,-33.491786502956785,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.59290461304961,-33.4767159736286,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60907298232392,-33.48295371335241,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6087962333257,-33.48261323345885,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60779996941078,-33.48289136621927,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60777327798786,-33.48438601706961,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60900296831008,-33.48377770048397,parking,25,,30,0
,,,,,,,,0,Restobar La Higuera,,,commercial,,Macul,-70.60547671761594,-33.47879616287386,commercial,10,,15,0
,,,,,,,,0,Copec,fuel,,roof,,Macul,-70.60586458926893,-33.49075289833785,fuel,10,,20,0
,,,,,,,,0,Shell,fuel,,,,Macul,-70.58917739313196,-33.50339858931097,fuel,10,,20,0
,,,,,,,,0,Campus PUC San Joaquin,parking,,,,Macul,-70.60973171350791,-33.49587468481907,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.59375414225507,-33.490506741970925,parking,25,,30,0
,,,,,,,,0,,,,commercial,,Macul,-70.61062657698115,-33.50598190399427,commercial,10,,15,0
,,,,,,,,0,,parking,,,,Macul,-70.6190355361566,-33.475871128912594,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.6136603882069,-33.501069162832486,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.5992940750053,-33.477775757084125,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.60633556644281,-33.50347596424826,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.61368594779123,-33.496349195979995,parking,25,,30,0
,,,,,,,,0,Campus PUC San Joaquín,parking,,,,Macul,-70.60941595350343,-33.49844933327286,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.61060618945297,-33.50130983482139,parking,25,,30,0
,,,,,,,,0,,parking,,,,Macul,-70.59995075293955,-33.473933695445915,parking,25,,30,0
