electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
americo vespucio 400,metropolitana,Pudahuel,-33.45607,-70.76757,44.0,AC,22.0,2,,,supermarket,,,Pudahuel,-70.7623322,-33.455412,supermarket,10,18,0,492.3620630870024,390
av. americo vespucio 1289,metropolitana,Pudahuel,-33.42819,-70.78205,22.0,AC,22.0,23,,parking,,,,Pudahuel,-70.7807265,-33.42746480000001,parking,25,30,0,147.0264268807747,338
costanera norte km 34,metropolitana,Pudahuel,-33.43393,-70.81048,50.0,DC,50.0,3,,parking,,,,Pudahuel,-70.81043270506771,-33.433873940725185,parking,25,30,0,7.615555406253426,338
jean mermoz 2101,metropolitana,Pudahuel,-33.39934,-70.79489,22.0,AC,22.0,6,Enel X,charging_station,,,,Pudahuel,-70.7948344,-33.398714600000005,charging_station,30,40,0,69.55276161861731,520
los ediles 747,metropolitana,Pudahuel,-33.44625,-70.74481,44.0,AC,22.0,2,,parking,,,,Pudahuel,-70.7444146181971,-33.44586593694818,parking,25,30,0,56.26320371125414,338
puerto madero 9710,metropolitana,Pudahuel,-33.45277,-70.78616,44.0,AC,22.0,2,Estacionamiento aguas industriales,parking,,,,Pudahuel,-70.78318176874049,-33.45544511128414,parking,25,30,0,405.809573103404,338
ruta 68 18501,metropolitana,Pudahuel,-33.43693,-70.83869,44.0,AC,22.0,2,Parque de Innovación Universidad de Chile,university,,,,Pudahuel,-70.84007890652111,-33.437316569109925,university,10,35,0,136.07926842003266,312
ruta 68 sur km 18.5,metropolitana,Pudahuel,-33.4398,-70.84116,50.0,DC,50.0,3,Enel X,charging_station,,,,Pudahuel,-70.8412898,-33.440045100000006,charging_station,30,40,0,29.74241287187073,520
san pablo 8444,metropolitana,Pudahuel,-33.44567,-70.74401,44.0,AC,22.0,1,,parking,,,,Pudahuel,-70.7441277,-33.44479099999999,parking,25,30,0,98.09687272141812,338
,,,,,,,,0,Copec,fuel,,,,Pudahuel,-70.8045942,-33.4403499,fuel,10,20,0,,146
,,,,,,,,0,Shell,fuel,,,,Pudahuel,-70.84147,-33.44034,fuel,10,20,0,,146
,,,,,,,,0,Copec,fuel,,,,Pudahuel,-70.8105774,-33.434332299999994,fuel,10,20,0,,146
,,,,,,,,0,,parking,,,,Pudahuel,-70.8048031,-33.44029199999999,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7746237,-33.4526927,parking,25,30,0,,135
,,,,,,,,0,Santa Isabel,,supermarket,,,Pudahuel,-70.7623767,-33.4537375,supermarket,10,18,0,,156
,,,,,,,,0,,parking,,,,Pudahuel,-70.8041274,-33.440390499999985,parking,25,30,0,,135
,,,,,,,,0,Petrobras,parking,,,,Pudahuel,-70.7904652,-33.442320200000005,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7499116,-33.444259400000014,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7952068,-33.3798441,parking,25,30,0,,135
,,,,,,,,0,,parking,,,,Pudahuel,-70.7620617,-33.4325775,parking,25,30,0,,135
