electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
avenida costanera ferrea frente al 0495,metropolitana,Quilicura,-33.35561,-70.71316,"43,56",AC,"21,78",2,,parking,,,,Quilicura,-70.70711034234549,-33.35638697759992,parking,25,30,0,569.5846333196979,374
pasaje dallas frente a 266,metropolitana,Quilicura,-33.36854,-70.72389,"43,56",AC,"21,78",2,,parking,,,,Quilicura,-70.72385482192314,-33.36853298489928,parking,25,30,0,3.36467691642761,374
san ignacio frente al 951,metropolitana,Quilicura,-33.33225,-70.70984,"43,56",AC,"21,78",2,Outlet Store Ferouch,,,commercial,,Quilicura,-70.71154289944694,-33.329597950743526,commercial,10,15,0,334.1183518758974,202
,,,,,,,,0,Santa Isabel,,supermarket,,,Quilicura,-70.7299147,-33.3828556,supermarket,10,18,0,,173
,,,,,,,,0,JCD,fuel,,,,Quilicura,-70.7504202,-33.375907899999994,fuel,10,20,0,,161
,,,,,,,,0,,car_wash,,,,Quilicura,-70.705376,-33.3325698,car_wash,2,10,0,,46
,,,,,,,,0,,parking,,,,Quilicura,-70.7132744,-33.3234687,parking,25,30,0,,150
,,,,,,,,0,Shell,fuel,,,,Quilicura,-70.7289614,-33.35744959999999,fuel,10,20,0,,161
,,,,,,,,0,La Bakería,,supermarket,,,Quilicura,-70.7165013,-33.367687600000004,supermarket,10,18,0,,173
,,,,,,,,0,Shell,fuel,,,,Quilicura,-70.7374226,-33.37203019999999,fuel,10,20,0,,161
,,,,,,,,0,Copec,fuel,,,,Quilicura,-70.7284166,-33.3452444,fuel,10,20,0,,161
,,,,,,,,0,Multioutlet,,mall,,,Quilicura,-70.7019698,-33.3295628,mall,20,50,0,,207
,,,,,,,,0,Copec,fuel,,,,Quilicura,-70.7365398,-33.371293,fuel,10,20,0,,161
,,,,,,,,0,Lider Express,,supermarket,,,Quilicura,-70.7387359,-33.3522495,supermarket,10,18,0,,173
,,,,,,,,0,,parking,,,,Quilicura,-70.6908493,-33.3649967,parking,25,30,0,,150
,,,,,,,,0,,parking,,,,Quilicura,-70.6925632,-33.36463489999999,parking,25,30,0,,150
,,,,,,,,0,,parking,,,,Quilicura,-70.6929226,-33.3617115,parking,25,30,0,,150
,,,,,,,,0,Lavamax,car_wash,,,,Quilicura,-70.728037,-33.34504030000001,car_wash,2,10,0,,46
,,,,,,,,0,Tesla  Supercharger,charging_station,,,,Quilicura,-70.7032255,-33.33089600000001,charging_station,30,40,0,,230
,,,,,,,,0,,car_wash,,,,Quilicura,-70.7363626,-33.3711361,car_wash,2,10,0,,46
,,,,,,,,0,Lider Express,,supermarket,,,Quilicura,-70.7308407,-33.36782079999999,supermarket,10,18,0,,173
,,,,,,,,0,Lider,,supermarket,yes,,Quilicura,-70.72767148181637,-33.35623221022357,supermarket,10,18,0,,173
,,,,,,,,0,Paseo Lo Campino,,shopping_centre,retail,,Quilicura,-70.73013331170749,-33.38292841642973,shopping_centre,13,10,0,,58
,,,,,,,,0,Easton Outlet Mall,,mall,,,Quilicura,-70.71250647118046,-33.334863116982135,mall,20,50,0,,207
,,,,,,,,0,Santa Isabel,,supermarket,yes,,Quilicura,-70.74529413833497,-33.359203102047715,supermarket,10,18,0,,173
,,,,,,,,0,Patio Quilicura,,shopping_centre,retail,,Quilicura,-70.72826971572513,-33.35523779677932,shopping_centre,13,10,0,,58
,,,,,,,,0,Mall Arauco Quilicura,,mall,,,Quilicura,-70.72998044834195,-33.36829180617769,mall,20,50,0,,207
,,,,,,,,0,,parking,,,,Quilicura,-70.72964528366876,-33.3826935832152,parking,25,30,0,,150
,,,,,,,,0,Alvi,,supermarket,yes,,Quilicura,-70.73629268288241,-33.36272860978188,supermarket,10,18,0,,173
,,,,,,,,0,,,,retail,,Quilicura,-70.7293893255497,-33.35457456668901,retail,6,12,0,,69
,,,,,,,,0,,,,commercial,,Quilicura,-70.70575138389864,-33.33420216787239,commercial,10,15,0,,81
,,,,,,,,0,,,,commercial,,Quilicura,-70.70541489945272,-33.33497630065465,commercial,10,15,0,,81
,,,,,,,,0,Garibaldi S.A.,,,commercial,,Quilicura,-70.74270381122433,-33.380063981214754,commercial,10,15,0,,81
,,,,,,,,0,,parking,,,,Quilicura,-70.70409928290638,-33.359847393361946,parking,25,30,0,,150
,,,,,,,,0,,parking,,,,Quilicura,-70.70084579547135,-33.36134451428773,parking,25,30,0,,150
,,,,,,,,0,Alimentos Hitecsa,,supermarket,yes,,Quilicura,-70.70732785003887,-33.32995390003863,supermarket,10,18,0,,173
,,,,,,,,0,,parking,,,,Quilicura,-70.70495627745446,-33.330733316826695,parking,25,30,0,,150
,,,,,,,,0,,parking,,,,Quilicura,-70.7032343235097,-33.333155954028136,parking,25,30,0,,150
,,,,,,,,0,,parking,,,,Quilicura,-70.70440189655261,-33.33199864464687,parking,25,30,0,,150
