electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,Zmax,Z_inicial
vicu¿a mackenna 4917,metropolitana,San Joaquín,-33.50026,-70.61647,22.0,AC,22.0,2,Enel X,charging_station,,,,San Joaquín,-70.616603,-33.5000716,charging_station,30,24.27425190693767,40,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6416871,-33.4764512,parking,25,,30,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6322168,-33.47366819999999,parking,25,,30,0
,,,,,,,,0,Terpel,fuel,,,,San Joaquín,-70.641243,-33.481265399999984,fuel,10,,20,0
,,,,,,,,0,Copec,fuel,,,,San Joaquín,-70.6262217,-33.472416,fuel,10,,20,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6254266,-33.50854579999999,parking,25,,30,0
,,,,,,,,0,Shell,fuel,,,,San Joaquín,-70.6238516,-33.49609250000001,fuel,10,,20,0
,,,,,,,,0,Copec Voltex,charging_station,,,,San Joaquín,-70.6257751,-33.47535719999998,charging_station,30,,40,0
,,,,,,,,0,Ekono,,supermarket,,,San Joaquín,-70.6270752,-33.50375799999999,supermarket,10,,18,0
,,,,,,,,0,Rápido y Brillaso,car_wash,,,,San Joaquín,-70.62452860000002,-33.5161859,car_wash,2,,10,0
,,,,,,,,0,Los No Hay Ná,,supermarket,,,San Joaquín,-70.6371156,-33.4981851,supermarket,10,,18,0
,,,,,,,,0,Shell,fuel,,,,San Joaquín,-70.63694270000002,-33.5066901,fuel,10,,20,0
,,,,,,,,0,Shell,fuel,,,,San Joaquín,-70.6165527,-33.4977061,fuel,10,,20,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6195828,-33.4878722,parking,25,,30,0
,,,,,,,,0,Copec,fuel,,,,San Joaquín,-70.6192133,-33.48706959999999,fuel,10,,20,0
,,,,,,,,0,Centro de Formación Técnica Santo Tomás San Joaquín,university,,,,San Joaquín,-70.6171953,-33.4989112,university,10,,35,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6384817,-33.478302000000006,parking,25,,30,0
,,,,,,,,0,Persa Departamental 100,,mall,,,San Joaquín,-70.61854075289274,-33.508737000304386,mall,20,,50,0
,,,,,,,,0,Estadio San Joaquín Oriente,,,,stadium,San Joaquín,-70.62215958490886,-33.51082894644173,stadium,20,,60,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.62353072867155,-33.50668813700105,parking,25,,30,0
,,,,,,,,0,Lider,,supermarket,yes,,San Joaquín,-70.62229979158555,-33.484192952600985,supermarket,10,,18,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.623568684854,-33.50845218527721,parking,25,,30,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.62235758209292,-33.50747599391944,parking,25,,30,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.6241397745267,-33.505969697035695,parking,25,,30,0
,,,,,,,,0,Universidad Técnica Federico Santa María Campus San Joaquín,university,,,,San Joaquín,-70.61913858098664,-33.49064618052253,university,10,,35,0
,,,,,,,,0,Estacionamiento Funcionarios,parking,,,,San Joaquín,-70.61910331149802,-33.49096489877601,parking,25,,30,0
,,,,,,,,0,Estacionamiento Alumnos,parking,,,,San Joaquín,-70.61990353200994,-33.49116433527798,parking,25,,30,0
,,,,,,,,0,Unimarc,,supermarket,yes,,San Joaquín,-70.63789088013776,-33.506276180005145,supermarket,10,,18,0
,,,,,,,,0,,,,commercial,,San Joaquín,-70.6381313500317,-33.50633569990759,commercial,10,,15,0
,,,,,,,,0,La Fábrica Patio Outlet,,mall,yes,,San Joaquín,-70.62657391827416,-33.48697956853581,mall,20,,50,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.62758009501313,-33.485601767506644,parking,25,,30,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.62535733713203,-33.486413718687245,parking,25,,30,0
,,,,,,,,0,,parking,,,,San Joaquín,-70.62610234683049,-33.4858001075261,parking,25,,30,0
,,,,,,,,0,Shell,fuel,,roof,,San Joaquín,-70.62765773046118,-33.501478307408696,fuel,10,,20,0
,,,,,,,,0,,,,commercial,,San Joaquín,-70.6304950427319,-33.48020905844142,commercial,10,,15,0
,,,,,,,,0,Terpel,fuel,,roof,,San Joaquín,-70.61231604993057,-33.510034300033446,fuel,10,,20,0
,,,,,,,,0,Lavado Autos,car_wash,,yes,,San Joaquín,-70.63446474998898,-33.51247105003354,car_wash,2,,10,0
