electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
av. americo vespucio 1501,metropolitana,Cerrillos,-33.517,-70.717,"7,4",AC,"7,4",4,,,mall,yes,,Cerrillos,-70.71759875835785,-33.51702285962344,mall,20,55.680205454649574
av. pedro aguirre cerda con felix margoz s/n,metropolitana,Cerrillos,-33.49439,-70.70549,22,AC,"7,4",4,Copec Voltex,charging_station,,,,Cerrillos,-70.7055131,-33.49435840000001,charging_station,30,4.109633687421406
,,,,,,,,0,Shell,fuel,,,,Cerrillos,-70.721256,-33.5182676,fuel,10,
,,,,,,,,0,,parking,,,,Cerrillos,-70.7104319,-33.5009094,parking,25,
,,,,,,,,0,La Oferta,,supermarket,,,Cerrillos,-70.6875943,-33.48317659999999,supermarket,10,
,,,,,,,,0,Comercial Siad Taleb,,supermarket,,,Cerrillos,-70.6877208,-33.483513200000004,supermarket,10,
,,,,,,,,0,,parking,,,,Cerrillos,-70.7095385,-33.4840762,parking,25,
,,,,,,,,0,,parking,,,,Cerrillos,-70.7046494,-33.48157369999999,parking,25,
,,,,,,,,0,Total,fuel,,,,Cerrillos,-70.7348463,-33.500052999999994,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Cerrillos,-70.7102614,-33.51825509999999,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Cerrillos,-70.7042451,-33.4926079,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Cerrillos,-70.6978283,-33.485087099999994,fuel,10,
,,,,,,,,0,Petrobras,fuel,,,,Cerrillos,-70.6873206,-33.482333300000015,fuel,10,
,,,,,,,,0,Tottus,,supermarket,,,Cerrillos,-70.7180017,-33.5174801,supermarket,10,
,,,,,,,,0,,parking,,,,Cerrillos,-70.7142237,-33.51705309999999,parking,25,
,,,,,,,,0,Lider,,supermarket,yes,,Cerrillos,-70.70909225721945,-33.516237732124374,supermarket,10,
,,,,,,,,0,Mall Plaza Oeste,parking,,,,Cerrillos,-70.71537407115491,-33.51688499629383,parking,25,
,,,,,,,,0,Iglesia Cristo Tu Única Esperanza,parking,,,,Cerrillos,-70.70816205369418,-33.51988320738347,parking,25,
,,,,,,,,0,Lider,parking,,,,Cerrillos,-70.7091770535271,-33.51720235292894,parking,25,
,,,,,,,,0,Mall Plaza Oeste,parking,,,,Cerrillos,-70.71890188746758,-33.51837030364203,parking,25,
,,,,,,,,0,Duoc UC Sede Plaza Oeste,university,,,,Cerrillos,-70.71842298143024,-33.51515424592832,university,10,
,,,,,,,,0,Mall Plaza Oeste,parking,,,,Cerrillos,-70.71587344512574,-33.518873942434325,parking,25,
,,,,,,,,0,Mall Plaza Oeste,parking,,,,Cerrillos,-70.71385693239814,-33.516777123223214,parking,25,
