electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
estados unidos 1365,metropolitana,Cerro Navia,-33.43004,-70.73747,44,AC,22,2,,charging_station,,,,Cerro Navia,-70.7377712,-33.42993109999999,charging_station,30,30.501545394889526
rolando petersen s/n,metropolitana,Cerro Navia,-33.41348,-70.74713,44,AC,22,2,,,,commercial,,Cerro Navia,-70.74740602781773,-33.41429820254095,commercial,10,94.30334494263971
,,,,,,,,0,,parking,,,,Cerro Navia,-70.7382594,-33.43376409999999,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.7380052,-33.4338869,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.744597,-33.42967680000001,parking,25,
,,,,,,,,0,El Triunfo,,supermarket,,,Cerro Navia,-70.7506225,-33.42652089999999,supermarket,10,
,,,,,,,,0,Aramco,fuel,,,,Cerro Navia,-70.7179431,-33.414342600000005,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Cerro Navia,-70.7383317,-33.42945219999999,fuel,10,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.75331110000002,-33.42541070000001,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.76490380000001,-33.4253028,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.7642783,-33.4261755,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.7649489,-33.4254592,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.763185,-33.4269702,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.7631218,-33.42702799999999,parking,25,
,,,,,,,,0,Parque Mapocho Río,parking,,,,Cerro Navia,-70.7688817,-33.41469060000001,parking,25,
,,,,,,,,0,Estacionamiento Tramo 3B,parking,,,,Cerro Navia,-70.7291806,-33.41415609999999,parking,25,
,,,,,,,,0,Estacionamiento Tramo 3A,parking,,,,Cerro Navia,-70.7234755,-33.4129785,parking,25,
,,,,,,,,0,,parking,,,,Cerro Navia,-70.740449,-33.42418870000001,parking,25,
,,,,,,,,0,Hospital Clínico Félix Bulnes,hospital,,,,Cerro Navia,-70.74170475734472,-33.42395564622348,hospital,6,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74099383310183,-33.428958516433845,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74077007711307,-33.421813416704374,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74094820000094,-33.4211674000117,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74139867281573,-33.41947542645636,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74201664302777,-33.41782828488386,commercial,10,
,,,,,,,,0,Super Bodega aCuenta,,supermarket,yes,,Cerro Navia,-70.74288447262083,-33.415728865387024,supermarket,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74063531225497,-33.428730284641595,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74063570000024,-33.4286409500017,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.7406498999997,-33.428402949996105,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74035396918232,-33.42157913335369,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.74040431038615,-33.42149558967918,commercial,10,
,,,,,,,,0,,,,commercial,,Cerro Navia,-70.7406732852184,-33.42039318951613,commercial,10,
