electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max
av. chamisero 10410,metropolitana,Colina,-33.30688,-70.66335,"43,56",AC,22,2,Copec Voltex,charging_station,,,,Colina,-70.663361,-33.30685299999999,charging_station,30,3.1646117795587476,30,45
av. chicureo 2300,metropolitana,Colina,-33.2855,-70.67739,70,DC,60,3,Aramco,fuel,,,,Colina,-70.6773797,-33.2855124,fuel,10,1.6767195929189314,0,79
chicureo 99,metropolitana,Colina,-33.28431,-70.68088,"7,4",AC,"7,4",1,Centro Comercial Los Ingleses,,,commercial,,Colina,-70.68027283276557,-33.285133484086145,commercial,10,107.41606133068716,0,163
colina sur 14600,metropolitana,Colina,-33.27782,-70.6278,70,DC,30,2,Espacio Urbano La Laguna,,mall,,,Colina,-70.6278431764964,-33.277964976513104,mall,20,16.572787478472247,,
ruta 5 norte km 27.5 s/n,metropolitana,Colina,-33.21605,-70.76698,72,AC,43,3,Estacionamiento Pronto Copec,parking,,,,Colina,-70.7671427716547,-33.21602104647133,parking,25,15.50939029803848,0,250
,,,,,,,,0,Petrobras,fuel,,,,Colina,-70.7655004,-33.219182,fuel,10,,0,76
,,,,,,,,0,Copec,fuel,,,,Colina,-70.7669566,-33.2163866,fuel,10,,0,170
,,,,,,,,0,Poligono de Tiro,parking,,,,Colina,-70.6932262,-33.12186260000001,parking,25,,,
,,,,,,,,0,Shell,fuel,,,,Colina,-70.6814772,-33.2116678,fuel,10,,0,68
,,,,,,,,0,Copec,fuel,,,,Colina,-70.67345040000001,-33.201291299999994,fuel,10,,0,53
,,,,,,,,0,Shell,fuel,,,,Colina,-70.6501586,-33.1821007,fuel,10,,0,42
,,,,,,,,0,Termas de Colina,parking,,,,Colina,-70.5985277,-33.18335629999999,parking,25,,,
,,,,,,,,0,Termas de Colina,parking,,,,Colina,-70.5990058,-33.183754699999994,parking,25,,,
,,,,,,,,0,Las Brisas de Chicureo,,supermarket,,,Colina,-70.6953615,-33.238681099999994,supermarket,10,,,
,,,,,,,,0,Marina Chicureo,parking,,,,Colina,-70.6289041,-33.279003,parking,25,,,
,,,,,,,,0,Clínica Marcos Cornejo,hospital,,,,Colina,-70.6761916,-33.2067295,hospital,6,,,
,,,,,,,,0,Lider Chicureo,parking,,,,Colina,-70.6275235,-33.27743569999999,parking,25,,,
,,,,,,,,0,Shell,fuel,,,,Colina,-70.6266077,-33.2774132,fuel,10,,0,51
,,,,,,,,0,,parking,,,,Colina,-70.7052963,-33.31548730000001,parking,25,,,
,,,,,,,,0,,parking,,,,Colina,-70.6747832,-33.23811969999999,parking,25,,,
,,,,,,,,0,Liga Oriente De Futbol,parking,,,,Colina,-70.6751771,-33.2278337,parking,25,,,
,,,,,,,,0,Lider Express,,supermarket,,,Colina,-70.7042628,-33.278237700000005,supermarket,10,,,
,,,,,,,,0,Top Car Wash,car_wash,,,,Colina,-70.704734,-33.27834699999998,car_wash,2,,0,713
,,,,,,,,0,Gastronomia Peruna,,supermarket,,,Colina,-70.67574,-33.205203000000004,supermarket,10,,,
,,,,,,,,0,,parking,,,,Colina,-70.6837259,-33.2826767,parking,25,,,
,,,,,,,,0,,parking,,,,Colina,-70.7083675,-33.0494422,parking,25,,,
,,,,,,,,0,,parking,,,,Colina,-70.7253356,-33.19787850000001,parking,25,,,
,,,,,,,,0,One,fuel,,,,Colina,-70.6973951,-33.25428680000002,fuel,10,,0,54
,,,,,,,,0,Tottus,,supermarket,,,Colina,-70.6280805,-33.27877819999999,supermarket,10,,,
,,,,,,,,0,,parking,,,,Colina,-70.7152885,-32.98745949999999,parking,25,,,
,,,,,,,,0,Shell,fuel,,,,Colina,-70.6969249,-33.3038246,fuel,10,,0,58
,,,,,,,,0,Shell,fuel,,,,Colina,-70.7035607,-33.2786577,fuel,10,,0,44
