electro_lat,electro_lon,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,0,Centro Empresarial El Cortijo,parking,,,,Conchalí,-70.6957384,-33.3672212,parking,25,
,,0,Centro Empresarial El Cortijo,parking,,,,Conchalí,-70.6966407,-33.36651169999999,parking,25,
,,0,Unimarc,,supermarket,,,Conchalí,-70.6644453,-33.386911099999985,supermarket,10,
,,0,Car Wash 3D,car_wash,,,,Conchalí,-70.6868672,-33.373678,car_wash,2,
,,0,Orange,fuel,,,,Conchalí,-70.6889386,-33.3669416,fuel,10,
,,0,Copec,fuel,,,,Conchalí,-70.6687669,-33.398834599999994,fuel,10,
,,0,Aramco,fuel,,,,Conchalí,-70.6808113,-33.38367989999998,fuel,10,
,,0,Shell,fuel,,,,Conchalí,-70.6827526,-33.400602,fuel,10,
,,0,Shell,fuel,,,,Conchalí,-70.6575487,-33.38695160000001,fuel,10,
,,0,Lavapro,car_wash,,,,Conchalí,-70.6750395,-33.390276099999994,car_wash,2,
,,0,Alvi,,supermarket,yes,,Conchalí,-70.67657909970382,-33.39024405038072,supermarket,10,
,,0,Lider,,supermarket,yes,,Conchalí,-70.676355352304,-33.390907197765394,supermarket,10,
,,0,Centro de Reparto Chilexpress,,,commercial,,Conchalí,-70.67214739999264,-33.39571935001049,commercial,10,
,,0,,,,retail,,Conchalí,-70.67264324618534,-33.38008090375268,retail,6,
,,0,,,,commercial,,Conchalí,-70.66461027366977,-33.380082926329315,commercial,10,
,,0,Copec,fuel,,roof,,Conchalí,-70.65961329877925,-33.38063739357423,fuel,10,
,,0,San Lorenzo,,supermarket,yes,,Conchalí,-70.65805960001614,-33.37931930005355,supermarket,10,
,,0,Lavado Autos,car_wash,,yes,,Conchalí,-70.68389791320539,-33.37864481818117,car_wash,2,
,,0,Centro de Lavado Ecologico de Vehiculos,car_wash,,yes,,Conchalí,-70.6675192000004,-33.394257250003804,car_wash,2,
,,0,Santa Isabel,,supermarket,yes,,Conchalí,-70.68221044631267,-33.37318410164845,supermarket,10,
,,0,,,,commercial,,Conchalí,-70.68805930085925,-33.369336944693,commercial,10,
,,0,Núcleo Vespucio,,,commercial,,Conchalí,-70.68563846032927,-33.36715222145708,commercial,10,
,,0,MiBodega,,,commercial,,Conchalí,-70.68396135015726,-33.367375700628784,commercial,10,
,,0,,fuel,,roof,,Conchalí,-70.6886058286217,-33.381884729092626,fuel,10,
,,0,Bodegas Multiuso SA,,,commercial,,Conchalí,-70.68675383449748,-33.39391698545657,commercial,10,
,,0,Shell,fuel,,roof,,Conchalí,-70.67507736421284,-33.39052816049961,fuel,10,
,,0,,,,commercial,,Conchalí,-70.6716669550476,-33.395271929276426,commercial,10,
,,0,,,,retail,,Conchalí,-70.67120703338402,-33.39591745042139,retail,6,
,,0,,,,commercial,,Conchalí,-70.67238534182101,-33.39544645008902,commercial,10,
,,0,Santa Isabel,,supermarket,yes,,Conchalí,-70.66944015474401,-33.39862078258807,supermarket,10,
,,0,,parking,,,,Conchalí,-70.6822943126354,-33.37335738904431,parking,25,
,,0,Erbi,,supermarket,yes,,Conchalí,-70.6888915499586,-33.36724800005545,supermarket,10,
,,0,SuperBodega aCuenta,,supermarket,yes,,Conchalí,-70.67993850719178,-33.39611210848346,supermarket,10,
,,0,Unimarc,,supermarket,yes,,Conchalí,-70.65864848216268,-33.39510685935966,supermarket,10,
,,0,Panificadora Colo Colo,,bakery,commercial,,Conchalí,-70.67229024999632,-33.3781681500293,bakery,13,
,,0,Caperana,,alcohol,commercial,,Conchalí,-70.66877988944736,-33.37572256262686,alcohol,13,
,,0,Frutos secos,,kiosk,commercial,,Conchalí,-70.67095530966554,-33.37243044616673,kiosk,13,
,,0,COSAM Conchalí,hospital,,,,Conchalí,-70.6827999141706,-33.37002793988873,hospital,6,
,,0,Aramco,fuel,,,,Conchalí,-70.68178482808517,-33.36755924301395,fuel,10,
,,0,,parking,,,,Conchalí,-70.66967153411461,-33.39834381368823,parking,25,
,,0,Central Mayorista,,supermarket,,,Conchalí,-70.68044311927973,-33.40219445020148,supermarket,10,
,,0,,parking,,,,Conchalí,-70.67586097872912,-33.391171194072484,parking,25,
,,0,,parking,,,,Conchalí,-70.69518042506937,-33.366581398582795,parking,25,
,,0,,parking,,,,Conchalí,-70.68808425987507,-33.36956197486567,parking,25,
,,0,,parking,,,,Conchalí,-70.679612740532,-33.396676444737835,parking,25,
