electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max
general korner frente a 286,metropolitana,El Bosque,-33.55054,-70.67642,"43,56",AC,"21,78",2,,,,commercial,,El Bosque,-70.67327187450181,-33.55121744491465,commercial,10,301.8309117783374,,
javiera carrera al oriente del 910,metropolitana,El Bosque,-33.55718,-70.6648,"43,56",AC,"21,78",2,,parking,,,,El Bosque,-70.66508770666222,-33.5563847617906,parking,25,92.15117723163114,,
,,,,,,,,0,Lider,,supermarket,,,El Bosque,-70.6674641,-33.54649919999999,supermarket,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6748371,-33.55520870000001,parking,25,,,
,,,,,,,,0,Kreadi,,,office,,El Bosque,-70.6611986,-33.5482627,office,8,,,
,,,,,,,,0,Alvi,,supermarket,,,El Bosque,-70.690958,-33.57368569999999,supermarket,10,,,
,,,,,,,,0,Shell,fuel,,,,El Bosque,-70.6740748,-33.5533567,fuel,10,,0,40
,,,,,,,,0,Aramco,fuel,,,,El Bosque,-70.6691341,-33.5461314,fuel,10,,0,49
,,,,,,,,0,Copec,fuel,,,,El Bosque,-70.6896996,-33.57327819999999,fuel,10,,0,49
,,,,,,,,0,,parking,,,,El Bosque,-70.6803025,-33.5706186,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.678256,-33.57802809999999,parking,25,,,
,,,,,,,,0,Instituto Profesional Diego Portales El Bosque,university,,,,El Bosque,-70.6696478,-33.5466837,university,10,,,
,,,,,,,,0,Estacionamiento Personal B.A.E.B.,parking,,,,El Bosque,-70.6794898,-33.55911399999999,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6682054,-33.5460871,parking,25,,,
,,,,,,,,0,,car_wash,,,,El Bosque,-70.6721547,-33.5508026,car_wash,2,,0,10
,,,,,,,,0,,parking,,,,El Bosque,-70.68056970000002,-33.57812630000001,parking,25,,,
,,,,,,,,0,Tottus,,supermarket,yes,,El Bosque,-70.67564794989578,-33.55354877222521,supermarket,10,,,
,,,,,,,,0,Prowash Cars,car_wash,,yes,,El Bosque,-70.67755494390417,-33.553928628959305,car_wash,2,,0,35
,,,,,,,,0,,parking,,,,El Bosque,-70.66360535172474,-33.556593901754425,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6631738407748,-33.55752394423492,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.66287644318473,-33.556477392498586,parking,25,,,
,,,,,,,,0,Arauco El Bosque,,mall,yes,,El Bosque,-70.67683956620601,-33.55324278714386,mall,20,,,
,,,,,,,,0,Arauco El Bosque,parking,,,,El Bosque,-70.67695818675224,-33.55391313200854,parking,25,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67518540385815,-33.57836764393362,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67511754623895,-33.577845229509165,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67399074284626,-33.5737436785398,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.6706804499942,-33.56128625000064,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.6707696684877,-33.560363781188,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67001764997735,-33.557781549988086,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.66943612180914,-33.55554499232699,commercial,10,,,
,,,,,,,,0,Aramco,fuel,,roof,,El Bosque,-70.67350094383923,-33.552631038014674,fuel,10,,0,40
,,,,,,,,0,,,,commercial,,El Bosque,-70.67046774927469,-33.56106677391315,commercial,10,,,
,,,,,,,,0,Delpa Abastible,fuel,,roof,,El Bosque,-70.6763449999823,-33.542743249997606,fuel,10,,0,21
,,,,,,,,0,Action,fuel,,roof,,El Bosque,-70.67791891595576,-33.558298747360865,fuel,10,,0,31
,,,,,,,,0,Lipigas,fuel,,roof,,El Bosque,-70.66069377542019,-33.57393070844442,fuel,10,,0,38
,,,,,,,,0,,parking,,,,El Bosque,-70.68189535298484,-33.56047925224418,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68198650599047,-33.57979460682607,parking,25,,,
,,,,,,,,0,,car_wash,,yes,,El Bosque,-70.66163974443627,-33.55688984260605,car_wash,2,,0,24
,,,,,,,,0,imprenta,,,commercial,,El Bosque,-70.67126648775368,-33.55202523682584,commercial,10,,,
,,,,,,,,0,Galeria comercial,,,commercial,,El Bosque,-70.67379952482001,-33.55220122454536,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.67225235971922,-33.55004994665791,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6915496133804,-33.559596773583245,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68849240040103,-33.55262191716364,parking,25,,,
,,,,,,,,0,Unimarc,,supermarket,commercial,,El Bosque,-70.69176604955692,-33.57457947915248,supermarket,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.66823602296837,-33.55179092692529,commercial,10,,,
,,,,,,,,0,CCPC,,,commercial,,El Bosque,-70.67189181636547,-33.5522890620211,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.69281056895765,-33.57554517078267,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68145310981475,-33.58051018899353,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68236696030638,-33.580141383215945,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68319632042784,-33.579807239276555,parking,25,,,
