electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
alejandro fleming n/a,metropolitana,Las Condes,-33.42545,-70.55409,48,AC,22,2,Lider,,supermarket,,,Las Condes,-70.55340866183053,-33.42458995742097,supermarket,10,114.50156744682776
alonso de cordova 6050,metropolitana,Las Condes,-33.40788,-70.56829,22,AC,22,2,,parking,,,,Las Condes,-70.5685387745049,-33.4078128179625,parking,25,24.307919680708732
"av, manquehue sur 1590",metropolitana,Las Condes,-33.42487,-70.56338,22,AC,22,3,Petrobras,fuel,,roof,,Las Condes,-70.56340337583691,-33.42484037536768,fuel,10,3.9392931351701277
av. apoquindo #4900,metropolitana,Las Condes,-33.41159,-70.57807,44,AC,22,2,Centro Comercial Omnium,,mall,yes,,Las Condes,-70.57806226560841,-33.411474967265455,mall,20,12.777036288929924
av. las condes 11049,metropolitana,Las Condes,-33.37999,-70.52888,"7,4",AC,"7,4",2,Alvi,,supermarket,yes,,Las Condes,-70.52828559604554,-33.379278194535125,supermarket,10,96.37967494237262
av. las condes 12145,metropolitana,Las Condes,-33.37418,-70.5198,"43,56",AC,22,2,Lavado de Autos,car_wash,,,,Las Condes,-70.5197097,-33.3740225,car_wash,2,19.381541364754664
"av. padre hurtado sur #875, piso -2",metropolitana,Las Condes,-33.41512,-70.5405,7,AC,7,1,Mall Plaza Los Dominicos,,mall,yes,,Las Condes,-70.54076344718186,-33.41528821474805,mall,20,30.793707208731888
av. plaza n/a,metropolitana,Las Condes,-33.3927,-70.50372,48,AC,22,2,,parking,,,,Las Condes,-70.50233405310068,-33.39372800736575,parking,25,172.0961712674375
av. presidente kennedy lateral 5055,metropolitana,Las Condes,-33.40249,-70.58085,14,AC,7,2,,parking,,,,Las Condes,-70.5805565,-33.402910299999995,parking,25,54.01623701993152
avenida americo vespucio sur 345,metropolitana,Las Condes,-33.41832,-70.58336,"7,4",AC,"7,4",2,,,,commercial,,Las Condes,-70.58428103333472,-33.417641285142345,commercial,10,114.02552541201689
avenida apoquindo 5680,metropolitana,Las Condes,-33.40941,-70.57111,22,AC,22,2,,,,commercial,,Las Condes,-70.57152558361726,-33.409509352186845,commercial,10,40.19161345159305
avenida las condes 10462,metropolitana,Las Condes,-33.38263,-70.5334,"7,4",AC,"7,4",2,,,,commercial,,Las Condes,-70.53274852226514,-33.38421472840135,commercial,10,185.89594833445472
avenida las condes 13451,metropolitana,Las Condes,-33.37041,-70.50717,"6,6",AC,"6,6",4,Mall Sport,,mall,,,Las Condes,-70.50667710022468,-33.37071694761199,mall,20,57.11368263817093
avenida las condes 9595,metropolitana,Las Condes,-33.38842,-70.53921,22,AC,22,3,Petrobras,fuel,,,,Las Condes,-70.5394063,-33.3885692,fuel,10,24.64208051790211
avenida padre hurtado sur 1621,metropolitana,Las Condes,-33.42325,-70.53849,70,DC,60,2,,parking,,,,Las Condes,-70.5384874739651,-33.42322461702494,parking,25,2.824644869504053
avenida presidente errazuriz s/n,metropolitana,Las Condes,-33.41885,-70.5837,45,AC,22,2,Instituto Chileno Británico de Cultura SeDe Las Condes,university,,,,Las Condes,-70.58255269971521,-33.4196702824563,university,10,140.209734739799
avenida presidente riesco s/n,metropolitana,Las Condes,-33.40137,-70.56781,45,AC,22,4,Avenida Presidente Riesco,parking,,,,Las Condes,-70.5688497,-33.401679,parking,25,102.59904931473389
