electro_lat,electro_lon,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,0,,parking,,,,Padre Hurtado,-70.8735159,-33.538232300000004,parking,25,
,,0,Lider Express,,supermarket,,,Padre Hurtado,-70.82764300000001,-33.5615596,supermarket,10,
,,0,Sabropan,,supermarket,,,Padre Hurtado,-70.8058337,-33.5702684,supermarket,10,
,,0,Ekono,,supermarket,,,Padre Hurtado,-70.7990689,-33.56526019999999,supermarket,10,
,,0,Copec,fuel,,,,Padre Hurtado,-70.8126643,-33.5668973,fuel,10,
,,0,Copec,fuel,,,,Padre Hurtado,-70.8112936,-33.566439599999995,fuel,10,
,,0,Sesa,fuel,,,,Padre Hurtado,-70.8002357,-33.5577698,fuel,10,
,,0,Tottus,,supermarket,yes,,Padre Hurtado,-70.8174695555587,-33.57178525566257,supermarket,10,
,,0,,,,retail,,Padre Hurtado,-70.81661270756341,-33.569874297538526,retail,6,
,,0,,,,retail,,Padre Hurtado,-70.8169268865121,-33.57016554485123,retail,6,
,,0,APM,fuel,,roof,,Padre Hurtado,-70.82048193236488,-33.57265966020401,fuel,10,
,,0,,,mall,yes,,Padre Hurtado,-70.80914149996771,-33.56814430002595,mall,20,
,,0,Santa Isabel,,supermarket,yes,,Padre Hurtado,-70.81490570114656,-33.569603739993966,supermarket,10,
,,0,,parking,,,,Padre Hurtado,-70.80101249185579,-33.57499964633492,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.81675582679713,-33.57069602242567,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.83003712670671,-33.569240838451385,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.82937419886983,-33.56952610046595,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.83007491006384,-33.5685364004143,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.83401525001675,-33.563277100006125,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.81520741059376,-33.56983840025668,parking,25,
,,0,,parking,,,,Padre Hurtado,-70.83058895002878,-33.56349830000348,parking,25,
