electro_lat,electro_lon,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,0,Santa Isabel,,supermarket,,,Pedro Aguirre Cerda,-70.6683298,-33.50076310000001,supermarket,10,
,,0,Shell,fuel,,,,Pedro Aguirre Cerda,-70.6724824,-33.49764759999999,fuel,10,
,,0,Almacen el Lucho,,supermarket,,,Pedro Aguirre Cerda,-70.6741577,-33.50795260000001,supermarket,10,
,,0,Copec,fuel,,,,Pedro Aguirre Cerda,-70.6714084,-33.4783673,fuel,10,
,,0,Gasolinera JQL,fuel,,,,Pedro Aguirre Cerda,-70.6880354,-33.49843160000001,fuel,10,
,,0,Supermercados Erbi Núcleo Ochagavía,,supermarket,,,Pedro Aguirre Cerda,-70.6675059,-33.4915634,supermarket,10,
,,0,Shell,fuel,,,,Pedro Aguirre Cerda,-70.6932503,-33.4987806,fuel,10,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.6666575,-33.491001099999984,parking,25,
,,0,,car_wash,,,,Pedro Aguirre Cerda,-70.6868529,-33.4950896,car_wash,2,
,,0,Aparcadero Municipal de Pedro Aguirre Cerda,parking,,,,Pedro Aguirre Cerda,-70.67708618545088,-33.50711246238393,parking,25,
,,0,Estadio Corvi,,,,stadium,Pedro Aguirre Cerda,-70.67216725031092,-33.482604972959855,stadium,20,
,,0,Santa Isabel,,supermarket,,,Pedro Aguirre Cerda,-70.6629983982552,-33.47934942386541,supermarket,10,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.68147100243651,-33.50392797066284,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.68094763285741,-33.502882571919315,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67966469383404,-33.500445699085255,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67881961846155,-33.49891429517355,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67820522943515,-33.49762434383998,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67667138644781,-33.49471421212948,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67618312885138,-33.49371237439395,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67579589191449,-33.492889336138795,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67519468326836,-33.49170970502447,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67483602053014,-33.49100039901881,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67455348280858,-33.49038914878552,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67422171770903,-33.48974243850656,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67379339053475,-33.48889647182419,parking,25,
,,0,Lider Express,,supermarket,yes,,Pedro Aguirre Cerda,-70.68758194873509,-33.49797180903236,supermarket,10,
,,0,ERBI,,supermarket,,,Pedro Aguirre Cerda,-70.67602127773868,-33.47988510296163,supermarket,10,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67429561006035,-33.48091575166568,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67422393898603,-33.48076693807057,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67795395010012,-33.49801190007372,parking,25,
,,0,Centro de Salud Familiar/SAPU: Edgardo Enríquez Froedden,parking,,,,Pedro Aguirre Cerda,-70.6694349941203,-33.48002676745133,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.663470650102,-33.48736485008781,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67634962848389,-33.503963957977895,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67614706929854,-33.504057060052084,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67595667338381,-33.50396821185756,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.65649689828732,-33.47914407666444,parking,25,
,,0,Carnes RV,parking,,,,Pedro Aguirre Cerda,-70.6613454154859,-33.48934790034809,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67042979167644,-33.49256078808514,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67026156501018,-33.49262196485875,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.6782649773123,-33.49721637104899,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.68053045024514,-33.496780950207395,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67000018919802,-33.49597221990437,parking,25,
,,0,,parking,,,,Pedro Aguirre Cerda,-70.67080707446355,-33.49662689605699,parking,25,
,,0,Shell,parking,,,,Pedro Aguirre Cerda,-70.67273567025222,-33.497574987365105,parking,25,
