electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
altos del parque sur 5800,metropolitana,Penalolén,-33.4987,-70.55529,22,AC,11,4,Tottus,,supermarket,,,Peñalolén,-70.5541188,-33.499266,supermarket,10,125.62195546881672
avda tobalaba 12150,metropolitana,Penalolén,-33.48649,-70.55887,22,AC,22,3,Petrobras,fuel,,roof,,Peñalolén,-70.55886697090516,-33.486523219822054,fuel,10,3.6947313192982443
diagonal las torres 2700,metropolitana,Penalolén,-33.49013,-70.51898,44,AC,22,2,,parking,,,,Peñalolén,-70.51819088386685,-33.49254899439829,parking,25,278.0971552731329
,,,,,,,,0,Santa Isabel,parking,,,,Peñalolén,-70.5752541,-33.469802299999984,parking,25,
,,,,,,,,0,Lider Express,,supermarket,,,Peñalolén,-70.5494292,-33.487704599999994,supermarket,10,
,,,,,,,,0,,parking,,,,Peñalolén,-70.5478224,-33.484031800000004,parking,25,
,,,,,,,,0,Ecco,fuel,,yes,,Peñalolén,-70.5508913,-33.49519889999999,fuel,10,
,,,,,,,,0,Anita,,supermarket,,,Peñalolén,-70.5266492,-33.4743924,supermarket,10,
,,,,,,,,0,Copec,fuel,,,,Peñalolén,-70.5472488,-33.4835184,fuel,10,
,,,,,,,,0,,parking,,,,Peñalolén,-70.5125915,-33.47776799999999,parking,25,
,,,,,,,,0,Gas Licuado El Sauce,fuel,,,,Peñalolén,-70.5482741,-33.4705026,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Peñalolén,-70.573282,-33.46225770000001,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Peñalolén,-70.5614624,-33.5048707,fuel,10,
,,,,,,,,0,Petrobras,fuel,,,,Peñalolén,-70.5680801,-33.460735499999984,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Peñalolén,-70.5770791,-33.474948,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Peñalolén,-70.5763329,-33.47112889999999,fuel,10,
,,,,,,,,0,Santa Isabel,,supermarket,,,Peñalolén,-70.5441627,-33.4793759,supermarket,10,
,,,,,,,,0,,parking,,,,Peñalolén,-70.5128653,-33.493590999999995,parking,25,
,,,,,,,,0,Almacén y verdulería,,supermarket,,,Peñalolén,-70.5792251,-33.50445429999999,supermarket,10,
,,,,,,,,0,,,supermarket,,,Peñalolén,-70.5847656,-33.50046209999999,supermarket,10,
,,,,,,,,0,Don Edu,,supermarket,,,Peñalolén,-70.5801055,-33.5018834,supermarket,10,
,,,,,,,,0,Almacén Ex- Jacinto,,supermarket,,,Peñalolén,-70.582082,-33.50136909999999,supermarket,10,
,,,,,,,,0,Minimarket Cumbre,,supermarket,,,Peñalolén,-70.56336100000001,-33.46986770000001,supermarket,10,
,,,,,,,,0,,parking,,,,Peñalolén,-70.5483751,-33.4643973,parking,25,
,,,,,,,,0,Instituto Nacional de Fútbol,university,,,,Peñalolén,-70.5729036,-33.493547199999995,university,10,
,,,,,,,,0,Erbi,,supermarket,,,Peñalolén,-70.5404245,-33.4911738,supermarket,10,
,,,,,,,,0,,parking,,,,Peñalolén,-70.5107379,-33.4638543,parking,25,
,,,,,,,,0,Enel X,charging_station,,,,Peñalolén,-70.5587902,-33.48630969999999,charging_station,30,
,,,,,,,,0,Copec Voltex,charging_station,,,,Peñalolén,-70.5732963,-33.462011600000004,charging_station,30,
,,,,,,,,0,,,mall,yes,,Peñalolén,-70.57763442575133,-33.48750803769465,mall,20,
,,,,,,,,0,Lider,,supermarket,yes,,Peñalolén,-70.57786159057775,-33.48599473360134,supermarket,10,
,,,,,,,,0,Hospital Doctor Luis Tisné,hospital,,,,Peñalolén,-70.57903291458402,-33.50034528065592,hospital,6,
,,,,,,,,0,Mall Paseo Quilín,parking,,,,Peñalolén,-70.57878290370473,-33.48703132235538,parking,25,
,,,,,,,,0,Santa Isabel,,supermarket,yes,,Peñalolén,-70.57684685747661,-33.48856901281633,supermarket,10,
,,,,,,,,0,Homecenter Sodimac,parking,,,,Peñalolén,-70.58762932561906,-33.509289146083994,parking,25,
,,,,,,,,0,Viña Aquitania,parking,,,,Peñalolén,-70.5484457442144,-33.49081293063208,parking,25,
,,,,,,,,0,,parking,,,,Peñalolén,-70.52838419986746,-33.461376749906464,parking,25,
,,,,,,,,0,,parking,,,,Peñalolén,-70.52911931705735,-33.46058178737741,parking,25,
,,,,,,,,0,,parking,,,,Peñalolén,-70.52904132356717,-33.46336599029976,parking,25,
,,,,,,,,0,Imperial,,doityourself,commercial,,Peñalolén,-70.57335386074251,-33.46300011850135,doityourself,13,
,,,,,,,,0,Mayorista 10,,supermarket,yes,,Peñalolén,-70.57959440986454,-33.506604443152646,supermarket,10,
,,,,,,,,0,Petrobras,fuel,,roof,,Peñalolén,-70.57979200000737,-33.506312850026944,fuel,10,
,,,,,,,,0,Jumbo,,supermarket,yes,,Peñalolén,-70.55666523408027,-33.48808375267994,supermarket,10,
,,,,,,,,0,Campus Peñalolén Universidad Adolfo Ibáñez,university,,,,Peñalolén,-70.51481212141101,-33.488427854277866,university,10,
,,,,,,,,0,Alvi,,supermarket,yes,,Peñalolén,-70.55908418523782,-33.481798565920336,supermarket,10,
,,,,,,,,0,Instituto Profesional Arcos,university,,,,Peñalolén,-70.53693778298847,-33.47782925550028,university,10,
,,,,,,,,0,Velódromo Peñalolén​,,,yes,stadium,Peñalolén,-70.54535905675004,-33.465955219755514,yes,13,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56866740294731,-33.463955867131766,commercial,10,
,,,,,,,,0,Unimarc,,supermarket,yes,,Peñalolén,-70.54782353780328,-33.48347924497841,supermarket,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.54316007948637,-33.47559190621725,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.54340439997596,-33.47550264998709,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56103604884458,-33.49937288769237,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56150801752506,-33.502918459782066,commercial,10,
,,,,,,,,0,Santa Isabel,,supermarket,yes,,Peñalolén,-70.56149148724562,-33.50344114015583,supermarket,10,
,,,,,,,,0,Shell,car_wash,,yes,,Peñalolén,-70.56153925000021,-33.504688900004254,car_wash,2,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.54562009999822,-33.4750949000101,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.55071786103598,-33.47408019454251,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.5508097456069,-33.47406277925962,commercial,10,
,,,,,,,,0,Alvi,,supermarket,commercial,,Peñalolén,-70.55679575232728,-33.472635448202695,supermarket,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.5594005499811,-33.47223089999678,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56076494998736,-33.47198289999614,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56154005466112,-33.47180491998271,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56234397549997,-33.47166868634249,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56243664327594,-33.47164615193593,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56299364997811,-33.47152754999732,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.58503056822607,-33.500936135134445,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56310477256469,-33.471497213002344,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56320474997331,-33.47147199999232,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.5634875627126,-33.471447749806295,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56358561900262,-33.471410087477395,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56384662011783,-33.471313533364246,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56415224998915,-33.4712885500024,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56432199023716,-33.4712246696789,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56501180163598,-33.47108536840677,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56529096669667,-33.471021613893626,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.56929749999676,-33.47033295000276,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57248392898848,-33.469666209472734,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57467008170565,-33.469256404097905,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57507861489655,-33.46920872127475,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57540468543998,-33.469065901427705,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57493167848314,-33.466798888827334,commercial,10,
,,,,,,,,0,,,,commercial,,Peñalolén,-70.57310829991721,-33.46168399997882,commercial,10,
