electro_lat,electro_lon,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,0,Shell,fuel,,,,Pirque,-70.5734903,-33.6340035,fuel,10,
,,0,Monserrat,,supermarket,,,Pirque,-70.5709005,-33.6342615,supermarket,10,
,,0,El Maulén,,supermarket,,,Pirque,-70.5307864,-33.619437500000004,supermarket,10,
,,0,Copec,fuel,,,,Pirque,-70.5863755,-33.64088809999999,fuel,10,
,,0,DuocUC - Centro Tecnológico de Recursos Naturales,university,,,,Pirque,-70.5853084,-33.6684875,university,10,
,,0,,parking,,,,Pirque,-70.54070734602381,-33.62345248449185,parking,25,
,,0,Viña Concha y Toro,parking,,,,Pirque,-70.57428368067183,-33.635549547994096,parking,25,
,,0,Viña Haras de Pirque,parking,,,,Pirque,-70.61683438149916,-33.71294381361936,parking,25,
,,0,Viña Haras de Pirque,parking,,,,Pirque,-70.61592430023848,-33.71309981588705,parking,25,
,,0,Campanario,,,commercial,,Pirque,-70.56763469084633,-33.633201777083904,commercial,10,
,,0,,parking,,,,Pirque,-70.4709634403323,-33.73064015769739,parking,25,
,,0,,parking,,,,Pirque,-70.48734534698238,-33.72530716502695,parking,25,
,,0,,parking,,,,Pirque,-70.4759247890674,-33.727667029608675,parking,25,
,,0,,parking,,,,Pirque,-70.57178250246767,-33.63422394257632,parking,25,
,,0,,,supermarket,yes,,Pirque,-70.57084946400036,-33.63414633177397,supermarket,10,
,,0,,parking,,,,Pirque,-70.57108704416106,-33.63420512570703,parking,25,
,,0,,parking,,,,Pirque,-70.5724823343463,-33.63519645094036,parking,25,
,,0,,parking,,,,Pirque,-70.56311769918867,-33.697744421035814,parking,25,
,,0,,parking,,,,Pirque,-70.5629385513175,-33.701632207621955,parking,25,
,,0,Plaza Principal,,mall,yes,,Pirque,-70.56427645518698,-33.70307645281857,mall,20,
,,0,,parking,,,,Pirque,-70.56416354910708,-33.70323750993723,parking,25,
,,0,,parking,,,,Pirque,-70.58614483562806,-33.641036808082355,parking,25,
,,0,,parking,,,,Pirque,-70.55357324664526,-33.72081632655058,parking,25,
,,0,,parking,,,,Pirque,-70.57902690395079,-33.63685294897587,parking,25,
,,0,Estacionamiento Parroquia,parking,,,,Pirque,-70.57354849998255,-33.63378820003022,parking,25,
,,0,,parking,,,,Pirque,-70.57243252556653,-33.6307798744191,parking,25,
,,0,,parking,,,,Pirque,-70.54256740056763,-33.70939241996153,parking,25,
,,0,,parking,,,,Pirque,-70.53925265526605,-33.70617767378183,parking,25,
,,0,Campanario,,,commercial,,Pirque,-70.56758658113107,-33.63301893277522,commercial,10,
,,0,,parking,,,,Pirque,-70.56752214992858,-33.63328430007627,parking,25,
,,0,,parking,,,,Pirque,-70.52959232143446,-33.71041258882755,parking,25,
,,0,,parking,,,,Pirque,-70.5275030064435,-33.7088389324435,parking,25,
,,0,,parking,,,,Pirque,-70.56454267436267,-33.69664257680661,parking,25,
,,0,,parking,,,,Pirque,-70.49030536370145,-33.7241075503474,parking,25,
,,0,,parking,,,,Pirque,-70.5771236331961,-33.637510014576385,parking,25,
,,0,Santa Isabel,,supermarket,yes,,Pirque,-70.57687992301283,-33.63787766448258,supermarket,10,
,,0,,parking,,,,Pirque,-70.53352161926857,-33.706871797637966,parking,25,
,,0,Centro de Extensión UC Pirque,university,,,,Pirque,-70.58651126138061,-33.67135528429669,university,10,
,,0,Duoc UC Sede Pirque,university,,,,Pirque,-70.58631752855746,-33.667736031524655,university,10,
,,0,,parking,,,,Pirque,-70.58532032663823,-33.669315812257935,parking,25,
