electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
andr¿s bello 1863,metropolitana,Providencia,-33.42294,-70.61701,14,AC,7,2,Edificio Conecta Costanera,,,office,,Providencia,-70.61699251535579,-33.42305004055072,office,8,12.311181084386995
andr¿s bello 2461,metropolitana,Providencia,-33.4203,-70.61128,14,AC,7,2,Centro Comercial Dos Caracoles,,mall,yes,,Providencia,-70.60991718503368,-33.42124844755189,mall,20,164.69683887734345
av. francisco bilbao 451,metropolitana,Providencia,-33.4418,-70.62604,22,AC,22,1,Tottus,,supermarket,,,Providencia,-70.6258723,-33.441844399999994,supermarket,10,16.350704796479448
avenida francisco bilbao 1439,metropolitana,Providencia,-33.43934,-70.61451,7,AC,7,1,,parking,,,,Providencia,-70.6143605000766,-33.438873649938884,parking,25,53.552975333545
avenida providencia 1909,metropolitana,Providencia,-33.42508,-70.61364,7,AC,7,3,Edificio Consalud,,,commercial,,Providencia,-70.6136556075771,-33.42508787211658,commercial,10,1.693694748831688
avenida providencia 2001,metropolitana,Providencia,-33.42361,-70.61207,7,AC,7,3,Estacionamientos Concesionados Pedro de Valdivia,parking,,,,Providencia,-70.6122576,-33.42353029999999,parking,25,19.556681053313596
avenida providencia 2099,metropolitana,Providencia,-33.4213,-70.60905,7,AC,7,3,Dos Providencias,,,commercial,,Providencia,-70.60903137219228,-33.421712164451584,commercial,10,45.74111775507908
avenida providencia 2203,metropolitana,Providencia,-33.42187,-70.6098,7,AC,7,3,Estacionamiento Ricardo Lyon,parking,,,,Providencia,-70.6096758,-33.4217972,parking,25,14.09184592853752
avenida ricardo lyon 25,metropolitana,Providencia,-33.42198,-70.60989,22,AC,22,3,,,,commercial,,Providencia,-70.61010300094664,-33.42230379308774,commercial,10,41.009042370843154
avenida ricardo lyon 322,metropolitana,Providencia,-33.4246,-70.6085,22,AC,22,2,,,,commercial,,Providencia,-70.6077273500058,-33.424137900024995,commercial,10,88.25297383397069
avenida santa maria 1742,metropolitana,Providencia,-33.4219,-70.62115,22,AC,22,2,Sheraton San Cristobal,parking,,,,Providencia,-70.6217865,-33.421612100000004,parking,25,67.25314743143393
guardia vieja 285,metropolitana,Providencia,-33.4249,-70.6098,22,AC,22,2,Estacionamientos Barcelona 2077,parking,,,,Providencia,-70.6106177,-33.4251603,parking,25,81.33382870499842
miguel claro 275,metropolitana,Providencia,-33.43204,-70.62044,"7,4",AC,"7,4",2,Universidad Mayor,university,,,,Providencia,-70.61917281073949,-33.43229364290416,university,10,121.1390295673971
pedro de valdivia norte 699,metropolitana,Providencia,-33.41533,-70.61739,44,AC,22,2,Enel X,charging_station,,,,Providencia,-70.6173708,-33.41510929999999,charging_station,30,24.540333786586434
santa isabel 168,metropolitana,Providencia,-33.44679,-70.62932,24,DC,24,4,Lider Express,,supermarket,yes,,Providencia,-70.62923256813731,-33.44658875287428,supermarket,10,23.75232122130858
,,,,,,,,0,Lider Express Tobalaba,parking,,,,Providencia,-70.596118,-33.422763399999994,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6216872,-33.41482909999999,parking,25,
,,,,,,,,0,Clínica Indisa,parking,,,,Providencia,-70.6179293,-33.4206595,parking,25,
,,,,,,,,0,Escuela de Carabineros de Chile,parking,,,,Providencia,-70.6105555,-33.4424909,parking,25,
,,,,,,,,0,Escuela de Carabineros de Chile,parking,,,,Providencia,-70.6098978,-33.44402939999999,parking,25,
,,,,,,,,0,San Ignacio El Bosque,parking,,,,Providencia,-70.5936812,-33.4328663,parking,25,
,,,,,,,,0,,university,,,,Providencia,-70.6274363,-33.4367294,university,10,
,,,,,,,,0,Santa Isabel,,supermarket,,,Providencia,-70.6105089,-33.4219948,supermarket,10,
,,,,,,,,0,Plaza Rio de Janeiro,parking,,,,Providencia,-70.5940079,-33.432043,parking,25,
,,,,,,,,0,Plaza Rio de Janeiro,parking,,,,Providencia,-70.5952367,-33.43240990000001,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6029007,-33.430191,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6166236,-33.43322880000001,parking,25,
,,,,,,,,0,ANEPE,parking,,,,Providencia,-70.5969635,-33.42784619999998,parking,25,
,,,,,,,,0,Estacionamiento El Parron,parking,,,,Providencia,-70.6217016,-33.4288043,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6205829,-33.426511600000005,parking,25,
,,,,,,,,0,Colegio Pedro de Valdivia,parking,,,,Providencia,-70.6082549,-33.4406048,parking,25,
,,,,,,,,0,Santa Beatriz,parking,,,,Providencia,-70.6190789,-33.4260168,parking,25,
,,,,,,,,0,Hotel Alcala,parking,,,,Providencia,-70.6179148,-33.42401999999999,parking,25,
,,,,,,,,0,Granjero Productos Naturales,,supermarket,,,Providencia,-70.616107,-33.424149799999995,supermarket,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6108666,-33.429538499999985,parking,25,
,,,,,,,,0,Patio Bellavista,parking,,,,Providencia,-70.63478350000001,-33.4344022,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.617434,-33.433489,parking,25,
,,,,,,,,0,Estacionamiento Mercado de Providencia,parking,,,,Providencia,-70.6173064,-33.4269285,parking,25,
,,,,,,,,0,PC Factory,parking,,,,Providencia,-70.6191838,-33.4302584,parking,25,
,,,,,,,,0,Mall Costanera Center,,mall,,,Providencia,-70.6054041,-33.4176924,mall,20,
,,,,,,,,0,Jumbo,,supermarket,,,Providencia,-70.6072834,-33.41805649999999,supermarket,10,
,,,,,,,,0,Plaza Rio de Janeiro,parking,,,,Providencia,-70.5951243,-33.431903899999995,parking,25,
,,,,,,,,0,Estacionamientos Concesionados Marchant Pereira,parking,,,,Providencia,-70.6136527,-33.42472540000001,parking,25,
,,,,,,,,0,Estacionamiento Público Coyancura,parking,,,,Providencia,-70.6084176,-33.4232286,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6179179,-33.4188581,parking,25,
,,,,,,,,0,Banco de Chile Tobalaba,parking,,,,Providencia,-70.5959384,-33.42301750000001,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.591951,-33.44065259999999,parking,25,
,,,,,,,,0,Estacionamiento Santa Isabel,parking,,,,Providencia,-70.6312624,-33.4473727,parking,25,
,,,,,,,,0,El Caleuche,parking,,,,Providencia,-70.6090529,-33.43145049999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6226434,-33.415838599999994,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.601978,-33.4270453,parking,25,
,,,,,,,,0,Felipe - Almacén,,supermarket,,,Providencia,-70.6340177,-33.440536900000005,supermarket,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6075642,-33.424989800000006,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.5989628,-33.43674829999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6042249,-33.4379234,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6060381,-33.438299399999984,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6051744,-33.4383688,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6067811,-33.43761009999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6137272,-33.4275244,parking,25,
,,,,,,,,0,Minimarket y Caja Vecina,,,commercial,,Providencia,-70.62594,-33.443887600000004,commercial,10,
,,,,,,,,0,Magnere 1540,,,commercial,,Providencia,-70.6187814,-33.42578449999999,commercial,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6156116,-33.4383571,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.5970603,-33.428293700000005,parking,25,
,,,,,,,,0,Lider Express,,supermarket,,,Providencia,-70.6085252,-33.42281869999999,supermarket,10,
,,,,,,,,0,Bowen y Trentini,,,office,,Providencia,-70.6208123,-33.440775499999994,office,8,
,,,,,,,,0,Plaza Las Lilas,parking,,,,Providencia,-70.5941811,-33.4288469,parking,25,
,,,,,,,,0,Chinese Mark,,supermarket,,,Providencia,-70.6073417,-33.42047709999999,supermarket,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6162716,-33.42103029999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.5998839,-33.41970399999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6083548,-33.43647259999999,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6088814,-33.4370317,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.608436,-33.437288800000005,parking,25,
,,,,,,,,0,Decanato,university,,,,Providencia,-70.6179915,-33.420094,university,10,
,,,,,,,,0,Unimarc,,supermarket,,,Providencia,-70.6161517,-33.43807069999999,supermarket,10,
,,,,,,,,0,Universidad de Chile - Escuela de Postgrado,university,,,,Providencia,-70.6324527,-33.4349355,university,10,
,,,,,,,,0,Copec,fuel,,,,Providencia,-70.6103127,-33.43148229999999,fuel,10,
,,,,,,,,0,Shell,fuel,,,,Providencia,-70.624945,-33.4286085,fuel,10,
,,,,,,,,0,Grocery Store,,supermarket,,,Providencia,-70.6016185,-33.4295774,supermarket,10,
,,,,,,,,0,Galería Munchen,,mall,,,Providencia,-70.602438,-33.4188061,mall,20,
,,,,,,,,0,Enel X,charging_station,,,,Providencia,-70.6204146,-33.4138014,charging_station,30,
,,,,,,,,0,,parking,,,,Providencia,-70.6204858,-33.4138221,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6291779,-33.420255899999994,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.614664,-33.41353240000001,parking,25,
,,,,,,,,0,,parking,,,,Providencia,-70.6247132,-33.4275948,parking,25,
,,,,,,,,0,Copec,fuel,,,,Providencia,-70.6225964,-33.4458438,fuel,10,
,,,,,,,,0,,parking,,,,Providencia,-70.62359990000002,-33.4172486,parking,25,
,,,,,,,,0,Supermercado Erbi,,supermarket,,,Providencia,-70.6195083,-33.433855400000006,supermarket,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6278454,-33.4301124,parking,25,
,,,,,,,,0,Sala Catalogación Rescate Patrimonial (U. de los Andes),university,,,,Providencia,-70.6279124,-33.4299467,university,10,
,,,,,,,,0,Centro de Formación Técnica ProAndes,university,,,,Providencia,-70.6329957,-33.439947200000006,university,10,
,,,,,,,,0,Instituto Chileno Británico de Cultura SeDe Providencia,university,,,,Providencia,-70.6109914,-33.4312391,university,10,
,,,,,,,,0,Escuela de Danza Valero,university,,,,Providencia,-70.6341251,-33.4387684,university,10,
,,,,,,,,0,Instituto Profesional de Ciencias de la Computación,university,,,,Providencia,-70.6252943,-33.4480114,university,10,
,,,,,,,,0,Instituto Profesional IPG,university,,,,Providencia,-70.6253731,-33.43326079999999,university,10,
,,,,,,,,0,,parking,,,,Providencia,-70.6173969,-33.4287477,parking,25,
,,,,,,,,0,China House Market,,supermarket,,,Providencia,-70.6079635,-33.423001,supermarket,10,
,,,,,,,,0,Universidad de Concepción Campus Santiago,university,,,,Providencia,-70.6133654,-33.424918100000006,university,10,
,,,,,,,,0,Enel X,charging_station,,,,Providencia,-70.6073318,-33.41735299999999,charging_station,30,
,,,,,,,,0,Spid,,supermarket,,,Providencia,-70.6080622,-33.420093300000005,supermarket,10,
,,,,,,,,0,Petroprix,fuel,,,,Providencia,-70.6334119,-33.44193769999999,fuel,10,
,,,,,,,,0,Universidad San Sebastián,university,,,,Providencia,-70.6033632418786,-33.42399027028897,university,10,
,,,,,,,,0,Facultad de Derecho Universidad de Chile,university,,,,Providencia,-70.63493195226611,-33.43525103611388,university,10,
,,,,,,,,0,Campus Oriente PUC,university,,,,Providencia,-70.59341502850681,-33.44593124304536,university,10,
,,,,,,,,0,Campus Oriente PUC,university,,,,Providencia,-70.59341502850681,-33.44593124304536,university,10,
,,,,,,,,0,Vivo Panorámico,,mall,yes,,Providencia,-70.60992446156953,-33.42339214243023,mall,20,
,,,,,,,,0,Clínica Santa María,hospital,,,,Providencia,-70.62869661678096,-33.43254461793342,hospital,6,
,,,,,,,,0,Universidad Academia de Humanismo Cristiano,university,,,,Providencia,-70.62816700107874,-33.4382420252212,university,10,
