electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
alonso de cordova 3788,metropolitana,Vitacura,-33.40187,-70.59291,7,AC,7,2,,,,office,,Vitacura,-70.59276521272697,-33.40174026912872,office,8,19.706638758375608
av vitacura 5951,metropolitana,Vitacura,-33.39178,-70.57323,44,AC,44,1,Clínica Alemana,hospital,,,,Vitacura,-70.57277556958023,-33.39247199177387,hospital,6,87.6126066697895
av. americo vespucio #1665,metropolitana,Vitacura,-33.39894,-70.58718,50,DC,50,3,Aramco,fuel,,,,Vitacura,-70.58715423909247,-33.39896040872285,fuel,10,3.296103846343188
av. vitacura 6980,metropolitana,Vitacura,-33.38675,-70.56556,70,DC,60,4,Tottus,,supermarket,yes,,Vitacura,-70.56537243268767,-33.38650139070699,supermarket,10,32.62786153530692
av. vitacura 9019,metropolitana,Vitacura,-33.38374,-70.54946,70,DC,60,4,Tottus Express,,supermarket,yes,,Vitacura,-70.54951133772366,-33.383729995058026,supermarket,10,4.903288546338886
bicentenario 3800,metropolitana,Vitacura,-33.39938,-70.60154,14,AC,7,8,,parking,,,,Vitacura,-70.60054583697982,-33.40041088582734,parking,25,147.0416218427366
buenaventura 1770,metropolitana,Vitacura,-33.38677,-70.56821,24,DC,24,2,Lider,,supermarket,yes,,Vitacura,-70.5680148184978,-33.38687810279469,supermarket,10,21.758286941866558
"costanera norte km 2,5 e-0 s/n",metropolitana,Vitacura,-33.37513,-70.53187,175,DC,175,4,Copec,fuel,,,,Vitacura,-70.5318506,-33.37515890000001,fuel,10,3.678198529337386
costanera norte km 8 (direccion oriente),metropolitana,Vitacura,-33.3821,-70.59316,50,DC,50,3,El Mercurio,parking,,,,Vitacura,-70.5932667,-33.38171659999999,parking,25,43.661377286927
luis pasteur 6725,metropolitana,Vitacura,-33.37999,-70.56953,22,AC,22,3,Aramco,fuel,,,,Vitacura,-70.5695792,-33.37991070000001,fuel,10,9.914058056597966
santa maria 5870,metropolitana,Vitacura,-33.38042,-70.5857,14,AC,7,2,Campus de Oficinas B,,,office,,Vitacura,-70.58579433446927,-33.38016318796552,office,8,29.801296346050094
santa maria 5888,metropolitana,Vitacura,-33.37966,-70.58436,14,AC,7,2,Edificio Corporativo Tánica,,,office,,Vitacura,-70.58437185359244,-33.37968646066604,office,8,3.13479594580896
vitacura 3350,metropolitana,Vitacura,-33.40552,-70.59834,50,DC,50,3,Shell,fuel,,roof,,Vitacura,-70.59827473358001,-33.40546407518191,fuel,10,8.67843240680256
,,,,,,,,0,Parque Bicentenario,parking,,,,Vitacura,-70.6000366,-33.393896100000006,parking,25,
,,,,,,,,0,Shell,fuel,,,,Vitacura,-70.5581686,-33.38537689999999,fuel,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.5688477,-33.3866523,parking,25,
,,,,,,,,0,Unimarc,,supermarket,,,Vitacura,-70.5688182,-33.376560899999994,supermarket,10,
,,,,,,,,0,Shell,fuel,,,,Vitacura,-70.5709832,-33.37693169999999,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Vitacura,-70.5898011,-33.3827658,fuel,10,
,,,,,,,,0,Copec,fuel,,,,Vitacura,-70.5887072,-33.381783,fuel,10,
,,,,,,,,0,El Mercurio,parking,,,,Vitacura,-70.5947172,-33.383279,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5703927,-33.37687639999999,parking,25,
,,,,,,,,0,Los Cobres de Vitacura,parking,,,,Vitacura,-70.5674148,-33.3880935,parking,25,
,,,,,,,,0,McDonalds,parking,,,,Vitacura,-70.5632632,-33.3859658,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5782386,-33.3814007,parking,25,
,,,,,,,,0,Metropolitan Santiago,parking,,,,Vitacura,-70.5891496,-33.38329850000001,parking,25,
,,,,,,,,0,Erbi,,supermarket,,,Vitacura,-70.5450143,-33.3762426,supermarket,10,
,,,,,,,,0,Rotonda Manquehue/Luis Pasteur,parking,,,,Vitacura,-70.576208,-33.38752600000001,parking,25,
,,,,,,,,0,Oxxo,fuel,,,,Vitacura,-70.5823992,-33.3975035,fuel,10,
,,,,,,,,0,Estacionamientos Alonso de Córdova,parking,,,,Vitacura,-70.5955257,-33.401695,parking,25,
,,,,,,,,0,Estacionamientos Alonso de Córdova,parking,,,,Vitacura,-70.5965181,-33.4014442,parking,25,
