name,amenity,shop,building,leisure,comuna,lon,lat
,parking,,,,Estación Central,-70.7294726,-33.4680053
Terminal San Borja,parking,,,,Estación Central,-70.6803205,-33.45430950000001
,parking,,,,Estación Central,-70.681395,-33.4508201
Universidad de Santiago de Chile,parking,,,,Estación Central,-70.6810837,-33.4497032
,parking,,,,Estación Central,-70.6823792,-33.45048649999999
Terpel,fuel,,,,Estación Central,-70.6789823,-33.464398599999996
Ekono,,supermarket,,,Estación Central,-70.6929931,-33.4683603
Tottus,,supermarket,,,Estación Central,-70.6826325,-33.4526539
Monserrat,,supermarket,,,Estación Central,-70.7261154,-33.4681353
Lider Express,,supermarket,,,Estación Central,-70.7053616,-33.456691500000005
Copec,fuel,,,,Estación Central,-70.6877023,-33.46640219999998
,charging_station,,,,Estación Central,-70.6827737,-33.4743188
Santa Isabel,,supermarket,,,Estación Central,-70.680086,-33.4516965
Shell,fuel,,,,Estación Central,-70.7014242,-33.4545464
Shell,fuel,,,,Estación Central,-70.6974788,-33.4557455
Copec,fuel,,,,Estación Central,-70.6983452,-33.4528923
Shell,fuel,,,,Estación Central,-70.6794142,-33.44814319999999
Copec,fuel,,,,Estación Central,-70.7186815,-33.4706809
Romerelli,recycling,,commercial,,Estación Central,-70.6908863,-33.466242699999995
Clínica RedSalud Santiago,hospital,,,,Estación Central,-70.7018142,-33.45711899999999
,parking,,,,Estación Central,-70.7018173,-33.456835899999994
Shell,fuel,,,,Estación Central,-70.6875882,-33.452647799999994
,parking,,,,Estación Central,-70.6820651,-33.4457466
Terrapuerto Turbus,charging_station,,,,Estación Central,-70.6865034,-33.4542123
Santo Tomás Sede Estación Central,university,,,,Estación Central,-70.6781996,-33.4524508
Enel X,charging_station,,,,Estación Central,-70.70520420000001,-33.4560614
Vegamercado,,supermarket,,,Estación Central,-70.72412161346958,-33.46680719349944
Estadio Marista,,,,stadium,Estación Central,-70.6867064736576,-33.44534965106137
Universidad de Santiago de Chile,university,,,,Estación Central,-70.68432231470211,-33.44936674822018
Lider,,supermarket,supermarket,,Estación Central,-70.69206031959745,-33.45279722077114
