name,amenity,shop,building,leisure,comuna,lon,lat
Petrobras,fuel,,,,Peñaflor,-70.8749163,-33.6103125
Shell,fuel,,,,Peñaflor,-70.88211490000002,-33.6111212
,fuel,,,,Peñaflor,-70.8744984,-33.59978679999998
,fuel,,,,Peñaflor,-70.8852701,-33.6031284
,parking,,,,Peñaflor,-70.8810308,-33.6105954
Mayorista 10,,supermarket,,,Peñaflor,-70.8992515,-33.6075697
principito,,supermarket,,,Peñaflor,-70.8731027,-33.5991517
Petrobras,fuel,,,,Peñaflor,-70.8513306,-33.603041299999994
JVR,fuel,,,,Peñaflor,-70.901746,-33.611085300000006
Copec,fuel,,,,Peñaflor,-70.8335183,-33.5842935
,parking,,,,Peñaflor,-70.9004081,-33.5989609
,parking,,,,Peñaflor,-70.8956861,-33.5962944
,parking,,,,Peñaflor,-70.8981677,-33.597871600000005
Estadio Municipal de Peñaflor (Bilbao),,,,stadium,Peñaflor,-70.87253120034877,-33.60562548884121
Tottus,,supermarket,,,Peñaflor,-70.90043737999935,-33.606469069679385
Hospital de Peñaflor,hospital,,,,Peñaflor,-70.903763404641,-33.61020353876402
AliStore,,supermarket,yes,,Peñaflor,-70.85574041840985,-33.606799500873436
Santa Isabel,,supermarket,supermarket,,Peñaflor,-70.88152379683137,-33.61050789836812
Petrobras,fuel,,roof,,Peñaflor,-70.8607187500194,-33.613680100022854
,,,retail,,Peñaflor,-70.86358572264366,-33.60578557044598
Ekono,,supermarket,yes,,Peñaflor,-70.86211464983316,-33.606621850006725
Express,fuel,,roof,,Peñaflor,-70.86100762604414,-33.60968875578006
Principito,,supermarket,yes,,Peñaflor,-70.87307474999909,-33.59922110000943
,,,commercial,,Peñaflor,-70.91077592327915,-33.63329919059002
Francy Market,,supermarket,yes,,Peñaflor,-70.8778776319946,-33.60594450126927
Acuenta,,supermarket,yes,,Peñaflor,-70.8974148245311,-33.60653778982417
,,,commercial,,Peñaflor,-70.90225131109815,-33.61096240233075
Copec,fuel,,roof,,Peñaflor,-70.9031640999914,-33.61084830001237
,,,commercial,,Peñaflor,-70.90357994832159,-33.61064979334013
,,,commercial,,Peñaflor,-70.90438809054928,-33.61070512734212
,,,commercial,,Peñaflor,-70.9046035332068,-33.61065404811615
,,,retail,,Peñaflor,-70.88073577716406,-33.6111530480248
Lider,,supermarket,yes,,Peñaflor,-70.87913197222178,-33.61131442279825
,,,commercial,,Peñaflor,-70.87776752596518,-33.605603937178984
,,,commercial,,Peñaflor,-70.87360438576616,-33.60159336948543
,,,commercial,,Peñaflor,-70.87327070004316,-33.598853700080205
Botilleria Don Diego,,alcohol,commercial,,Peñaflor,-70.86144489808225,-33.60623365175379
,parking,,,,Peñaflor,-70.85571310482783,-33.608857923403605
Lider,,supermarket,,,Peñaflor,-70.85526043330698,-33.60870977340885
,parking,,,,Peñaflor,-70.86986695835381,-33.62542045567802
,parking,,,,Peñaflor,-70.8525466762271,-33.605267100042745
,parking,,,,Peñaflor,-70.89624024617973,-33.596912225160516
,parking,,,,Peñaflor,-70.86082820695584,-33.61352778976339
,parking,,,,Peñaflor,-70.86089473943832,-33.61520219326554
Mall Chino,,mall,yes,,Peñaflor,-70.89836019381389,-33.60791231841878
,parking,,,,Peñaflor,-70.87153317775028,-33.62916750095397
,parking,,,,Peñaflor,-70.85705547927374,-33.61007197534341
,parking,,,,Peñaflor,-70.83503743269401,-33.609558424827064
,parking,,,,Peñaflor,-70.83608637875541,-33.60956601098206
,parking,,,,Peñaflor,-70.84342434731867,-33.60739878553673
