name,amenity,shop,building,leisure,comuna,lon,lat
Copec,fuel,,,,San Bernardo,-70.7218142,-33.66972239999999
Lider,,supermarket,,,San Bernardo,-70.7106974,-33.6318147
Aramco,fuel,,,,San Bernardo,-70.7079788,-33.6374114
Tottus,,supermarket,,,San Bernardo,-70.7041355,-33.59129139999999
Mayorista 10,,supermarket,,,San Bernardo,-70.7019899,-33.5941969
Car service,car_wash,,,,San Bernardo,-70.7042322,-33.5852954
Santa Isabel,,supermarket,,,San Bernardo,-70.6838122,-33.6153513
,parking,,,,San Bernardo,-70.6836571,-33.61573370000001
Shell,fuel,,,,San Bernardo,-70.7170759,-33.60332449999999
Jumbo,,supermarket,,,San Bernardo,-70.708999,-33.6336248
Reyes Market,,supermarket,,,San Bernardo,-70.6900996,-33.64117489999999
Shell,fuel,,,,San Bernardo,-70.7048472,-33.5948027
Shell,fuel,,,,San Bernardo,-70.6943418,-33.5919718
Aramco,fuel,,,,San Bernardo,-70.6828971,-33.604474100000004
Aprisa,fuel,,,,San Bernardo,-70.7041969,-33.60853389999999
Aramco,fuel,,,,San Bernardo,-70.7029037,-33.59048680000001
Copec,fuel,,,,San Bernardo,-70.6787447,-33.639736600000006
Shell,fuel,,,,San Bernardo,-70.7267299,-33.6829934
Shell,fuel,,,,San Bernardo,-70.7138819,-33.58018229999999
Copec,fuel,,,,San Bernardo,-70.7140106,-33.6327907
Shell,fuel,,,,San Bernardo,-70.7258982,-33.685916000000006
,parking,,,,San Bernardo,-70.7152567,-33.589216
Copec,fuel,,,,San Bernardo,-70.70241,-33.5330376
Shell,fuel,,,,San Bernardo,-70.7042581,-33.5325435
AIEP San Bernardo,university,,,,San Bernardo,-70.7073125,-33.5956596
,parking,,,,San Bernardo,-70.721565,-33.628253799999996
JLC,fuel,,,,San Bernardo,-70.6994087,-33.5343433
Shell,fuel,,,,San Bernardo,-70.7165453,-33.6142239
Shell,fuel,,,,San Bernardo,-70.697286,-33.61236629999999
Temob,charging_station,,,,San Bernardo,-70.7077351,-33.5956321
Copec,fuel,,,,San Bernardo,-70.6998284,-33.5871226
Enex E-Pro,charging_station,,,,San Bernardo,-70.7260726,-33.68604680000001
Enex E-Pro,charging_station,,,,San Bernardo,-70.726579,-33.68197730000001
Copec Voltex,charging_station,,,,San Bernardo,-70.7141404,-33.63301770000001
Enex E-Pro,charging_station,,,,San Bernardo,-70.7140356,-33.5805583
Enel X,charging_station,,,,San Bernardo,-70.7078474,-33.6375371
Copec Voltex,charging_station,,,,San Bernardo,-70.7088445,-33.5403067
Comercial Castro,,supermarket,,,San Bernardo,-70.7111591,-33.6001886
Copec,fuel,,,,San Bernardo,-70.7089104,-33.5398834
Mallplaza Sur,,mall,yes,,San Bernardo,-70.70978325842624,-33.63222321729445
Estacionamiento Mall Plaza Sur,parking,,,,San Bernardo,-70.71035580149196,-33.63034397983929
Estacionamiento Mall Plaza Sur,parking,,,,San Bernardo,-70.70698383300797,-33.63319302863407
Estadio VULCO de San Bernardo,,,,stadium,San Bernardo,-70.69171373502417,-33.604827003694616
Estadio Municipal San Bernardo,,,,stadium,San Bernardo,-70.68997127919584,-33.594565247248816
Hospital El Pino,hospital,,,,San Bernardo,-70.67475398223385,-33.58474624616839
Duoc UC (Sede San Bernardo),university,,,,San Bernardo,-70.7052854803232,-33.59879797587795
,,,commercial,,San Bernardo,-70.70491850050382,-33.595109552073275
Locales Comerciales,,,commercial,,San Bernardo,-70.71277807902804,-33.55921240256819
Terpel,fuel,,roof,,San Bernardo,-70.7117742788742,-33.56302460478814
Tottus,,supermarket,yes,,San Bernardo,-70.69959259049485,-33.59442752334418
Santa Isabel,,supermarket,yes,,San Bernardo,-70.70583200788565,-33.60840484698958
,,,commercial,,San Bernardo,-70.70873022242648,-33.598345764735576
,,mall,yes,,San Bernardo,-70.70409154416846,-33.59032297484544
Rotiserías del Río,,supermarket,yes,,San Bernardo,-70.70524433383976,-33.5959909230136
Fruna,,supermarket,yes,,San Bernardo,-70.70458518466211,-33.596030512681956
Mall del Microempresario,,mall,yes,,San Bernardo,-70.70445677464473,-33.595613221901715
Portal Freire,,,commercial,,San Bernardo,-70.70477011458384,-33.59436143113155
,,,commercial,,San Bernardo,-70.7156185999472,-33.606016099973054
Shell,fuel,,roof,,San Bernardo,-70.71420533172271,-33.60293059307745
,,,commercial,,San Bernardo,-70.70347150002864,-33.61667555008077
Lider,,supermarket,yes,,San Bernardo,-70.69955381270297,-33.59783129390469
,,,commercial,,San Bernardo,-70.70608925004409,-33.58501955008042
,,,commercial,,San Bernardo,-70.70802870689296,-33.589420970260086
Supermercado Andrade,,supermarket,yes,,San Bernardo,-70.70318994902293,-33.58737248974292
Almacén Pinina,,,commercial,,San Bernardo,-70.70492463173824,-33.57829501122989
,,,commercial,,San Bernardo,-70.70642835000966,-33.612440250016334
,,,commercial,,San Bernardo,-70.70418271963902,-33.60242979703878
,,,commercial,,San Bernardo,-70.70463808904344,-33.603781063762725
,,,commercial,,San Bernardo,-70.71218051005695,-33.601091244728345
,,,commercial,,San Bernardo,-70.71200200476486,-33.60096920911347
,,,commercial,,San Bernardo,-70.71195398379083,-33.600893675825255
,,,commercial,,San Bernardo,-70.71168114408897,-33.600085133351925
,,,commercial,,San Bernardo,-70.70816375003325,-33.58957785004461
,,,commercial,,San Bernardo,-70.70682300631876,-33.59214177776318
,,,commercial,,San Bernardo,-70.70612987327199,-33.59228611592638
,,,commercial,,San Bernardo,-70.70599496977214,-33.592316938034465
,,,commercial,,San Bernardo,-70.70246062648835,-33.593185478765285
,,,commercial,,San Bernardo,-70.70226155001426,-33.59322765002933
,,,commercial,,San Bernardo,-70.6996558163655,-33.59381549460192
,,,commercial,,San Bernardo,-70.69891438145933,-33.59396572846251
,,,commercial,,San Bernardo,-70.7014179244374,-33.592491718336376
,,,commercial,,San Bernardo,-70.70248553667389,-33.592277801220135
,,,commercial,,San Bernardo,-70.7028842869474,-33.59220932689908
