name,amenity,shop,building,leisure,comuna,lon,lat
,parking,,,,San Joaquín,-70.6416871,-33.4764512
,parking,,,,San Joaquín,-70.6322168,-33.47366819999999
Terpel,fuel,,,,San Joaquín,-70.641243,-33.481265399999984
Copec,fuel,,,,San Joaquín,-70.6262217,-33.472415999999996
,parking,,,,San Joaquín,-70.6254266,-33.50854579999999
Shell,fuel,,,,San Joaquín,-70.6238516,-33.49609250000001
Copec Voltex,charging_station,,,,San Joaquín,-70.6257751,-33.47535719999998
Ekono,,supermarket,,,San Joaquín,-70.6270752,-33.50375799999999
Rápido y Brillaso,car_wash,,,,San Joaquín,-70.62452860000002,-33.5161859
Los No Hay Ná,,supermarket,,,San Joaquín,-70.6371156,-33.4981851
Shell,fuel,,,,San Joaquín,-70.63694270000002,-33.5066901
Shell,fuel,,,,San Joaquín,-70.6165527,-33.4977061
Enel X,charging_station,,,,San Joaquín,-70.616603,-33.5000716
,parking,,,,San Joaquín,-70.6195828,-33.4878722
Copec,fuel,,,,San Joaquín,-70.6192133,-33.48706959999999
Centro de Formación Técnica Santo Tomás San Joaquín,university,,,,San Joaquín,-70.6171953,-33.4989112
,parking,,,,San Joaquín,-70.6384817,-33.478302000000006
Persa Departamental 100,,mall,,,San Joaquín,-70.61854075289274,-33.508737000304386
Estadio San Joaquín Oriente,,,,stadium,San Joaquín,-70.62215958490886,-33.51082894644173
,parking,,,,San Joaquín,-70.62353072867155,-33.50668813700105
Lider,,supermarket,yes,,San Joaquín,-70.62229979158555,-33.484192952600985
,parking,,,,San Joaquín,-70.623568684854,-33.50845218527721
,parking,,,,San Joaquín,-70.62235758209292,-33.50747599391944
,parking,,,,San Joaquín,-70.6241397745267,-33.505969697035695
Universidad Técnica Federico Santa María Campus San Joaquín,university,,,,San Joaquín,-70.61913858098664,-33.49064618052253
Estacionamiento Funcionarios,parking,,,,San Joaquín,-70.61910331149802,-33.49096489877601
Estacionamiento Alumnos,parking,,,,San Joaquín,-70.61990353200994,-33.49116433527798
Unimarc,,supermarket,yes,,San Joaquín,-70.63789088013776,-33.506276180005145
,,,commercial,,San Joaquín,-70.6381313500317,-33.50633569990759
La Fábrica Patio Outlet,,mall,yes,,San Joaquín,-70.62657391827416,-33.48697956853581
,parking,,,,San Joaquín,-70.62758009501313,-33.485601767506644
,parking,,,,San Joaquín,-70.62535733713203,-33.486413718687245
,parking,,,,San Joaquín,-70.62610234683049,-33.4858001075261
Shell,fuel,,roof,,San Joaquín,-70.62765773046118,-33.501478307408696
,,,commercial,,San Joaquín,-70.6304950427319,-33.48020905844142
Terpel,fuel,,roof,,San Joaquín,-70.61231604993057,-33.510034300033446
Lavado Autos,car_wash,,yes,,San Joaquín,-70.63446474998898,-33.51247105003354
Alvi,,supermarket,yes,,San Joaquín,-70.63706034984297,-33.51116415055337
,parking,,,,San Joaquín,-70.62589215644856,-33.47534670798428
,,,retail,,San Joaquín,-70.6161503073525,-33.500557454314276
Copec,fuel,,no,,San Joaquín,-70.632414708443,-33.48375878204093
,parking,,,,San Joaquín,-70.61681513231044,-33.499992461799756
Copec,fuel,,,,San Joaquín,-70.63943022976167,-33.49507431127945
,,,commercial,,San Joaquín,-70.62255885472374,-33.47998546181685
,,,commercial,,San Joaquín,-70.6224894842207,-33.47884947055795
,,,commercial,,San Joaquín,-70.62263540002371,-33.47885134997938
,,,commercial,,San Joaquín,-70.62323794998959,-33.478682450029645
,,,commercial,,San Joaquín,-70.62359571274938,-33.47758882788757
,,,commercial,,San Joaquín,-70.62327775535908,-33.477804352514184
,,,commercial,,San Joaquín,-70.62462338726274,-33.472376339730275
,,,commercial,,San Joaquín,-70.62322544183135,-33.480399413936546
,,,commercial,,San Joaquín,-70.62565734756737,-33.47604330378737
,,,commercial,,San Joaquín,-70.62569263521928,-33.47595445360132
,,,commercial,,San Joaquín,-70.62404855433113,-33.48305407934091
,,,commercial,,San Joaquín,-70.6320275381982,-33.47430645230727
,,,commercial,,San Joaquín,-70.63220639552294,-33.47430884306789
,,,commercial,,San Joaquín,-70.63209737350223,-33.4739340198471
,,,commercial,,San Joaquín,-70.63113834410201,-33.48028641362702
,,,commercial,,San Joaquín,-70.63121480781408,-33.48019945032834
,,,commercial,,San Joaquín,-70.63128811191133,-33.48002107750803
,,,commercial,,San Joaquín,-70.63143640597315,-33.47900729948765
,,,commercial,,San Joaquín,-70.63166590569598,-33.4790366739864
,,,commercial,,San Joaquín,-70.63147758158395,-33.479777602132565
,,,commercial,,San Joaquín,-70.63180435057953,-33.47977583161662
,,,commercial,,San Joaquín,-70.63207152524915,-33.479613505336204
,,,commercial,,San Joaquín,-70.63176507351825,-33.47849574711388
,,,commercial,,San Joaquín,-70.6319077089826,-33.47849405274962
Aramco,fuel,,,,San Joaquín,-70.641648617543,-33.476916902770824
,parking,,,,San Joaquín,-70.62898987736219,-33.47472691533395
Universidad de Talca Campus Santiago,university,,,,San Joaquín,-70.62592776646663,-33.472694973991516
,parking,,,,San Joaquín,-70.62400304018719,-33.47299282153151
,parking,,,,San Joaquín,-70.6213265026506,-33.4839769391404
,parking,,,,San Joaquín,-70.62352539713454,-33.484103211130744
,parking,,,,San Joaquín,-70.62212989322727,-33.47974037075517
,parking,,,,San Joaquín,-70.62169730677115,-33.481360466482016
