name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
,parking,,,,Huechuraba,-70.6224876,-33.39383240000001,parking,25
Centro de Eventos Los Almendros,parking,,,,Huechuraba,-70.6188337,-33.3805104,parking,25
Ciudad Empresarial,parking,,,,Huechuraba,-70.6164772,-33.39270080000001,parking,25
Ciudad Empresarial,parking,,,,Huechuraba,-70.6190443,-33.38975610000001,parking,25
Lider,,supermarket,,,Huechuraba,-70.6791808,-33.3641739,supermarket,10
Santa Isabel,,supermarket,,,Huechuraba,-70.6701523,-33.347203599999986,supermarket,10
Ciudad Empresarial,parking,,,,Huechuraba,-70.6186712,-33.39397449999999,parking,25
Golf Ciudad Empresarial,parking,,,,Huechuraba,-70.6186452,-33.39035609999999,parking,25
Strip Center Ciudad Empresarial,parking,,,,Huechuraba,-70.620659,-33.39440659999999,parking,25
,parking,,,,Huechuraba,-70.6158498,-33.3930384,parking,25
Emporio Verde,,supermarket,,,Huechuraba,-70.6391322,-33.3780817,supermarket,10
Tottus Express,,supermarket,,,Huechuraba,-70.6205659,-33.3899657,supermarket,10
Aramco,fuel,,,,Huechuraba,-70.6701086,-33.35208,fuel,10
Copec,fuel,,,,Huechuraba,-70.6715149,-33.37032800000001,fuel,10
Copec,fuel,,,,Huechuraba,-70.6405949,-33.3825369,fuel,10
Aramco,fuel,,,,Huechuraba,-70.6266112,-33.39274549999999,fuel,10
Movicenter,charging_station,,,,Huechuraba,-70.6639075,-33.3702064,charging_station,30
,parking,,,,Huechuraba,-70.6082814,-33.3761962,parking,25
,parking,,,,Huechuraba,-70.6078819,-33.375266499999995,parking,25
Shell,fuel,,,,Huechuraba,-70.64530850000001,-33.38024239999999,fuel,10
Tottus,,supermarket,,,Huechuraba,-70.6782764,-33.35372970000002,supermarket,10
,parking,,,,Huechuraba,-70.657687,-33.3716297,parking,25
,parking,,,,Huechuraba,-70.636602,-33.3829672,parking,25
,parking,,,,Huechuraba,-70.6303174,-33.38041539999999,parking,25
Enel X,charging_station,,,,Huechuraba,-70.6207967,-33.39427499999999,charging_station,30
,parking,,,,Huechuraba,-70.63485087670534,-33.375919464754965,parking,25
Mall Plaza Norte,,mall,commercial,,Huechuraba,-70.67907548594592,-33.365362137299,mall,20
Mall Plaza Norte,parking,,,,Huechuraba,-70.67957073983803,-33.36625206478985,parking,25
,parking,,,,Huechuraba,-70.62678389903503,-33.383027054641005,parking,25
Más Center Ciudad Empresarial,,shopping_centre,retail,,Huechuraba,-70.62030274951363,-33.394411951903244,shopping_centre,13
,,,commercial,,Huechuraba,-70.62110969987492,-33.39350660003382,commercial,10
Universidad Mayor,university,,,,Huechuraba,-70.6146189395946,-33.37704666805368,university,10
,,,office,,Huechuraba,-70.67180087710263,-33.36162335532706,office,8
Strip Center Pedro Fontova,,,retail,,Huechuraba,-70.67005332503378,-33.36616480441967,retail,6
Unimarc,,supermarket,yes,,Huechuraba,-70.67126672635261,-33.35063955520938,supermarket,10
Lider Express,,supermarket,yes,,Huechuraba,-70.66937674831584,-33.35321477367766,supermarket,10
