name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Copec,fuel,,,,Independencia,-70.679624,-33.4072199,fuel,10
,parking,,,,Independencia,-70.6708675,-33.4193819,parking,25
Santa Isabel,,supermarket,,,Independencia,-70.6631295,-33.4196105,supermarket,10
,parking,,,,Independencia,-70.6561288,-33.4305686,parking,25
,parking,,,,Independencia,-70.6562708,-33.4300492,parking,25
Lavado de Autos,car_wash,,,,Independencia,-70.6648165,-33.4148571,car_wash,2
Shell,fuel,,,,Independencia,-70.6788829,-33.413369,fuel,10
Petrobras,fuel,,,,Independencia,-70.6811007,-33.40316949999998,fuel,10
Copec,fuel,,,,Independencia,-70.6589201,-33.4294089,fuel,10
Shell,fuel,,,,Independencia,-70.6680461,-33.407159400000005,fuel,10
Copec,fuel,,,,Independencia,-70.6725922,-33.423467599999995,fuel,10
Set7E,fuel,,,,Independencia,-70.6516181,-33.4268332,fuel,10
Escuela de Enfermería,university,,,,Independencia,-70.6545876,-33.418866099999995,university,10
,parking,,,,Independencia,-70.6753654,-33.4108091,parking,25
Jumbo,,supermarket,,,Independencia,-70.6535122,-33.4243612,supermarket,10
,parking,,,,Independencia,-70.6559407,-33.4095975,parking,25
Estadio Santa Laura-Universidad SEK,,,yes,stadium,Independencia,-70.6589740570724,-33.40448596267949,yes,13
Issa Valentino,,,commercial,,Independencia,-70.65373292512442,-33.42688811595225,commercial,10
Unimarc,,supermarket,yes,,Independencia,-70.65994157627128,-33.40679468118142,supermarket,10
Hipódromo Chile,,,,stadium,Independencia,-70.66666821429777,-33.40399161733921,stadium,20
Universidad de Chile (Campus Eloísa Díaz),parking,,,,Independencia,-70.65152177128871,-33.41820117573972,parking,25
Universidad de Chile (Campus Norte),parking,,,,Independencia,-70.6538694714146,-33.41834656395996,parking,25
Clínica Dental Universidad de Chile,hospital,,yes,,Independencia,-70.65134807927116,-33.422918799278875,hospital,6
Facultad de Odontología,parking,,,,Independencia,-70.65198605656566,-33.42308595716454,parking,25
Facultad de Ciencias Químicas y Farmacéuticas,parking,,,,Independencia,-70.65310166899086,-33.42311940810398,parking,25
Municipalidad de Independencia,parking,,,,Independencia,-70.65417030159526,-33.422263333285464,parking,25
Universidad de Chile (Campus Eloísa Díaz),university,,,,Independencia,-70.65337217669115,-33.42002153386605,university,10
,parking,,,,Independencia,-70.65107807634278,-33.42172704630886,parking,25
,parking,,,,Independencia,-70.6518666827724,-33.42167122369321,parking,25
Plaza Vivaceta,,mall,yes,,Independencia,-70.66279782367096,-33.41981941659085,mall,20
Unimarc,,supermarket,retail,,Independencia,-70.67038204216941,-33.41942135497915,supermarket,10
Tottus,,supermarket,yes,,Independencia,-70.66458160408907,-33.41886549259071,supermarket,10
Shell,fuel,,roof,,Independencia,-70.66275992104774,-33.42087722210689,fuel,10
Lavado de Vehiculos,car_wash,,yes,,Independencia,-70.67653012330241,-33.41410223920704,car_wash,2
Lavado,car_wash,,yes,,Independencia,-70.66804767501188,-33.40738978197663,car_wash,2
Supermercado Dandy,,supermarket,yes,,Independencia,-70.66577825001735,-33.41220865000344,supermarket,10
Copec,fuel,,roof,,Independencia,-70.66388440000338,-33.418088950001184,fuel,10
,,,commercial,,Independencia,-70.66596630003929,-33.40982290022084,commercial,10
Lider Express,,supermarket,yes,,Independencia,-70.65596684260424,-33.41738854499219,supermarket,10
Hospital San José,hospital,,,,Independencia,-70.65372955322955,-33.41651015854161,hospital,6
,,,commercial,,Independencia,-70.66057827916924,-33.40921529788558,commercial,10
Aguas Andinas,,,commercial,,Independencia,-70.66026245668164,-33.40947318553048,commercial,10
,,,commercial,,Independencia,-70.66011052300706,-33.40976553907553,commercial,10
Ahorra Food Depot,,supermarket,yes,,Independencia,-70.65684676409037,-33.417264185304305,supermarket,10
,,,commercial,,Independencia,-70.66118364812655,-33.40727037402355,commercial,10
Patio Milade,,,retail,,Independencia,-70.660687252566,-33.40578375329798,retail,6
,,,commercial,,Independencia,-70.65347641730031,-33.42813218803077,commercial,10
,,,commercial,,Independencia,-70.65524664361014,-33.42207097289652,commercial,10
Copec,fuel,,roof,,Independencia,-70.66178161097639,-33.423888859866906,fuel,10
Acuenta,,supermarket,yes,,Independencia,-70.6619771188583,-33.42269053022306,supermarket,10
Mall Barrio Independencia,,mall,,,Independencia,-70.65364660426191,-33.42419705093429,mall,20
,parking,,,,Independencia,-70.6512274297474,-33.423048019141056,parking,25
Copec,fuel,,,,Independencia,-70.65796243817914,-33.4130963775989,fuel,10
,parking,,,,Independencia,-70.65122431734966,-33.42281949379823,parking,25
Hospital de Niños Doctor Roberto del Río,hospital,,yes,,Independencia,-70.65483032070652,-33.41527482525881,hospital,6
,parking,,,,Independencia,-70.6626580502668,-33.420150248534874,parking,25
,parking,,,,Independencia,-70.65308899416704,-33.41555903041897,parking,25
,parking,,,,Independencia,-70.65353440763208,-33.415658565349574,parking,25
,parking,,,,Independencia,-70.67079402559636,-33.40195930396636,parking,25
,parking,,,,Independencia,-70.66482692349359,-33.4064112887769,parking,25
Shell,fuel,,,,Independencia,-70.66114467094668,-33.405873503609165,fuel,10
,parking,,,,Independencia,-70.65238893213025,-33.43075146526739,parking,25
Instituto Nacional del Cáncer,hospital,,,,Independencia,-70.654291400036,-33.41550930062742,hospital,6
,parking,,,,Independencia,-70.65530101075949,-33.42036758362194,parking,25
,parking,,,,Independencia,-70.65207893407849,-33.42067196349369,parking,25
,parking,,,,Independencia,-70.65432537733533,-33.42044991199427,parking,25
,parking,,,,Independencia,-70.65622161107422,-33.43059713300344,parking,25
,parking,,,,Independencia,-70.65570918182412,-33.43031433939372,parking,25
,parking,,,,Independencia,-70.65622008157408,-33.4300727501491,parking,25
,parking,,,,Independencia,-70.65873849221663,-33.42969304285094,parking,25
,parking,,,,Independencia,-70.67455819020269,-33.40382297772155,parking,25
Instituto Nacional del Cáncer,hospital,,,,Independencia,-70.65234887490458,-33.418153406191514,hospital,6
,,,office,,Independencia,-70.65515859708846,-33.42121668068433,office,8
Lider Express,,supermarket,yes,,Independencia,-70.65562042566303,-33.423556995266,supermarket,10
