name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Petrobras,fuel,,,,Peñaflor,-70.8749163,-33.6103125,fuel,10
Shell,fuel,,,,Peñaflor,-70.88211490000002,-33.6111212,fuel,10
,fuel,,,,Peñaflor,-70.8744984,-33.59978679999998,fuel,10
,fuel,,,,Peñaflor,-70.8852701,-33.6031284,fuel,10
,parking,,,,Peñaflor,-70.8810308,-33.6105954,parking,25
Mayorista 10,,supermarket,,,Peñaflor,-70.8992515,-33.6075697,supermarket,10
principito,,supermarket,,,Peñaflor,-70.8731027,-33.5991517,supermarket,10
Petrobras,fuel,,,,Peñaflor,-70.8513306,-33.603041299999994,fuel,10
JVR,fuel,,,,Peñaflor,-70.901746,-33.611085300000006,fuel,10
Copec,fuel,,,,Peñaflor,-70.8335183,-33.5842935,fuel,10
,parking,,,,Peñaflor,-70.9004081,-33.5989609,parking,25
,parking,,,,Peñaflor,-70.8956861,-33.5962944,parking,25
,parking,,,,Peñaflor,-70.8981677,-33.597871600000005,parking,25
Estadio Municipal de Peñaflor (Bilbao),,,,stadium,Peñaflor,-70.87253120034877,-33.60562548884121,stadium,20
Tottus,,supermarket,,,Peñaflor,-70.90043737999935,-33.606469069679385,supermarket,10
Hospital de Peñaflor,hospital,,,,Peñaflor,-70.903763404641,-33.61020353876402,hospital,6
AliStore,,supermarket,yes,,Peñaflor,-70.85574041840985,-33.60679950087344,supermarket,10
Santa Isabel,,supermarket,supermarket,,Peñaflor,-70.88152379683137,-33.61050789836812,supermarket,10
Petrobras,fuel,,roof,,Peñaflor,-70.8607187500194,-33.613680100022854,fuel,10
,,,retail,,Peñaflor,-70.86358572264366,-33.60578557044598,retail,6
Ekono,,supermarket,yes,,Peñaflor,-70.86211464983316,-33.606621850006725,supermarket,10
Express,fuel,,roof,,Peñaflor,-70.86100762604414,-33.60968875578006,fuel,10
Principito,,supermarket,yes,,Peñaflor,-70.87307474999909,-33.59922110000943,supermarket,10
,,,commercial,,Peñaflor,-70.91077592327915,-33.63329919059002,commercial,10
Francy Market,,supermarket,yes,,Peñaflor,-70.8778776319946,-33.60594450126927,supermarket,10
Acuenta,,supermarket,yes,,Peñaflor,-70.8974148245311,-33.60653778982417,supermarket,10
,,,commercial,,Peñaflor,-70.90225131109815,-33.61096240233075,commercial,10
Copec,fuel,,roof,,Peñaflor,-70.9031640999914,-33.61084830001237,fuel,10
,,,commercial,,Peñaflor,-70.90357994832159,-33.61064979334013,commercial,10
,,,commercial,,Peñaflor,-70.90438809054928,-33.61070512734212,commercial,10
,,,commercial,,Peñaflor,-70.9046035332068,-33.61065404811615,commercial,10
,,,retail,,Peñaflor,-70.88073577716406,-33.6111530480248,retail,6
Lider,,supermarket,yes,,Peñaflor,-70.87913197222178,-33.61131442279825,supermarket,10
,,,commercial,,Peñaflor,-70.87776752596518,-33.605603937178984,commercial,10
,,,commercial,,Peñaflor,-70.87360438576616,-33.60159336948543,commercial,10
,,,commercial,,Peñaflor,-70.87327070004316,-33.598853700080205,commercial,10
Botilleria Don Diego,,alcohol,commercial,,Peñaflor,-70.86144489808225,-33.60623365175379,alcohol,13
,parking,,,,Peñaflor,-70.85571310482783,-33.608857923403605,parking,25
Lider,,supermarket,,,Peñaflor,-70.85526043330698,-33.60870977340885,supermarket,10
,parking,,,,Peñaflor,-70.86986695835381,-33.62542045567802,parking,25
,parking,,,,Peñaflor,-70.8525466762271,-33.605267100042745,parking,25
,parking,,,,Peñaflor,-70.89624024617973,-33.59691222516052,parking,25
,parking,,,,Peñaflor,-70.86082820695584,-33.61352778976339,parking,25
,parking,,,,Peñaflor,-70.86089473943832,-33.61520219326554,parking,25
Mall Chino,,mall,yes,,Peñaflor,-70.89836019381389,-33.60791231841878,mall,20
,parking,,,,Peñaflor,-70.87153317775028,-33.62916750095397,parking,25
,parking,,,,Peñaflor,-70.85705547927374,-33.61007197534341,parking,25
,parking,,,,Peñaflor,-70.83503743269401,-33.609558424827064,parking,25
,parking,,,,Peñaflor,-70.83608637875541,-33.60956601098206,parking,25
,parking,,,,Peñaflor,-70.84342434731867,-33.60739878553673,parking,25
