Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
alonso de cordova 3788;metropolitana;Vitacura;-3.340.187;-7.059.291;7;AC;7;2
av vitacura 5951;metropolitana;Vitacura;-3.339.178;-7.057.323;44;AC;44;1
av. americo vespucio #1665;metropolitana;Vitacura;-3.339.894;-7.058.718;50;DC;50;3
av. vitacura 6980;metropolitana;Vitacura;-3.338.675;-7.056.556;70;DC;60;4
av. vitacura 9019;metropolitana;Vitacura;-3.338.374;-7.054.946;70;DC;60;4
bicentenario 3800;metropolitana;Vitacura;-3.339.938;-7.060.154;14;AC;7;8
buenaventura 1770;metropolitana;Vitacura;-3.338.677;-7.056.821;24;DC;24;2
costanera norte km 2,5 e-0 s/n;metropolitana;Vitacura;-3.337.513;-7.053.187;175;DC;175;4
costanera norte km 8 (direccion oriente);metropolitana;Vitacura;-333.821;-7.059.316;50;DC;50;3
luis pasteur 6725;metropolitana;Vitacura;-3.337.999;-7.056.953;22;AC;22;3
santa maria 5870;metropolitana;Vitacura;-3.338.042;-705.857;14;AC;7;2
santa maria 5888;metropolitana;Vitacura;-3.337.966;-7.058.436;14;AC;7;2
vitacura 3350;metropolitana;Vitacura;-3.340.552;-7.059.834;50;DC;50;3
