Periodo,Mercado Total Estimado (Mes),Cuota Mercado EV (%),Unidades EV Estimadas (Mes),Consumo/demanda
2025-01,4525,"2,5%",625,1357500
2025-02,5150,"2,5%",625,1545000
2025-03,5775,"2,5%",625,1732500
2025-04,6400,"2,5%",625,1920000
2025-05,7025,"2,5%",625,2107500
2025-06,7650,"2,5%",625,2295000
2025-07,8600,"3,8%",950,2580000
2025-08,9550,"3,8%",950,2865000
2025-09,10500,"3,8%",950,3150000
2025-10,11450,"3,8%",950,3435000
2025-11,12400,"3,8%",950,3720000
2025-12,13350,"3,8%",950,4005000
2026-01,14739,"5,5%",1389,4421700
2026-02,16128,"5,5%",1389,4838400
2026-03,17517,"5,5%",1389,5255100
2026-04,18906,"5,5%",1389,5671800
2026-05,20295,"5,5%",1389,6088500
2026-06,21684,"5,5%",1389,6505200
2026-07,23502,"7,2%",1818,7050600
2026-08,25320,"7,2%",1818,7596000
2026-09,27138,"7,2%",1818,8141400
2026-10,28956,"7,2%",1818,8686800
2026-11,30774,"7,2%",1818,9232200
2026-12,32592,"7,2%",1818,9777600
2027-01,34836,"8,8%",2244,10450800
2027-02,37080,"8,8%",2244,11124000
2027-03,39324,"8,8%",2244,11797200
2027-04,41568,"8,8%",2244,12470400
2027-05,43812,"8,8%",2244,13143600
2027-06,46056,"8,8%",2244,13816800
2027-07,48734,"10,5%",2678,14620200
2027-08,51412,"10,5%",2678,15423600
2027-09,54090,"10,5%",2678,16227000
2027-10,56768,"10,5%",2678,17030400
2027-11,59446,"10,5%",2678,17833800
2027-12,62124,"10,5%",2678,18637200
2028-01,65266,"12,2%",3142,19579800
2028-02,68408,"12,2%",3142,20522400
2028-03,71550,"12,2%",3142,21465000
2028-04,74692,"12,2%",3142,22407600
2028-05,77834,"12,2%",3142,23350200
2028-06,80976,"12,2%",3142,24292800
2028-07,84865,"15,1%",3889,25459500
2028-08,88754,"15,1%",3889,26626200
2028-09,92643,"15,1%",3889,27792900
2028-10,96532,"15,1%",3889,28959600
2028-11,100421,"15,1%",3889,30126300
2028-12,104310,"15,1%",3889,31293000
2029-01,109357,"19,4%",5047,32807100
2029-02,114404,"19,4%",5047,34321200
2029-03,119451,"19,4%",5047,35835300
2029-04,124498,"19,4%",5047,37349400
2029-05,129545,"19,4%",5047,38863500
2029-06,134592,"19,4%",5047,40377600
