name,amenity,shop,building,leisure,comuna,lon,lat
Centro Empresarial El Cortijo,parking,,,,Conchalí,-70.6957384,-33.367221199999996
Centro Empresarial El Cortijo,parking,,,,Conchalí,-70.6966407,-33.36651169999999
Unimarc,,supermarket,,,Conchalí,-70.6644453,-33.386911099999985
Car Wash 3D,car_wash,,,,Conchalí,-70.6868672,-33.373678
Orange,fuel,,,,Conchalí,-70.6889386,-33.3669416
Copec,fuel,,,,Conchalí,-70.6687669,-33.398834599999994
Aramco,fuel,,,,Conchalí,-70.6808113,-33.38367989999998
Shell,fuel,,,,Conchalí,-70.6827526,-33.400602
Shell,fuel,,,,Conchalí,-70.6575487,-33.38695160000001
Lavapro,car_wash,,,,Conchalí,-70.6750395,-33.390276099999994
Alvi,,supermarket,yes,,Conchalí,-70.67657909970382,-33.390244050380716
Lider,,supermarket,yes,,Conchalí,-70.676355352304,-33.390907197765394
Centro de Reparto Chilexpress,,,commercial,,Conchalí,-70.67214739999264,-33.39571935001049
,,,retail,,Conchalí,-70.67264324618534,-33.38008090375268
,,,commercial,,Conchalí,-70.66461027366977,-33.380082926329315
Copec,fuel,,roof,,Conchalí,-70.65961329877925,-33.38063739357423
San Lorenzo,,supermarket,yes,,Conchalí,-70.65805960001614,-33.37931930005355
Lavado Autos,car_wash,,yes,,Conchalí,-70.68389791320539,-33.37864481818117
Centro de Lavado Ecologico de Vehiculos,car_wash,,yes,,Conchalí,-70.6675192000004,-33.394257250003804
Santa Isabel,,supermarket,yes,,Conchalí,-70.68221044631267,-33.37318410164845
,,,commercial,,Conchalí,-70.68805930085925,-33.369336944692996
Núcleo Vespucio,,,commercial,,Conchalí,-70.68563846032927,-33.367152221457076
MiBodega,,,commercial,,Conchalí,-70.68396135015726,-33.367375700628784
,fuel,,roof,,Conchalí,-70.6886058286217,-33.381884729092626
Bodegas Multiuso SA,,,commercial,,Conchalí,-70.68675383449748,-33.39391698545657
Shell,fuel,,roof,,Conchalí,-70.67507736421284,-33.39052816049961
,,,commercial,,Conchalí,-70.6716669550476,-33.395271929276426
,,,retail,,Conchalí,-70.67120703338402,-33.39591745042139
,,,commercial,,Conchalí,-70.67238534182101,-33.39544645008902
Santa Isabel,,supermarket,yes,,Conchalí,-70.66944015474401,-33.39862078258807
,parking,,,,Conchalí,-70.6822943126354,-33.37335738904431
Erbi,,supermarket,yes,,Conchalí,-70.6888915499586,-33.36724800005545
SuperBodega aCuenta,,supermarket,yes,,Conchalí,-70.67993850719178,-33.39611210848346
Unimarc,,supermarket,yes,,Conchalí,-70.65864848216268,-33.39510685935966
Panificadora Colo Colo,,bakery,commercial,,Conchalí,-70.67229024999632,-33.3781681500293
Caperana,,alcohol,commercial,,Conchalí,-70.66877988944736,-33.37572256262686
Frutos secos,,kiosk,commercial,,Conchalí,-70.67095530966554,-33.37243044616673
COSAM Conchalí,hospital,,,,Conchalí,-70.6827999141706,-33.37002793988873
Aramco,fuel,,,,Conchalí,-70.68178482808517,-33.36755924301395
,parking,,,,Conchalí,-70.66967153411461,-33.39834381368823
Central Mayorista,,supermarket,,,Conchalí,-70.68044311927973,-33.40219445020148
,parking,,,,Conchalí,-70.67586097872912,-33.391171194072484
,parking,,,,Conchalí,-70.69518042506937,-33.366581398582795
,parking,,,,Conchalí,-70.68808425987507,-33.36956197486567
,parking,,,,Conchalí,-70.679612740532,-33.396676444737835
