name,amenity,shop,building,leisure,comuna,lon,lat
Lider,,supermarket,,,El Bosque,-70.6674641,-33.54649919999999
,parking,,,,El Bosque,-70.6748371,-33.55520870000001
Kreadi,,,office,,El Bosque,-70.6611986,-33.5482627
Alvi,,supermarket,,,El Bosque,-70.690958,-33.57368569999999
Shell,fuel,,,,El Bosque,-70.6740748,-33.5533567
Aramco,fuel,,,,El Bosque,-70.6691341,-33.5461314
Copec,fuel,,,,El Bosque,-70.6896996,-33.57327819999999
,parking,,,,El Bosque,-70.6803025,-33.570618599999996
,parking,,,,El Bosque,-70.678256,-33.57802809999999
Instituto Profesional Diego Portales El Bosque,university,,,,El Bosque,-70.6696478,-33.5466837
Estacionamiento Personal B.A.E.B.,parking,,,,El Bosque,-70.6794898,-33.55911399999999
,parking,,,,El Bosque,-70.6682054,-33.5460871
,car_wash,,,,El Bosque,-70.6721547,-33.5508026
,parking,,,,El Bosque,-70.68056970000002,-33.57812630000001
Tottus,,supermarket,yes,,El Bosque,-70.67564794989578,-33.55354877222521
Prowash Cars,car_wash,,yes,,El Bosque,-70.67755494390417,-33.553928628959305
,parking,,,,El Bosque,-70.66360535172474,-33.556593901754425
,parking,,,,El Bosque,-70.6631738407748,-33.55752394423492
,parking,,,,El Bosque,-70.66508770666222,-33.5563847617906
,parking,,,,El Bosque,-70.66287644318473,-33.556477392498586
Arauco El Bosque,,mall,yes,,El Bosque,-70.67683956620601,-33.55324278714386
Arauco El Bosque,parking,,,,El Bosque,-70.67695818675224,-33.55391313200854
,,,commercial,,El Bosque,-70.67518540385815,-33.57836764393362
,,,commercial,,El Bosque,-70.67511754623895,-33.577845229509165
,,,commercial,,El Bosque,-70.67399074284626,-33.5737436785398
,,,commercial,,El Bosque,-70.6706804499942,-33.56128625000064
,,,commercial,,El Bosque,-70.6707696684877,-33.560363781188
,,,commercial,,El Bosque,-70.67001764997735,-33.557781549988086
,,,commercial,,El Bosque,-70.66943612180914,-33.55554499232699
Aramco,fuel,,roof,,El Bosque,-70.67350094383923,-33.552631038014674
,,,commercial,,El Bosque,-70.67046774927469,-33.56106677391315
Delpa Abastible,fuel,,roof,,El Bosque,-70.6763449999823,-33.542743249997606
Action,fuel,,roof,,El Bosque,-70.67791891595576,-33.558298747360865
Lipigas,fuel,,roof,,El Bosque,-70.66069377542019,-33.57393070844442
,parking,,,,El Bosque,-70.68189535298484,-33.56047925224418
,parking,,,,El Bosque,-70.68198650599047,-33.57979460682607
,car_wash,,yes,,El Bosque,-70.66163974443627,-33.55688984260605
imprenta,,,commercial,,El Bosque,-70.67126648775368,-33.55202523682584
Galeria comercial,,,commercial,,El Bosque,-70.67379952482001,-33.55220122454536
,,,commercial,,El Bosque,-70.67327187450181,-33.55121744491465
,parking,,,,El Bosque,-70.67225235971922,-33.55004994665791
,parking,,,,El Bosque,-70.6915496133804,-33.559596773583245
,parking,,,,El Bosque,-70.68849240040103,-33.55262191716364
Unimarc,,supermarket,commercial,,El Bosque,-70.69176604955692,-33.574579479152476
,,,commercial,,El Bosque,-70.66823602296837,-33.55179092692529
CCPC,,,commercial,,El Bosque,-70.67189181636547,-33.5522890620211
,parking,,,,El Bosque,-70.69281056895765,-33.57554517078267
,parking,,,,El Bosque,-70.68145310981475,-33.58051018899353
,parking,,,,El Bosque,-70.68236696030638,-33.580141383215945
,parking,,,,El Bosque,-70.68319632042784,-33.579807239276555
,parking,,,,El Bosque,-70.68162975911639,-33.58020128590422
,parking,,,,El Bosque,-70.68769009311673,-33.545509022758935
,parking,,,,El Bosque,-70.68667816954576,-33.54569090882367
,parking,,,,El Bosque,-70.67832144591004,-33.55742247610617
,parking,,,,El Bosque,-70.67811184990198,-33.557128250004965
Gerencia Comercial,,,commercial,,El Bosque,-70.6868416414775,-33.56806602525762
,,,commercial,,El Bosque,-70.69133602609975,-33.57351974017751
,parking,,,,El Bosque,-70.6907581253673,-33.55997433117618
Super Bodega Acuenta,,supermarket,yes,,El Bosque,-70.6655910296324,-33.573297809053734
,parking,,,,El Bosque,-70.68872013666686,-33.570717533023554
Dirección Ejecutiva,,,commercial,,El Bosque,-70.68638177965822,-33.5676323766484
,parking,,,,El Bosque,-70.68787858944258,-33.5697775346714
,parking,,,,El Bosque,-70.6873773776513,-33.56847718162708
,parking,,,,El Bosque,-70.6891571652769,-33.568919038982465
,parking,,,,El Bosque,-70.68951308245005,-33.56839992755221
,parking,,,,El Bosque,-70.68850251379803,-33.56850227914621
,parking,,,,El Bosque,-70.68813647311526,-33.56806808485286
,,,commercial,,El Bosque,-70.67811872012024,-33.56543459439579
,parking,,,,El Bosque,-70.68911384578251,-33.55708856892877
,parking,,,,El Bosque,-70.68896184538768,-33.55654205761689
,,,commercial,,El Bosque,-70.67388060001797,-33.571474250034754
,parking,,,,El Bosque,-70.67341183311053,-33.572042797433724
,parking,,,,El Bosque,-70.6745757788401,-33.55601920592703
Santa Isabel,,supermarket,,,El Bosque,-70.67238607271914,-33.54990679504344
,parking,,,,El Bosque,-70.66456925017387,-33.5475303002356
