name,amenity,shop,building,leisure,comuna,lon,lat
Santa Isabel,,supermarket,,,La Granja,-70.6233585,-33.5576679
Lavado de Autos,car_wash,,,,La Granja,-70.6316187,-33.547589
Copec,fuel,,,,La Granja,-70.63287230000002,-33.54725929999999
Shell,fuel,,,,La Granja,-70.6353537,-33.52751049999999
,parking,,,,La Granja,-70.6134166,-33.5183006
Pista Vilanova,parking,,,,La Granja,-70.6126001,-33.516199499999985
Santa Isabel,,supermarket,yes,,La Granja,-70.61868626683247,-33.55071069635346
,,,retail,,La Granja,-70.62728524329329,-33.520715849808205
,,,retail,,La Granja,-70.6336868422872,-33.541937505925105
Italla,,supermarket,yes,,La Granja,-70.6189275499859,-33.55523320004257
,,,commercial,,La Granja,-70.6330333366483,-33.546147202012804
Mayorista 10,,supermarket,yes,,La Granja,-70.63516296265102,-33.5260104641598
Santa Isabel,,supermarket,yes,,La Granja,-70.63508118324533,-33.52812352374939
Comercial Acar,,mall,yes,,La Granja,-70.61572392630659,-33.54311294711663
,parking,,,,La Granja,-70.61344096792784,-33.51544900764786
MIM,parking,,,,La Granja,-70.61117255400856,-33.51954476148007
aCuenta,,supermarket,yes,,La Granja,-70.6341227311371,-33.531343176056204
Petrobras,fuel,,yes,,La Granja,-70.63134878727425,-33.55503872623476
Ekono,,supermarket,yes,,La Granja,-70.61008929342765,-33.52600227965549
,parking,,,,La Granja,-70.63626015754413,-33.5207701904527
,parking,,,,La Granja,-70.6314470204064,-33.54393116113116
,parking,,,,La Granja,-70.62231386958985,-33.52796623600423
,parking,,,,La Granja,-70.61399685923543,-33.518400874623765
,parking,,,,La Granja,-70.61264267783172,-33.52288966622163
Estadio Sargento Aldea,,,,stadium,La Granja,-70.62651598829251,-33.519264187448506
,,,commercial,,La Granja,-70.63321805532918,-33.54480282196232
Aguas Andinas - Zona Antilco,,,office,,La Granja,-70.63312212960818,-33.54438948846083
,parking,,,,La Granja,-70.63072134152983,-33.54443435594544
Estadio San Gregorio,,,,stadium,La Granja,-70.6325625385943,-33.536593134452104
,,,commercial,,La Granja,-70.62057328360912,-33.516605162400396
,,mall,yes,,La Granja,-70.61933942763555,-33.53729641021166
,parking,,,,La Granja,-70.61120812709206,-33.5195026219891
,parking,,,,La Granja,-70.61110815086028,-33.5197368818615
,parking,,,,La Granja,-70.61097365487178,-33.51961804142447
,parking,,,,La Granja,-70.61097731919493,-33.51991356277507
,parking,,,,La Granja,-70.61161878717384,-33.519749236653304
,parking,,,,La Granja,-70.63459907172346,-33.531385367199626
