name,amenity,shop,building,leisure,comuna,lon,lat
Estacionamiento Prince of Wales Country Club,parking,,,,La Reina,-70.5716599,-33.43567349999999
,parking,,,,La Reina,-70.5709345,-33.4475553
,parking,,,,La Reina,-70.5364903,-33.4478858
Rodelbahn,parking,,,,La Reina,-70.5166867,-33.4593949
Santa Isabel,,supermarket,,,La Reina,-70.5427099,-33.440825100000005
Estacionamientos Plaza La Reina,parking,,,,La Reina,-70.5330871,-33.4406678
Hospital Militar de Santiago,parking,,,,La Reina,-70.5390571,-33.45129659999999
Parking Vértigo Park,parking,,,,La Reina,-70.5163183,-33.45563069999999
Parque Mahuida,parking,,,,La Reina,-70.5164108,-33.457591099999995
Federación de Rugby,parking,,,,La Reina,-70.5178294,-33.457495800000004
,parking,,,,La Reina,-70.5179532,-33.4590972
SalcoBrand,parking,,,,La Reina,-70.5571929,-33.439048199999995
Pizza Pizza,parking,,,,La Reina,-70.5573779,-33.43901249999999
,parking,,,,La Reina,-70.56110980000001,-33.438843799999994
Copec,parking,,,,La Reina,-70.5608313,-33.4383466
Burger King,parking,,,,La Reina,-70.5613186,-33.43912470000001
,parking,,,,La Reina,-70.5614478,-33.4382506
Farmacias Cruz Verde,parking,,,,La Reina,-70.5616457,-33.4385391
,parking,,,,La Reina,-70.5583395,-33.440602099999985
,parking,,,,La Reina,-70.550774,-33.439674399999994
Costa Nazca,parking,,,,La Reina,-70.5620058,-33.438750299999995
Starbucks,parking,,,,La Reina,-70.5617297,-33.4387862
,parking,,,,La Reina,-70.5705699,-33.45032290000001
Tottus,,supermarket,,,La Reina,-70.5694845,-33.4527555
Estacionamiento Mall Plaza Egaña,parking,,,,La Reina,-70.5699145,-33.4517647
Caiquén,fuel,,,,La Reina,-70.5500041,-33.46185390000001
Santa Isabel,,supermarket,,,La Reina,-70.5403664,-33.4519902
,parking,,,,La Reina,-70.5186935,-33.433731099999996
Copec,fuel,,,,La Reina,-70.571281,-33.448194599999994
Global Car Services,car_wash,,,,La Reina,-70.5770807,-33.431547499999986
,parking,,,,La Reina,-70.5153331,-33.4581938
,parking,,,,La Reina,-70.5185782,-33.45759259999999
,parking,,,,La Reina,-70.520619,-33.459485
EcoWashCar,car_wash,,,,La Reina,-70.5411614,-33.4517651
,parking,,,,La Reina,-70.5728042,-33.437143999999996
Star Wash,car_wash,,,,La Reina,-70.5747111,-33.4328933
,parking,,,,La Reina,-70.5191708,-33.4332627
,parking,,,,La Reina,-70.531639,-33.45171179999999
,parking,,,,La Reina,-70.5590327,-33.4439051
Lider,,supermarket,yes,,La Reina,-70.54371621234066,-33.460445149934884
Estadio Municipal de La Reina,,,,stadium,La Reina,-70.51905210901009,-33.45600288649134
Unimarc,,supermarket,yes,,La Reina,-70.55601860267709,-33.44005134973047
,,,retail,,La Reina,-70.55694936549067,-33.43913596793029
PDI - Lacrim Central,university,,,,La Reina,-70.52941039018653,-33.44262366208424
Hospital Militar de Santiago,hospital,,,,La Reina,-70.53779324254818,-33.450261503958785
Lider,,supermarket,yes,,La Reina,-70.53505931451875,-33.44066418276743
Centro Comercial La Reina,parking,,,,La Reina,-70.55751948881584,-33.44014553646186
,parking,,,,La Reina,-70.55685925088959,-33.43836056959846
Farmacias Ahumada,parking,,,,La Reina,-70.55701024999613,-33.438672149994936
Banco De Chile,parking,,,,La Reina,-70.5597810269634,-33.43821126110734
Banco Santander,parking,,,,La Reina,-70.55958230195594,-33.43949778988665
Scotiabank,parking,,,,La Reina,-70.56042409974329,-33.43927883847518
,parking,,,,La Reina,-70.55848111745424,-33.43831513218985
Copec,fuel,,,,La Reina,-70.56100919248743,-33.43837001795125
Estacionamiento Municipalidad La Reina,parking,,,,La Reina,-70.53054642811415,-33.45277334305078
,,,retail,,La Reina,-70.57044414863071,-33.45010947385078
