name,amenity,shop,building,leisure,comuna,lon,lat
Estacionamientos Plaza Perú,parking,,,,Las Condes,-70.5983329,-33.414870400000005
Unimarc,,supermarket,,,Las Condes,-70.5852751,-33.415306099999995
,parking,,,,Las Condes,-70.5707867,-33.40995590000001
Unimarc,parking,,,,Las Condes,-70.5637143,-33.4269489
Jumbo,,supermarket,,,Las Condes,-70.54055090000001,-33.428027499999985
,parking,,,,Las Condes,-70.5805565,-33.402910299999995
Mall Parque Arauco,parking,,,,Las Condes,-70.5794627,-33.40338629999999
Santa Isabel,,supermarket,,,Las Condes,-70.5187054,-33.37421410000001
Copec,fuel,,,,Las Condes,-70.5197841,-33.3739911
Petrobras,fuel,,,,Las Condes,-70.5170937,-33.37283660000001
Petrobras,fuel,,,,Las Condes,-70.5394063,-33.3885692
Lider Express,,supermarket,,,Las Condes,-70.5333497,-33.38503109999999
Unimarc,parking,,,,Las Condes,-70.5853192,-33.41511450000001
Strip Center San Damian,parking,,,,Las Condes,-70.5252017,-33.3764646
Estacionamiento Estadio Las Condes,parking,,,,Las Condes,-70.5221167,-33.374835000000004
Santa Isabel,parking,,,,Las Condes,-70.5189924,-33.3738889
Centro Comercial Nueva Las COndes,parking,,,,Las Condes,-70.5177135,-33.37354489999999
Mandarin Oriental Santiago,parking,,,,Las Condes,-70.5829639,-33.4046298
Mandarin Oriental Santiago,parking,,,,Las Condes,-70.5835358,-33.40363760000001
,parking,,,,Las Condes,-70.5511975,-33.40850939999999
Petrobras,fuel,,,,Las Condes,-70.5522535,-33.41772040000001
Universidad de Los Andes,parking,,,,Las Condes,-70.5083695,-33.403716
Universidad de Los Andes,parking,,,,Las Condes,-70.507949,-33.4047549
Manquehue/Los Militares,parking,,,,Las Condes,-70.5688891,-33.40503530000001
Tottus,,supermarket,,,Las Condes,-70.5756572,-33.4011978
Lider,,supermarket,,,Las Condes,-70.5160297,-33.40198610000001
,parking,,,,Las Condes,-70.5501581,-33.3967297
Estadio Israelita,parking,,,,Las Condes,-70.5500122,-33.3969948
Estacionamientos Apoquindo / cuarto centenario,parking,,,,Las Condes,-70.5649959,-33.40840490000001
,parking,,,,Las Condes,-70.5284831,-33.37893189999999
,parking,,,,Las Condes,-70.5444518,-33.3916655
Stadio Italiano,parking,,,,Las Condes,-70.5627006,-33.40788980000001
Dirección de tránsito,parking,,,,Las Condes,-70.5789144,-33.40484359999999
Omnium,parking,,,,Las Condes,-70.5777002,-33.4117105
Alto Las Condes,parking,,,,Las Condes,-70.5468293,-33.3898572
Publicos Avda La Plaza Frente Colegio Cumbres,parking,,,,Las Condes,-70.5049837,-33.394133
Estacionamiento DuocUC San Carlos de Apoquindo,parking,,,,Las Condes,-70.5052411,-33.4001092
Jumbo,,supermarket,,,Las Condes,-70.5147311,-33.40210179999999
