name,amenity,shop,building,leisure,comuna,lon,lat
Shell,fuel,,,,Lo Espejo,-70.7055362,-33.526568100000006
Copec,fuel,,,,Lo Espejo,-70.6993657,-33.53370389999999
,car_wash,,,,Lo Espejo,-70.6897889,-33.50406350000001
,parking,,,,Lo Espejo,-70.68247477854057,-33.53042777447179
Acuenta,,supermarket,,,Lo Espejo,-70.6774654047591,-33.5087818678427
,,mall,yes,,Lo Espejo,-70.67853967889057,-33.52234316703019
,parking,,,,Lo Espejo,-70.6783908746655,-33.52258681838444
,,,retail,,Lo Espejo,-70.68812495002842,-33.50466235003144
aCuenta,,supermarket,yes,,Lo Espejo,-70.67755864518541,-33.50882501089972
,parking,,,,Lo Espejo,-70.68130350668916,-33.52966197026511
Estadio Clara Estrella,,,,stadium,Lo Espejo,-70.67706478199575,-33.518295957201545
Estadio Cardenal Caro,,,,stadium,Lo Espejo,-70.69436425332724,-33.51087602737275
,parking,,,,Lo Espejo,-70.69192880332233,-33.50651310792031
,parking,,,,Lo Espejo,-70.68329815482353,-33.521141939950915
Pronto Express,,convenience,retail,,Lo Espejo,-70.69975550773583,-33.533583409811385
