name,amenity,shop,building,leisure,comuna,lon,lat
Homecenter Maipu,parking,,,,Maipú,-70.7464323,-33.48212209999999
,parking,,,,Maipú,-70.7627841,-33.520703
Copec,fuel,,,,Maipú,-70.7560805,-33.479472400000006
Unimarc El Abrazo de Maipú,,supermarket,,,Maipú,-70.7710008,-33.54184089999999
Unimarc,,supermarket,,,Maipú,-70.7796315,-33.54392039999999
Express de Líder,,supermarket,,,Maipú,-70.7691575,-33.54489790000001
Alvi,,supermarket,,,Maipú,-70.7569955,-33.5122537
Mayorista 10,,supermarket,,,Maipú,-70.7917577,-33.55256239999999
,parking,,,,Maipú,-70.7503423,-33.4861753
Mall Chino,,supermarket,,,Maipú,-70.7869446,-33.505524799999996
,parking,,,,Maipú,-70.7923515,-33.47550379999999
Santa Isabel,,supermarket,,,Maipú,-70.7575956,-33.509566499999984
Lider Express,,supermarket,,,Maipú,-70.7580517,-33.5108757
Santa Isabel,,supermarket,,,Maipú,-70.7894112,-33.54753409999999
,parking,,,,Maipú,-70.7567604,-33.478280399999996
Unimarc,,supermarket,,,Maipú,-70.7569212,-33.47989369999999
Jumbo,,supermarket,,,Maipú,-70.7579581,-33.4967064
Lider Express,,supermarket,,,Maipú,-70.7382285,-33.492905099999994
Ekono,,supermarket,,,Maipú,-70.7863904,-33.5362318
Ekono,,supermarket,,,Maipú,-70.750728,-33.47013919999999
Petrobras,fuel,,,,Maipú,-70.7570666,-33.49589859999998
Shell,fuel,,,,Maipú,-70.7930431,-33.53161209999999
Copec,fuel,,,,Maipú,-70.7570291,-33.4964914
Shell,fuel,,,,Maipú,-70.7598868,-33.4710252
,parking,,,,Maipú,-70.7515954,-33.4845099
Petrobras,fuel,,,,Maipú,-70.7954757,-33.55450009999999
Copec,fuel,,,,Maipú,-70.7635312,-33.519522699999996
JYL,fuel,,,,Maipú,-70.757663,-33.5238368
Auto Gasco,fuel,,,,Maipú,-70.7579748,-33.5238483
Shell,fuel,,,,Maipú,-70.7753057,-33.50962979999999
Copec,fuel,,,,Maipú,-70.7400768,-33.474161699999996
Engie Vule,charging_station,,,,Maipú,-70.8041633,-33.51130179999999
,parking,,,,Maipú,-70.7566953,-33.46986819999999
Copec Voltex,charging_station,,,,Maipú,-70.8038876,-33.52247069999999
AIEP SeDe Maipu,university,,,,Maipú,-70.7579522,-33.5092235
Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,hospital,,,,Maipú,-70.775111,-33.517917499999996
,parking,,,,Maipú,-70.7552402,-33.49247290000001
Tottus,,supermarket,,,Maipú,-70.7576521,-33.5058786
Autolimpio,car_wash,,,,Maipú,-70.7349254,-33.52249219999999
Copec Voltex,charging_station,,,,Maipú,-70.7403208,-33.474212699999995
Patio Outlet Maipú,,mall,yes,,Maipú,-70.73367271284289,-33.52282130133883
CRS,hospital,,,,Maipú,-70.77189992511728,-33.50845478130914
,,,commercial,,Maipú,-70.75835178106679,-33.497069331875394
Jumbo,,supermarket,yes,,Maipú,-70.75178336328774,-33.480056618099965
Lider,,supermarket,yes,,Maipú,-70.74718018566412,-33.480511069332586
Escuela de Sub Oficiales,parking,,,,Maipú,-70.8312241855916,-33.49842926306975
Escuela de Sub Oficiales,parking,,,,Maipú,-70.83387115288627,-33.498698626847734
Centro Comercial Ciudad Satélite,,,retail,,Maipú,-70.79062040031323,-33.55756945011771
Mall Arauco Maipu,parking,,,,Maipú,-70.7527274989639,-33.48199755863986
Lider,,supermarket,retail,,Maipú,-70.75808405646609,-33.47192430924208
,parking,,,,Maipú,-70.75901956878315,-33.47180725512673
INACAP Maipu,university,,,,Maipú,-70.75609574815097,-33.480579095760284
Hospital Metropolitano El Carmen Doctor Luis Valentín Ferrada,hospital,,,,Maipú,-70.77425059169802,-33.5080756834028
Supermercado Alvi,parking,,,,Maipú,-70.74054400203788,-33.4747530580345
Supermercado Alvi,,supermarket,yes,,Maipú,-70.74115875687473,-33.474531281814706
Acuenta,,supermarket,yes,,Maipú,-70.79423353694816,-33.55382959948225
Liceo Municipal Nacional De Maipu,parking,,,,Maipú,-70.79303248198116,-33.519159537308276
Estacionamiento Parque Municipal,parking,,,,Maipú,-70.80082798765712,-33.523482481934025
,parking,,,,Maipú,-70.79401665222824,-33.52025592769348
,parking,,,,Maipú,-70.78690604822289,-33.51811899834612
Mall Chino,,supermarket,commercial,,Maipú,-70.78705377960988,-33.518079243028964
,parking,,,,Maipú,-70.78590551873131,-33.516297736394236
,parking,,,,Maipú,-70.76585354443667,-33.51006293695074
,parking,,,,Maipú,-70.75599407541374,-33.51327809121268
Estadio Municipal Santiago Bueras,,,,stadium,Maipú,-70.7488379865258,-33.50826456261559
