name,amenity,shop,building,leisure,comuna,lon,lat
Mall Chino,,supermarket,,,Puente Alto,-70.5916187,-33.614788399999995
Santa Isabel,,supermarket,,,Puente Alto,-70.5790997,-33.601922
Jumbo,,supermarket,,,Puente Alto,-70.5766163,-33.6116427
Hospital de Niños,hospital,,,,Puente Alto,-70.5813935,-33.5745464
Unimarc,,supermarket,,,Puente Alto,-70.5810433,-33.5807009
,parking,,,,Puente Alto,-70.5811163,-33.59872779999999
Municipalidad de Puente Alto,parking,,,,Puente Alto,-70.5795086,-33.5962691
Lider Express,,supermarket,,,Puente Alto,-70.5907026,-33.595362
Terpel,fuel,,,,Puente Alto,-70.5554601,-33.562110499999996
,parking,,,,Puente Alto,-70.5552047,-33.5741415
Lider,,supermarket,,,Puente Alto,-70.5579298,-33.56731189999999
Lider,,supermarket,,,Puente Alto,-70.5758353,-33.59930129999999
Colegio Manquecura Puente Alto,parking,,,,Puente Alto,-70.5424888,-33.563484700000004
Mall Plaza Tobalaba,,mall,,,Puente Alto,-70.5574865,-33.56930289999999
Greenclean,car_wash,,,,Puente Alto,-70.5569492,-33.5713736
Lider,,supermarket,,,Puente Alto,-70.5512557,-33.559850399999995
,car_wash,,,,Puente Alto,-70.5561059,-33.56134809999999
Lavado de Autos,car_wash,,,,Puente Alto,-70.5523401,-33.559812599999994
Copec,fuel,,,,Puente Alto,-70.6064926,-33.58233109999999
Copec,fuel,,,,Puente Alto,-70.5988793,-33.5818399
,car_wash,,,,Puente Alto,-70.5782164,-33.601374699999994
Cementerio Parque El Prado,parking,,,,Puente Alto,-70.5617775,-33.5547847
Trampoline Park,parking,,,,Puente Alto,-70.5781888,-33.59943809999999
Tottus,,supermarket,,,Puente Alto,-70.556305,-33.570420000000006
SuperBodega Acuenta,,supermarket,,,Puente Alto,-70.6059498,-33.582202399999986
Jumbo,,supermarket,,,Puente Alto,-70.5848348,-33.5711986
,parking,,,,Puente Alto,-70.5838416,-33.59903200000001
,parking,,,,Puente Alto,-70.5701627,-33.5803599
,parking,,,,Puente Alto,-70.5692213,-33.580972200000005
,parking,,,,Puente Alto,-70.5225658,-33.58232389999999
Almacen Ancud,,supermarket,,,Puente Alto,-70.6265035,-33.6284883
Lavado a Vapor Mia,car_wash,,,,Puente Alto,-70.5744566,-33.607614299999995
Lavado de Autos,car_wash,,,,Puente Alto,-70.5729158,-33.6107939
Zona de Quesos,,supermarket,,,Puente Alto,-70.6016103,-33.5819987
,car_wash,,,,Puente Alto,-70.5960982,-33.58129949999999
Catalina,,supermarket,,,Puente Alto,-70.5712142,-33.593348199999994
,parking,,,,Puente Alto,-70.5779207,-33.59443829999999
,parking,,,,Puente Alto,-70.5296192,-33.6001126
Shell,fuel,,,,Puente Alto,-70.5521808,-33.5595571
Petrobras,fuel,,,,Puente Alto,-70.5551571,-33.56723629999999
Shell,fuel,,,,Puente Alto,-70.5913628,-33.614663699999994
,parking,,,,Puente Alto,-70.5564339,-33.56958279999999
Electroterminal Juanita,charging_station,,,,Puente Alto,-70.61067220000001,-33.63317720000001
Copec,fuel,,,,Puente Alto,-70.5831698,-33.5698982
Fesicor,fuel,,,,Puente Alto,-70.580391,-33.614214999999994
Copec Voltex,charging_station,,,,Puente Alto,-70.58294180000001,-33.57019679999999
Terpel,fuel,,,,Puente Alto,-70.5535053,-33.6040462
Enel X,charging_station,,,,Puente Alto,-70.57581970000001,-33.600052500000004
Mall Plaza Tobalaba,,,retail,,Puente Alto,-70.55765275370892,-33.56928166837579
,,,,stadium,Puente Alto,-70.55743843094218,-33.60905653490259
Complejo Hospitalario Sótero del Río,hospital,,,,Puente Alto,-70.57960465733765,-33.57707429868704
Lider Express,,supermarket,,,Puente Alto,-70.55891699099776,-33.593962152533386
Lider,parking,,,,Puente Alto,-70.57725635961565,-33.59928900005502
Lider,parking,,,,Puente Alto,-70.57643572095593,-33.60051150036774
,parking,,,,Puente Alto,-70.57758842878881,-33.59724437555179
Espacio Urbano,,,commercial,,Puente Alto,-70.57552256700662,-33.59944980137393
Plazuela Puente Alto,parking,,,,Puente Alto,-70.57823826219641,-33.60146318590466
Mayorista 10,,supermarket,yes,,Puente Alto,-70.5829417125182,-33.56830755580713
,,,commercial,,Puente Alto,-70.5765828335806,-33.609531921134234
,parking,,,,Puente Alto,-70.62085330016988,-33.60809597027973
,parking,,,,Puente Alto,-70.62239320860849,-33.60819043426299
,parking,,,,Puente Alto,-70.62262541719328,-33.607866059361065
Vega Mercado,,supermarket,yes,,Puente Alto,-70.5661186101133,-33.54905859959824
Vega Mercado,parking,,,,Puente Alto,-70.56631371784377,-33.54925829620457
Lider,parking,,,,Puente Alto,-70.55190476580626,-33.559883338972966
,,mall,yes,,Puente Alto,-70.5852934853213,-33.57150811714727
,parking,,,,Puente Alto,-70.56648289346288,-33.548600160386094
,parking,,,,Puente Alto,-70.58302758701763,-33.569153362527025
El Carnicero,,butcher,commercial,,Puente Alto,-70.57565327198232,-33.60852963789612
Homecenter Sodimac Puente Alto,parking,,,,Puente Alto,-70.57666696989459,-33.60167161568711
Nike Factory Store,,clothes,retail,,Puente Alto,-70.5779289783661,-33.59653639678873
,,,commercial,,Puente Alto,-70.57371443427131,-33.612855486552284
Estadio Municipal de Puente Alto,,,,stadium,Puente Alto,-70.57193139175207,-33.60617454877238
Barraca de Fierros DRO2,,,commercial,,Puente Alto,-70.56057804784719,-33.59252923353559
Barraca de Fierros Dro2,,,commercial,,Puente Alto,-70.56372860022934,-33.60668039976715
Unimarc,,supermarket,supermarket,,Puente Alto,-70.55594450948679,-33.59024998778838
,parking,,,,Puente Alto,-70.58055987975781,-33.57554332357085
,parking,,,,Puente Alto,-70.58181258630208,-33.577239149051856
,parking,,,,Puente Alto,-70.57847901494856,-33.57741933882574
,parking,,,,Puente Alto,-70.58135493153765,-33.577608205610645
Lider Express,,supermarket,commercial,,Puente Alto,-70.56946597236177,-33.58056713386199
Supermercado Mayorista 10,,supermarket,yes,,Puente Alto,-70.57364106507089,-33.5776877928647
,parking,,yes,,Puente Alto,-70.55807583149331,-33.57068604359297
,parking,,,,Puente Alto,-70.55887105663167,-33.56975318622553
Mall Plaza Tobalaba,parking,,,,Puente Alto,-70.55602978572348,-33.56848467963176
Estacionamiento Lider,parking,,,,Puente Alto,-70.55659882087816,-33.567184386033944
Mall Plaza Tobalaba,parking,,,,Puente Alto,-70.55550252579258,-33.56959371720891
,,supermarket,yes,,Puente Alto,-70.55900262700511,-33.59379585896418
Lider Express,parking,,,,Puente Alto,-70.55880485742178,-33.594306643679566
Mayorista 10,,supermarket,yes,,Puente Alto,-70.55917900026105,-33.5928931842969
,parking,,,,Puente Alto,-70.55965630772087,-33.59293875836641
Tottus,,supermarket,yes,,Puente Alto,-70.57672704897603,-33.59670493298085
,,,commercial,,Puente Alto,-70.58086961725812,-33.580978944813346
,,,commercial,,Puente Alto,-70.58100709781546,-33.580979900445186
,,,commercial,,Puente Alto,-70.5808656477666,-33.5815068761451
,,,commercial,,Puente Alto,-70.58074421251791,-33.58194819428628
,,,commercial,,Puente Alto,-70.58071611623673,-33.582232483458704
,,,commercial,,Puente Alto,-70.58058365185607,-33.582128674874646
,parking,,,,Puente Alto,-70.58417845348517,-33.57808493394599
,parking,,,,Puente Alto,-70.58339825179002,-33.577820585183275
Municipalidad de Puente Alto,parking,,,,Puente Alto,-70.57966296298827,-33.596603349384935
,parking,,,,Puente Alto,-70.57907748527167,-33.59038790950354
,parking,,,,Puente Alto,-70.58322676758524,-33.568508725058486
,parking,,,,Puente Alto,-70.58262113454646,-33.573173324868705
,parking,,,,Puente Alto,-70.5795677521397,-33.577429303059404
Aramco,fuel,,roof,,Puente Alto,-70.5683966707245,-33.58216968304379
,,,commercial,,Puente Alto,-70.56796541688419,-33.585280803155236
,,,commercial,,Puente Alto,-70.56788888893426,-33.585726011404375
,,,commercial,,Puente Alto,-70.56617012648485,-33.5883588474509
Copec,fuel,,roof,,Puente Alto,-70.56326454577324,-33.58020307371914
Shell,fuel,,roof,,Puente Alto,-70.55553915083237,-33.57113398241797
Upita,,convenience,commercial,,Puente Alto,-70.55557594992116,-33.57147818065035
,,,commercial,,Puente Alto,-70.54377652595603,-33.58770922641137
,parking,,,,Puente Alto,-70.55531940947402,-33.56593350076319
Supermercado Alvi,,supermarket,yes,,Puente Alto,-70.58259764044404,-33.58159417675225
,,,commercial,,Puente Alto,-70.57656275001459,-33.57638799999066
,,,commercial,,Puente Alto,-70.57863107094208,-33.59373506307701
,,,commercial,,Puente Alto,-70.57590862150052,-33.57097489742561
Auto Gasco,fuel,,roof,,Puente Alto,-70.5871650499814,-33.6142360000517
Copec,fuel,,roof,,Puente Alto,-70.55909766726309,-33.55797090218775
Centro Comercial Plaza,,,commercial,,Puente Alto,-70.5762477230878,-33.60948616784749
Pan Pablo,,,commercial,,Puente Alto,-70.58421921432698,-33.56947776209851
Centro Comercial Artesanal,,,commercial,,Puente Alto,-70.57542435198931,-33.60646084687098
Puertocenter,,,commercial,,Puente Alto,-70.57605089140243,-33.605538355343164
Terpel,fuel,,roof,,Puente Alto,-70.62631849748429,-33.61118520845177
,,,commercial,,Puente Alto,-70.58751532835569,-33.58020284715453
,,,commercial,,Puente Alto,-70.58760546717896,-33.57985487777922
Lider Express,,supermarket,yes,,Puente Alto,-70.57402459414013,-33.608715333879225
Aramco,fuel,,roof,,Puente Alto,-70.57607449377373,-33.60622464882226
Shell,fuel,,roof,,Puente Alto,-70.57710954714732,-33.60508382583087
Ekono,,supermarket,yes,,Puente Alto,-70.60013695003624,-33.588436499953644
,,,commercial,,Puente Alto,-70.59062336622468,-33.59532564073544
Copec,fuel,,roof,,Puente Alto,-70.57546504974093,-33.6125118715024
Galería Concha y Toro,,,commercial,,Puente Alto,-70.57556469077952,-33.61283274222776
,,,commercial,,Puente Alto,-70.57464801634916,-33.61181334602225
Galería Oasis,,,commercial,,Puente Alto,-70.57506059545416,-33.61021585451042
Paseo Concha y Toro,,mall,yes,,Puente Alto,-70.57535053105279,-33.61120503943047
Copec,fuel,,roof,,Puente Alto,-70.57419019907772,-33.61677624548087
Estacionamiento Chequén,parking,,,,Puente Alto,-70.5457351536097,-33.55509651519054
,parking,,,,Puente Alto,-70.54056898921702,-33.55291685397491
,parking,,,,Puente Alto,-70.54753780335687,-33.55688865114498
Estacionamiento Chequén,parking,,,,Puente Alto,-70.5445951703388,-33.555060670720266
,,supermarket,yes,,Puente Alto,-70.56939673978357,-33.59143385166386
,parking,,,,Puente Alto,-70.57241997803742,-33.59377561838323
,parking,,,,Puente Alto,-70.56878944826322,-33.59313781507575
,,,commercial,,Puente Alto,-70.5724069652241,-33.59385410625135
,,,commercial,,Puente Alto,-70.57295307047602,-33.59391060124462
,parking,,,,Puente Alto,-70.57296230018461,-33.59382496681712
,,,commercial,,Puente Alto,-70.573526449985,-33.593967900077956
,parking,,,,Puente Alto,-70.57353459998262,-33.59386330009853
,,,commercial,,Puente Alto,-70.57388738605765,-33.59398439796815
,parking,,,,Puente Alto,-70.58211892856923,-33.59482772907825
,parking,,,,Puente Alto,-70.5824794863256,-33.585308593630835
,,,commercial,,Puente Alto,-70.57425704998238,-33.59401805008785
,parking,,,,Puente Alto,-70.57391584998514,-33.593898650082956
,parking,,,,Puente Alto,-70.57427234998468,-33.59393070008363
Ashley,,houseware,retail,,Puente Alto,-70.57746778064012,-33.5965392968535
,parking,,,,Puente Alto,-70.57796565667054,-33.59212194316326
,parking,,,,Puente Alto,-70.50992993588206,-33.59729904432276
Santa Isabel,,supermarket,yes,,Puente Alto,-70.50956031167713,-33.597227942696
,,,commercial,,Puente Alto,-70.56016053928914,-33.575953698700985
,,,commercial,,Puente Alto,-70.56571999988643,-33.5883269959651
,,,commercial,,Puente Alto,-70.56392106655737,-33.58816340424139
,parking,,,,Puente Alto,-70.52878206139644,-33.59968498115485
,,,commercial,,Puente Alto,-70.56238552807834,-33.57545809775103
,parking,,,,Puente Alto,-70.55634529058237,-33.59686943991735
,parking,,,,Puente Alto,-70.5688527365846,-33.61289957224508
,parking,,,,Puente Alto,-70.58219913411574,-33.6062682506168
,parking,,,,Puente Alto,-70.5722141883579,-33.607747111441725
,parking,,,,Puente Alto,-70.58104630036982,-33.58136313265201
,parking,,,,Puente Alto,-70.5809086651533,-33.5821093120868
,parking,,,,Puente Alto,-70.58853598286093,-33.623143216220626
,parking,,,,Puente Alto,-70.58858737759199,-33.62367740057784
,parking,,,,Puente Alto,-70.59420154117984,-33.62707313634712
,parking,,,,Puente Alto,-70.5944958549728,-33.62811446236635
,parking,,,,Puente Alto,-70.58632012338752,-33.62756865319924
,parking,,,,Puente Alto,-70.58084502683369,-33.59285822509193
,parking,,,,Puente Alto,-70.59206329871563,-33.62526001762778
,parking,,,,Puente Alto,-70.59217801408202,-33.63194628385116
,parking,,,,Puente Alto,-70.59204241177086,-33.63283573004171
,parking,,,,Puente Alto,-70.58204258314572,-33.593923656258134
,parking,,,,Puente Alto,-70.60111187687798,-33.63146687054541
