name,amenity,shop,building,leisure,comuna,lon,lat
Comercial China,,supermarket,,,Quinta Normal,-70.7069001,-33.4323564
Shell,fuel,,,,Quinta Normal,-70.68031170000002,-33.4381521
2.0 Car Wash,car_wash,,,,Quinta Normal,-70.6996437,-33.436207599999996
Copec,fuel,,,,Quinta Normal,-70.7103495,-33.4167293
Copec,fuel,,,,Quinta Normal,-70.7028163,-33.4250671
Copec,fuel,,,,Quinta Normal,-70.6925922,-33.4461382
JLC,fuel,,,,Quinta Normal,-70.6920252,-33.4326478
Shell,fuel,,,,Quinta Normal,-70.702409,-33.445749199999995
Copec,fuel,,,,Quinta Normal,-70.6920909,-33.43317220000001
Emporio Market,,supermarket,,,Quinta Normal,-70.6915028,-33.43818780000001
,parking,,,,Quinta Normal,-70.6862298,-33.432087200000005
Estacionamiento Tramo 2,parking,,,,Quinta Normal,-70.7145783,-33.4101776
Estacionamiento Tramo 2,parking,,,,Quinta Normal,-70.7193308,-33.41099259999999
,,,commercial,,Quinta Normal,-70.68700735528611,-33.43749576631878
Estadio Municipal Bernardo O'Higgins,,,,stadium,Quinta Normal,-70.69902580697857,-33.4466475147056
Estadio José Climent,,,,stadium,Quinta Normal,-70.7053373882377,-33.42501752866605
Santa Isabel,,supermarket,yes,,Quinta Normal,-70.70179184606872,-33.44105047935114
Acuenta,,supermarket,yes,,Quinta Normal,-70.71206655737544,-33.415572374472056
Centro de Reparto Chilexpress,,,commercial,,Quinta Normal,-70.69106202843412,-33.43217084457039
Monserrat,,supermarket,yes,,Quinta Normal,-70.69290462536405,-33.43045200947768
Santa Isabel,,supermarket,supermarket,,Quinta Normal,-70.70900965379745,-33.423926320457944
Lider S.A.,fuel,,roof,,Quinta Normal,-70.70746715000827,-33.40887079999783
Acuenta,,supermarket,yes,,Quinta Normal,-70.7042993211834,-33.42804614168959
Unimarc,,supermarket,yes,,Quinta Normal,-70.69771200467108,-33.41886097657916
Express de Lider,,supermarket,yes,,Quinta Normal,-70.694223107492,-33.423350975642904
Lider,,supermarket,supermarket,,Quinta Normal,-70.68108972138019,-33.432310107578004
Shell,fuel,,roof,,Quinta Normal,-70.69037563971531,-33.423630980758915
Petrobras,fuel,,roof,,Quinta Normal,-70.68744700318852,-33.42466180863727
Copec,fuel,,roof,,Quinta Normal,-70.68813818760962,-33.432811737024295
,,,commercial,,Quinta Normal,-70.7144177191359,-33.426754212891325
,,,commercial,,Quinta Normal,-70.71416221935891,-33.42675899051419
Colegio Polivalente Falcón College,school,,commercial,,Quinta Normal,-70.7139879049288,-33.42688196957361
,,,commercial,,Quinta Normal,-70.7137585967702,-33.42685677857587
,,,commercial,,Quinta Normal,-70.71003420681976,-33.427521475945895
,,,commercial,,Quinta Normal,-70.70925822808375,-33.42767090546601
,,,commercial,,Quinta Normal,-70.70822912212918,-33.42787709233202
Copec,fuel,,roof,,Quinta Normal,-70.69604715036557,-33.43858710525335
Copec,fuel,,roof,,Quinta Normal,-70.69434706776701,-33.438256903151085
Shell,fuel,,roof,,Quinta Normal,-70.68119487273403,-33.43580096021239
,,,commercial,,Quinta Normal,-70.71202054999392,-33.426809250005306
,,,commercial,,Quinta Normal,-70.7083882861539,-33.42749542827887
Copec,fuel,,roof,,Quinta Normal,-70.70675530448155,-33.43263282715874
,,,commercial,,Quinta Normal,-70.69376011660688,-33.43135770346529
,,,commercial,,Quinta Normal,-70.69071458563444,-33.4318929169976
,,,commercial,,Quinta Normal,-70.69109422616987,-33.43175855425965
,,,commercial,,Quinta Normal,-70.69125553294698,-33.43172218933677
,,,commercial,,Quinta Normal,-70.69937642285912,-33.431670613839934
,,,retail,,Quinta Normal,-70.71056026510053,-33.43247981814216
,,,retail,,Quinta Normal,-70.71609708957907,-33.431616045599284
,,,retail,,Quinta Normal,-70.7200546687991,-33.4304994465352
,,,retail,,Quinta Normal,-70.71986975003124,-33.43056290005227
Lava-Car,car_wash,,yes,,Quinta Normal,-70.68052269297196,-33.42689446757061
,,,commercial,,Quinta Normal,-70.68946146145605,-33.432580252364026
,,,commercial,,Quinta Normal,-70.7135589422469,-33.43266090159816
,,,commercial,,Quinta Normal,-70.71613044292572,-33.431918893161395
,,,commercial,,Quinta Normal,-70.72002777178012,-33.43086754375074
,parking,,,,Quinta Normal,-70.67926435544715,-33.42536569103421
,parking,,,,Quinta Normal,-70.70948065358868,-33.42381433056205
Mall chino,,,retail,,Quinta Normal,-70.69175661808141,-33.422799700852906
Estacionamiento Tramo 1,parking,,,,Quinta Normal,-70.69694906875196,-33.41352316695817
,parking,,,,Quinta Normal,-70.681712500031,-33.426990400062756
,parking,,,,Quinta Normal,-70.68981006519984,-33.42117029547199
Estadio Esparta,,,,stadium,Quinta Normal,-70.68980956994093,-33.42064179795546
,parking,,,,Quinta Normal,-70.68099208365601,-33.43139025582472
