name,amenity,shop,building,leisure,comuna,lon,lat
,parking,,,,Recoleta,-70.6343779,-33.3986053
Pio Nono 040,parking,,,,Recoleta,-70.6357389,-33.434198
Universidad San Sebastián,parking,,,,Recoleta,-70.6364705,-33.4345415
Lider Express,,supermarket,,,Recoleta,-70.6443244,-33.421979699999994
AriMarket,,supermarket,,,Recoleta,-70.6442518,-33.4317137
Lotte Mart,,supermarket,,,Recoleta,-70.644935,-33.429166200000004
China House Market,,supermarket,,,Recoleta,-70.6441558,-33.4317217
JCD,fuel,,,,Recoleta,-70.6258714,-33.3949878
,parking,,,,Recoleta,-70.6201525,-33.41228230000001
Lider Express,,supermarket,,,Recoleta,-70.6434785,-33.4054857
,,supermarket,,,Recoleta,-70.6435461,-33.431146299999995
Minimercado,,supermarket,,,Recoleta,-70.6370905,-33.4315633
Jardín Ermitaño Bajo,parking,,,,Recoleta,-70.6356216,-33.41903820000001
Shell,fuel,,,,Recoleta,-70.6403209,-33.42682609999999
,car_wash,,,,Recoleta,-70.6404377,-33.426598999999996
,parking,,,,Recoleta,-70.6442427,-33.424892199999995
Instituto Profesional de Artes Escénicas Karen Connolly,university,,,,Recoleta,-70.6396378,-33.4325166
,parking,,,,Recoleta,-70.6478435,-33.4030137
Lider,,supermarket,supermarket,,Recoleta,-70.64121853084862,-33.3934523335389
Universidad San Sebastián,university,,yes,,Recoleta,-70.63605711047724,-33.43416587094223
Cementerio General,parking,,,,Recoleta,-70.64814618687167,-33.417410813740204
Clinica Psiquiatrica Universitaria,parking,,,,Recoleta,-70.64907221445742,-33.41934045342975
Clínica Dávila,hospital,,,,Recoleta,-70.64827838173392,-33.42740261047337
,parking,,,,Recoleta,-70.61314704191247,-33.40857642683685
,parking,,,,Recoleta,-70.64995632297966,-33.43180763822884
Municipalidad Recoleta,parking,,,,Recoleta,-70.64341206118557,-33.40244017370843
,,,commercial,,Recoleta,-70.64351936892649,-33.402442641953684
Petrobras,fuel,,roof,,Recoleta,-70.64003950502588,-33.43405744859345
Shell,fuel,,roof,,Recoleta,-70.64082541703992,-33.433768153211176
,,,commercial,,Recoleta,-70.63884401418714,-33.432167570811856
Copec,fuel,,roof,,Recoleta,-70.64359568590498,-33.417843243434426
Viva Combustible,fuel,,roof,,Recoleta,-70.64388337784763,-33.41954630574913
,,shopping_centre,retail,,Recoleta,-70.64437565806735,-33.42182282150216
Copec,fuel,,roof,,Recoleta,-70.64543829884549,-33.42501485670084
Paseo Recoleta,,mall,commercial,,Recoleta,-70.64640036350292,-33.42941296015983
