name,amenity,shop,building,leisure,comuna,lon,lat
Hotel Guayacan,parking,,,,San José de Maipo,-70.349827,-33.618476599999994
Hotel Guayacan,parking,,,,San José de Maipo,-70.3484108,-33.61799859999999
Hospital San José de Maipo,hospital,,,,San José de Maipo,-70.3518598,-33.64094
Camino El Alfalfal,parking,,,,San José de Maipo,-70.2489444,-33.5282667
,parking,,,,San José de Maipo,-70.061073,-33.8227389
Fundo San Lorenzo,parking,,,,San José de Maipo,-70.2845111,-33.74320600000001
Fundo San Lorenzo,parking,,,,San José de Maipo,-70.2846294,-33.7436029
,parking,,,,San José de Maipo,-70.3838421,-33.58765879999999
,,supermarket,,,San José de Maipo,-70.3526572,-33.641141299999994
San José,,supermarket,,,San José de Maipo,-70.3519756,-33.6379274
,parking,,,,San José de Maipo,-70.3465997,-33.6805523
,parking,,,,San José de Maipo,-70.0388018,-33.780052
,parking,,,,San José de Maipo,-69.9819435,-33.85347159999999
Petrobras,fuel,,,,San José de Maipo,-70.3981678,-33.583689799999995
,parking,,,,San José de Maipo,-70.020851,-33.8182982
,parking,,,,San José de Maipo,-70.2237909,-33.82275859999999
,parking,,,,San José de Maipo,-70.0825366,-33.6645713
,parking,,,,San José de Maipo,-70.3331926,-33.6487847
,parking,,,,San José de Maipo,-69.98064390309884,-33.853508753832074
,parking,,,,San José de Maipo,-70.22040802194849,-33.79288879714928
,parking,,,,San José de Maipo,-70.35258028299353,-33.641840358660474
San José,,supermarket,yes,,San José de Maipo,-70.35335013127967,-33.63703808040891
Supermercado Abasto,,supermarket,yes,,San José de Maipo,-70.35269534999284,-33.64182649998537
Copec,fuel,,,,San José de Maipo,-70.3530431892259,-33.64404763138189
,parking,,,,San José de Maipo,-70.22223477009139,-33.516816202559184
,parking,,,,San José de Maipo,-70.34883193347284,-33.70216154258615
,parking,,,,San José de Maipo,-70.34857981405311,-33.68682423530605
,parking,,,,San José de Maipo,-70.19654943851636,-33.50364236083413
,parking,,,,San José de Maipo,-70.47247590000191,-33.5917964000043
,,,retail,,San José de Maipo,-70.39822612346133,-33.583877902377374
,parking,,,,San José de Maipo,-70.33542658224712,-33.69359018862462
,parking,,,,San José de Maipo,-70.33432176524121,-33.69979324442151
