Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
21 de mayo 576;metropolitana;Santiago;-33.43628;-70.65014;7;AC;7;8
agustinas 735;metropolitana;Santiago;-33.44038;-70.64727;7;AC;7;3
alcalde luis araya cereceda frente a 1261;metropolitana;Penaflor;-33.6083;-70.90101;44;AC;22;2
alejandro fleming n/a;metropolitana;Las Condes;-33.42545;-70.55409;48;AC;22;2
alonso de cordova 3788;metropolitana;Vitacura;-33.40187;-70.59291;7;AC;7;2
alonso de cordova 6050;metropolitana;Las Condes;-33.40788;-70.56829;22;AC;22;2
altos del parque sur 5800;metropolitana;Penalolén;-33.4987;-70.55529;22;AC;11;4
americo vespucio 400;metropolitana;Pudahuel;-33.45607;-70.76757;44;AC;22;2
americo vespucio norte 1155;metropolitana;Huechuraba;-33.37014;-70.6626;14;AC;7;2
andr¿s bello 1863;metropolitana;Providencia;-33.42294;-70.61701;14;AC;7;2
andr¿s bello 2461;metropolitana;Providencia;-33.4203;-70.61128;14;AC;7;2
autopista ruta 5 sur kilometro 29 29;metropolitana;San Bernardo;-33.68104;-70.72634;50;AC;43;3
av jose pedro alesandri 131;metropolitana;Nunoa;-33.45615;-70.59812;7,4;AC;7,4;2
av jose pedro alessandri 131;metropolitana;Nuñoa;-33.45615;-70.59812;7,4;AC;7,4;2
av vitacura 5951;metropolitana;Vitacura;-33.39178;-70.57323;44;AC;44;1
av, manquehue sur 1590;metropolitana;Las Condes;-33.42487;-70.56338;22;AC;22;3
av. americo vespucio #1665;metropolitana;Vitacura;-33.39894;-70.58718;50;DC;50;3
av. americo vespucio 1289;metropolitana;Pudahuel;-33.42819;-70.78205;22;AC;22;23
av. americo vespucio 1501;metropolitana;Cerrillos;-33.517;-70.717;7,4;AC;7,4;4
av. apoquindo #4900;metropolitana;Las Condes;-33.41159;-70.57807;44;AC;22;2
av. chamisero 10410;metropolitana;Colina;-33.30688;-70.66335;43,56;AC;22;2
av. chicureo 2300;metropolitana;Colina;-33.2855;-70.67739;70;DC;60;3
av. concha y toro 1149;metropolitana;Puente Alto;-33.60006;-70.57581;60;DC;60;2
av. concha y toro 555;metropolitana;Puente Alto;-33.60608;-70.57636;22;AC;22;3
av. echenique con carlos ossandon s/n;metropolitana;La Reina;-33.44196;-70.54344;22;AC;7,4;4
av. fermin vivaceta 1030;metropolitana;Independencia;-33.4187;-70.66372;70;DC;60;2
av. francisco bilbao 451;metropolitana;Providencia;-33.4418;-70.62604;22;AC;22;1
av. jorge alessandri 1347;metropolitana;La Reina;-33.46254;-70.54487;22;AC;22;2
av. las condes 11049;metropolitana;Las Condes;-33.37999;-70.52888;7,4;AC;7,4;2
av. las condes 12145;metropolitana;Las Condes;-33.37418;-70.5198;43,56;AC;22;2
av. padre hurtado sur #875, piso -2;metropolitana;Las Condes;-33.41512;-70.5405;7;AC;7;1
av. pajaritos 3439;metropolitana;Maipú;-33.4959;-70.7572;22;AC;22;3
av. pedro aguirre cerda con felix margoz s/n;metropolitana;Cerrillos;-33.49439;-70.70549;22;AC;7,4;4
