Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
21 de mayo 576;metropolitana;Santiago;-33.43628;-70.65014;7;AC;7;8
agustinas 735;metropolitana;Santiago;-33.44038;-70.64727;7;AC;7;3
avenida libertador bernardo ohiggins 816;metropolitana;Santiago;-33.44379;-70.64849;7,7;AC;7,7;2
avenida vicuna mackena 885;metropolitana;Santiago;-33.45304;-70.6308;70;DC;60;3
cardenal jose maria caro 870;metropolitana;Santiago;-33.43371;-70.6484;7,4;AC;7,4;3
catedral 1850;metropolitana;Santiago;-33.4389;-70.66323;70;DC;50;4
enrique mac iver #424;metropolitana;Santiago;-33.4378;-70.64747;22;AC;22;1
moneda #1326, esquina teatinos;metropolitana;Santiago;-33.44228;-70.6549;44;AC;22;2
nataniel cox 620;metropolitana;Santiago;-33.45378;-70.65204;70;DC;60;4
paseo bulnes 141;metropolitana;Santiago;-33.44743;-70.6533;7;AC;7;6
san isiidro 85;metropolitana;Santiago;-33.44436;-70.64454;98;AC;43;3
santa rosa 76;metropolitana;Santiago;-33.44476;-70.64557;7;AC;7;3
victoria subercaseaux 400;metropolitana;Santiago;-33.43821;-70.64277;7;AC;7;3
