Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
alonso de cordova 3788;metropolitana;Vitacura;-33.40187;-70.59291;7;AC;7;2
av vitacura 5951;metropolitana;Vitacura;-33.39178;-70.57323;44;AC;44;1
av. americo vespucio #1665;metropolitana;Vitacura;-33.39894;-70.58718;50;DC;50;3
av. vitacura 6980;metropolitana;Vitacura;-33.38675;-70.56556;70;DC;60;4
av. vitacura 9019;metropolitana;Vitacura;-33.38374;-70.54946;70;DC;60;4
bicentenario 3800;metropolitana;Vitacura;-33.39938;-70.60154;14;AC;7;8
buenaventura 1770;metropolitana;Vitacura;-33.38677;-70.56821;24;DC;24;2
costanera norte km 2,5 e-0 s/n;metropolitana;Vitacura;-33.37513;-70.53187;175;DC;175;4
costanera norte km 8 (direccion oriente);metropolitana;Vitacura;-33.3821;-70.59316;50;DC;50;3
luis pasteur 6725;metropolitana;Vitacura;-33.37999;-70.56953;22;AC;22;3
santa maria 5870;metropolitana;Vitacura;-33.38042;-70.5857;14;AC;7;2
santa maria 5888;metropolitana;Vitacura;-33.37966;-70.58436;14;AC;7;2
vitacura 3350;metropolitana;Vitacura;-33.40552;-70.59834;50;DC;50;3
