id_sitio,comuna,latitud,longitud,direccion,estado,cargadores_iniciales,cargadores_nuevos,cargadores_totales,capacidad_max_cargadores,paneles_iniciales,paneles_nuevos,paneles_totales,capacidad_max_paneles,utilizacion_cargadores_%,utilizacion_paneles_%
0,cerrillos,-33.51702285962344,-70.71759875835785,Sin dirección,Existente,4,0,4,20,0,0,0,50,20.0,0.0
1,cerrillos,-33.49435840000001,-70.7055131,Sin dirección,Existente,4,0,4,30,0,0,0,40,13.3,0.0
0,cerro_navia,-33.42993109999999,-70.7377712,Sin dirección,Existente,2,1,3,30,0,0,0,40,10.0,0.0
1,cerro_navia,-33.41429820254095,-70.74740602781773,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
0,colina,-33.30685299999999,-70.663361,Sin dirección,Existente,2,1,3,30,0,0,0,40,10.0,0.0
1,colina,-33.2855124,-70.6773797,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
2,colina,-33.285133484086145,-70.68027283276557,Sin dirección,Existente,1,0,1,10,0,0,0,15,10.0,0.0
3,colina,-33.277964976513104,-70.6278431764964,Sin dirección,Existente,2,2,4,20,0,50,50,50,20.0,100.0
4,colina,-33.21602104647133,-70.7671427716547,Sin dirección,Existente,3,0,3,25,0,0,0,30,12.0,0.0
0,el_bosque,-33.55121744491465,-70.67327187450181,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
1,el_bosque,-33.5563847617906,-70.66508770666222,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
0,estacion_central,-33.4557455,-70.6974788,Sin dirección,Existente,2,0,2,10,0,0,0,20,20.0,0.0
1,estacion_central,-33.45288121375586,-70.68220596683685,Sin dirección,Existente,2,1,3,20,0,50,50,50,15.0,100.0
2,estacion_central,-33.4560614,-70.70520420000001,Sin dirección,Existente,2,1,3,30,0,0,0,40,10.0,0.0
3,estacion_central,-33.45048649999999,-70.6823792,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
0,huechuraba,-33.3702064,-70.6639075,Sin dirección,Existente,2,0,2,30,0,0,0,40,6.7,0.0
1,huechuraba,-33.36004063891153,-70.67004315762236,Sin dirección,Existente,2,0,2,10,0,0,0,20,20.0,0.0
2,huechuraba,-33.36625206478985,-70.67957073983803,Sin dirección,Existente,4,0,4,25,0,0,0,30,16.0,0.0
3,huechuraba,-33.38488239168305,-70.62386319181157,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
4,huechuraba,-33.3618847171294,-70.67697223840943,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
5,huechuraba,-33.39427499999999,-70.6207967,Sin dirección,Existente,2,0,2,30,0,0,0,40,6.7,0.0
6,huechuraba,-33.38819542430403,-70.61646973769568,Sin dirección,Existente,1,1,2,25,0,30,30,30,8.0,100.0
0,independencia,-33.418088950001184,-70.66388440000338,Sin dirección,Existente,2,0,2,10,0,0,0,20,20.0,0.0
1,independencia,-33.42688811595225,-70.65373292512442,Sin dirección,Existente,2,0,2,10,0,0,0,15,20.0,0.0
2,independencia,-33.4193819,-70.6708675,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
3,independencia,-33.42419705093429,-70.65364660426191,Sin dirección,Existente,2,0,2,20,0,43,43,50,10.0,86.0
4,independencia,-33.41834656395996,-70.6538694714146,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
0,la_cisterna,-33.53939063998943,-70.66534244999474,Sin dirección,Existente,2,0,2,10,0,0,0,18,20.0,0.0
1,la_cisterna,-33.54037892882764,-70.66279308693751,Sin dirección,Existente,1,1,2,10,0,0,0,20,20.0,0.0
0,la_florida,-33.5341221614133,-70.553768844901,Sin dirección,Existente,2,4,6,10,0,0,0,18,60.0,0.0
1,la_florida,-33.52863022531432,-70.59646621135539,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
0,la_reina,-33.44189821846181,-70.5439836074724,Sin dirección,Existente,4,0,4,25,0,0,0,30,16.0,0.0
1,la_reina,-33.46237824864023,-70.54619784863443,Sin dirección,Existente,2,0,2,25,0,0,0,30,8.0,0.0
2,la_reina,-33.441451396201764,-70.5347916677144,Sin dirección,Existente,3,0,3,10,0,0,0,20,30.0,0.0
3,la_reina,-33.43962130941601,-70.55673708183689,Sin dirección,Existente,4,0,4,10,0,0,0,20,40.0,0.0
4,la_reina,-33.4387862,-70.5617297,Sin dirección,Existente,1,1,2,25,0,30,30,30,8.0,100.0
5,la_reina,-33.44066418276743,-70.53505931451875,Sin dirección,Existente,4,0,4,10,0,0,0,18,40.0,0.0
0,lampa,-33.28412739497935,-70.87250474658269,Sin dirección,Existente,2,0,2,13,0,0,0,10,15.4,0.0
1,lampa,-33.23683719999999,-70.7587981,Sin dirección,Existente,3,0,3,30,0,0,0,40,10.0,0.0
0,las_condes,-33.42458995742097,-70.55340866183053,Sin dirección,Existente,2,4,6,10,0,0,0,18,60.0,0.0
1,las_condes,-33.4078128179625,-70.5685387745049,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
2,las_condes,-33.42484037536768,-70.56340337583691,Sin dirección,Existente,3,3,6,10,0,0,0,20,60.0,0.0
3,las_condes,-33.411474967265455,-70.57806226560841,Sin dirección,Existente,2,7,9,20,0,50,50,50,45.0,100.0
4,las_condes,-33.379278194535125,-70.52828559604554,Sin dirección,Existente,2,4,6,10,0,0,0,18,60.0,0.0
5,las_condes,-33.3740225,-70.5197097,Sin dirección,Existente,2,0,2,2,0,0,0,10,100.0,0.0
6,las_condes,-33.41528821474805,-70.54076344718186,Sin dirección,Existente,1,8,9,20,0,50,50,50,45.0,100.0
7,las_condes,-33.39372800736575,-70.50233405310068,Sin dirección,Existente,2,2,4,25,0,0,0,30,16.0,0.0
