comuna,sitios_totales,estaciones_activadas,estaciones_nuevas,cargadores_iniciales,cargadores_nuevos,cargadores_totales,paneles_iniciales,paneles_nuevos,paneles_totales,demanda_total,demanda_satisfecha,demanda_insatisfecha,cobertura_%,energia_solar_kWh,energia_red_kWh,energia_total_kWh,pct_renovable,phi_final
san_ramon,18,0,0,0,12,12,0,186,186,1016,712,304,70.08,10462.5,4243.5,14706.0,71.14,0.2992
lo_espejo,15,0,0,0,9,9,0,74,74,998,699,299,70.04,4162.5,6529.5,10692.0,38.93,0.2996
conchali,45,0,0,0,25,25,0,430,430,3523,2467,1056,70.03,24187.5,5674.5,29862.0,81.0,0.2997
la_granja,37,0,0,0,23,23,0,250,250,2782,1948,834,70.02,14062.5,13261.5,27324.0,51.47,0.2998
san_joaquin,75,1,0,2,40,42,0,584,584,4439,3108,1331,70.02,32850.0,17046.0,49896.0,65.84,0.2998
independencia,74,5,0,10,38,48,0,596,596,4419,3094,1325,70.02,33525.0,23499.0,57024.0,58.79,0.2998
la_cisterna,43,2,0,3,21,24,0,300,300,2695,1887,808,70.02,16875.0,11805.75,28680.75,58.84,0.2998
la_pintana,38,0,0,0,26,26,0,350,350,4329,3031,1298,70.02,19687.5,11425.5,31113.0,63.28,0.2998
san_miguel,91,1,0,2,52,54,0,792,792,6146,4303,1843,70.01,44550.0,19602.0,64152.0,69.44,0.2999
lo_prado,60,0,0,0,34,34,0,436,436,3994,2796,1198,70.01,24525.0,15867.0,40392.0,60.72,0.2999
lo_barnechea,144,8,0,19,79,98,0,1360,1360,15246,10673,4573,70.01,76500.0,40317.75,116817.75,65.49,0.2999
pedro_aguirre_cerda,90,0,0,0,61,61,0,950,950,5956,4170,1786,70.01,53437.5,19368.0,72805.5,73.4,0.2999
lampa,66,2,0,5,35,40,0,380,380,4318,3023,1295,70.01,21375.0,26145.0,47520.0,44.98,0.2999
huechuraba,122,7,0,15,67,82,0,1069,1069,9846,6893,2953,70.01,60131.25,37397.25,97528.5,61.66,0.2999
estacion_central,106,4,0,8,60,68,0,956,956,11022,7716,3306,70.01,53775.0,27009.0,80784.0,66.57,0.2999
el_bosque,75,2,0,4,43,47,0,653,653,7376,5164,2212,70.01,36731.25,19217.25,55948.5,65.65,0.2999
quinta_normal,64,2,0,4,33,37,0,437,437,4364,3055,1309,70.0,24581.25,19543.5,44124.75,55.71,0.3
renca,50,0,0,0,29,29,0,482,482,4147,2903,1244,70.0,27112.5,7564.5,34677.0,78.19,0.3
quilicura,156,3,0,6,93,99,0,1298,1298,22064,15445,6619,70.0,73012.5,46237.5,119250.0,61.23,0.3
recoleta,119,2,0,6,70,76,0,1062,1062,13938,9757,4181,70.0,59737.5,30550.5,90288.0,66.16,0.3
cerrillos,77,2,0,8,47,55,0,472,472,5784,4049,1735,70.0,26550.0,39127.5,65677.5,40.42,0.3
san_bernardo,195,4,0,14,144,158,0,1805,1805,36827,25779,11048,70.0,101531.25,107345.25,208876.5,48.61,0.3
san_jose_de_maipo,32,1,0,2,21,23,0,290,290,570,399,171,70.0,16312.5,11236.5,27549.0,59.21,0.3
pudahuel,362,9,0,44,194,238,0,2462,2462,43238,30267,12971,70.0,138487.5,145199.25,283686.75,48.82,0.3
santiago,859,13,0,45,460,505,0,2146,2146,94387,66071,28316,70.0,120712.5,480273.75,600986.25,20.09,0.3
puente_alto,316,4,0,9,497,506,0,3051,3051,122756,85930,36826,70.0,171618.75,494192.25,665811.0,25.78,0.3
nunoa,394,1,0,2,219,221,0,1465,1465,50346,35243,15103,70.0,82406.25,181379.25,263785.5,31.24,0.3
providencia,493,15,0,35,255,290,0,1325,1325,45051,31536,13515,70.0,74531.25,270045.0,344576.25,21.63,0.3
pirque,40,0,0,0,27,27,0,426,426,1000,700,300,70.0,23962.5,8113.5,32076.0,74.71,0.3
penalolen,160,3,0,9,91,100,0,1326,1326,23799,16660,7139,70.0,74587.5,48512.25,123099.75,60.59,0.3
penaflor,50,1,0,2,29,31,0,416,416,2837,1986,851,70.0,23400.0,13428.0,36828.0,63.54,0.3
padre_hurtado,21,0,0,0,14,14,0,208,208,980,686,294,70.0,11700.0,4932.0,16632.0,70.35,0.3
cerro_navia,243,2,0,4,188,192,0,1721,1721,13222,9256,3966,70.0,96806.25,132255.0,229061.25,42.26,0.3
maipu,244,8,0,19,377,396,0,3162,3162,97350,68145,29205,70.0,177862.5,329886.0,507748.5,35.03,0.3
macul,109,4,0,10,62,72,0,931,931,9204,6443,2761,70.0,52368.75,33167.25,85536.0,61.22,0.3
las_condes,620,42,0,124,598,722,0,3492,3492,156887,109821,47066,70.0,196425.0,705019.5,901444.5,21.79,0.3
la_reina,186,6,0,18,107,125,0,1366,1366,15462,10824,4638,70.0,76837.5,72112.5,148950.0,51.59,0.3
la_florida,284,2,0,4,263,267,0,2206,2206,61660,43162,18498,70.0,124087.5,256583.25,380670.75,32.6,0.3
colina,145,5,0,11,83,94,0,1261,1261,17372,12161,5211,70.0,70931.25,40988.25,111919.5,63.38,0.3
vitacura,287,13,0,41,146,187,0,1826,1826,26580,18606,7974,70.0,102712.5,119443.5,222156.0,46.23,0.3
